,ticker,company,sector,industry,market cap,analyst_recom,sentiment_score,rs_rating,returns_multiple,current_price,target_price,est_gl,performance_(week),performance_(month),performance_(quarter),performance_(half year),performance_(year),performance_(ytd),50_day_ma,200_day_ma,52_week_low,52_week_high,my_score,in_russell_3k
206,MLI,"Mueller Industries, Inc.",Industrials,Metal Fabrication,3554.2,81.5,18.0,83,1.38,60.21,100.0,66.09,3.69%,38.86%,34.67%,29.76%,86.52%,71.49%,47.06,44.17,32.01,63.07,60.833333333333336,True
207,MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,14135.24,76.5,20.0,88,1.54,37.89,44.93,18.58,0.45%,-8.63%,21.44%,3.89%,110.27%,64.67%,37.66,33.57,18.27,43.24,61.5,True
208,MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,25614.68,86.5,14.0,85,1.43,562.96,603.29,7.16,2.66%,17.03%,24.36%,81.95%,83.40%,53.72%,505.66,411.16,299.83,565.0,61.833333333333336,True
210,MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,60008.05,81.5,15.0,81,1.31,72.92,73.7,1.07,-0.11%,11.07%,24.61%,71.78%,68.56%,53.39%,65.36,55.19,37.92,74.49,59.166666666666664,True
211,MTDR,Matador Resources Company,Energy,Oil & Gas E&P,5361.77,79.0,16.0,99,3.83,45.11,49.93,10.68,0.33%,8.44%,64.57%,53.49%,452.82%,274.05%,38.93,30.38,8.43,47.23,64.66666666666667,True
212,MTSI,"MACOM Technology Solutions Holdings, Inc.",Technology,Semiconductors,5130.06,76.5,19.0,83,1.38,75.62,83.79,10.8,1.64%,17.62%,31.31%,50.04%,83.01%,37.39%,66.83,61.79,41.0,76.92,59.5,True
214,MYRG,MYR Group Inc.,Industrials,Engineering & Construction,1871.22,76.5,18.0,92,1.76,113.96,117.0,2.67,0.05%,8.46%,15.90%,42.90%,141.19%,89.62%,105.32,87.22,47.19,116.3,62.166666666666664,True
215,NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges,34697.73,71.5,20.0,80,1.3,209.73,215.46,2.73,-0.93%,3.31%,10.39%,29.51%,66.69%,58.00%,200.3,174.48,122.23,214.96,57.166666666666664,True
217,NMRK,"Newmark Group, Inc.",Real Estate,Real Estate Services,3409.63,81.5,16.0,94,1.97,16.75,18.0,7.46,5.48%,13.48%,29.84%,29.95%,165.45%,129.77%,14.65,12.34,6.1,17.14,63.833333333333336,True
218,NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas E&P,1588.59,89.0,20.0,99,3.49,24.15,31.08,28.7,-2.15%,-4.13%,51.89%,40.98%,412.74%,175.68%,22.37,17.25,5.01,27.87,69.33333333333333,True
219,NOTV,"Inotiv, Inc.",Healthcare,Diagnostics & Research,774.9,106.5,23.0,100,6.73,52.75,64.5,22.27,0.65%,53.70%,77.55%,108.91%,756.33%,328.86%,38.66,27.25,5.85,57.07,76.5,True
221,NSA,National Storage Affiliates Trust,Real Estate,REIT - Industrial,5547.0,76.5,41.0,80,1.29,61.95,64.27,3.74,-0.59%,5.72%,10.92%,40.76%,70.10%,71.94%,58.32,49.51,33.01,64.98,65.83333333333333,True
222,NSSC,"Napco Security Technologies, Inc.",Industrials,Security & Protection Services,881.21,89.0,34.0,80,1.29,47.53,54.4,14.45,-0.98%,6.57%,38.63%,40.21%,66.48%,81.27%,44.24,36.69,25.27,52.0,67.66666666666667,True
227,NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts,6246.37,79.0,13.0,82,1.34,37.39,42.5,13.67,0.35%,16.77%,13.17%,18.59%,84.10%,60.54%,33.63,30.98,21.0,37.89,58.0,True
229,NXST,"Nexstar Media Group, Inc.",Communication Services,Broadcasting,7048.47,91.5,21.0,78,1.26,170.5,187.67,10.07,0.69%,13.21%,18.09%,14.97%,70.64%,56.15%,153.82,147.7,97.37,171.16,63.5,True
230,OAS,Oasis Petroleum Inc.,Energy,Oil & Gas E&P,2618.16,81.5,13.0,100,844.67,131.5,146.86,11.68,5.83%,23.42%,54.63%,76.56%,,269.37%,107.33,85.02,0.11,132.98,64.83333333333333,True
231,OLN,Olin Corporation,Basic Materials,Specialty Chemicals,9832.26,86.5,16.0,95,2.24,63.73,72.69,14.06,4.91%,29.51%,38.54%,39.91%,203.77%,159.49%,52.66,44.57,20.89,64.76,65.83333333333333,True
232,OMCL,"Omnicell, Inc.",Healthcare,Health Information Services,7945.5,81.5,18.0,82,1.35,179.6,182.2,1.45,-0.10%,13.71%,19.44%,34.25%,82.48%,49.64%,163.89,146.78,98.08,184.42,60.5,True
234,ON,ON Semiconductor Corporation,Technology,Semiconductors,25331.09,79.0,26.0,90,1.62,59.2,62.93,6.3,0.82%,36.63%,41.02%,61.35%,111.01%,80.87%,48.76,42.06,27.32,61.52,65.0,True
235,ONTO,Onto Innovation Inc.,Technology,Semiconductors,4285.02,86.5,41.0,90,1.62,88.26,105.0,18.97,-2.48%,22.24%,31.20%,50.98%,117.98%,85.62%,77.55,69.92,40.47,94.96,72.5,True
237,OPCH,"Option Care Health, Inc.",Healthcare,Medical Care Facilities,4804.26,91.5,56.0,81,1.32,26.88,32.0,19.05,-3.90%,9.89%,23.36%,53.25%,69.91%,71.87%,25.78,21.58,14.31,28.29,76.16666666666667,True
239,OSTK,"Overstock.com, Inc.",Consumer Cyclical,Internet Retail,4392.11,89.0,18.0,84,1.41,106.89,131.17,22.71,1.45%,37.62%,53.89%,38.87%,96.09%,122.83%,82.69,79.76,46.75,112.3,63.666666666666664,True
240,OTTR,Otter Tail Corporation,Utilities,Utilities - Diversified,2748.05,89.0,18.0,76,1.23,66.33,68.33,3.02,1.33%,13.64%,23.20%,39.76%,62.10%,55.67%,59.29,50.7,39.35,67.39,61.0,True
241,OVV,Ovintiv Inc.,Energy,Oil & Gas E&P,9597.67,76.5,21.0,96,2.25,35.91,46.44,29.32,-3.75%,-8.49%,51.20%,38.27%,224.39%,150.07%,34.8,28.13,11.37,40.65,64.5,True
242,PAG,"Penske Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,8639.36,76.5,21.0,84,1.4,111.49,128.14,14.93,0.45%,7.84%,29.40%,23.88%,87.28%,87.73%,103.08,86.56,55.03,114.34,60.5,True
243,PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,50060.14,86.5,16.0,83,1.36,518.06,551.17,6.39,0.15%,2.01%,41.64%,52.33%,100.26%,45.77%,492.25,399.88,275.6,523.72,61.833333333333336,True
245,PDCE,"PDC Energy, Inc.",Energy,Oil & Gas E&P,5631.18,86.5,33.0,97,2.7,57.42,66.38,15.6,-0.79%,12.96%,46.93%,38.83%,275.05%,179.69%,49.29,41.29,15.26,59.0,72.16666666666667,True
248,PGC,Peapack-Gladstone Financial Corporation,Financial,Banks - Regional,666.17,81.5,20.0,77,1.25,35.21,39.0,10.76,-2.03%,5.77%,7.41%,7.68%,71.76%,54.70%,33.58,31.77,19.66,36.39,59.5,True
249,PGNY,"Progyny, Inc.",Healthcare,Health Information Services,5665.12,96.5,15.0,89,1.6,62.46,71.33,14.2,-6.30%,11.56%,43.82%,11.62%,103.45%,47.35%,59.93,54.66,28.35,68.32,66.83333333333333,True
250,PHR,"Phreesia, Inc.",Healthcare,Health Information Services,3728.7,86.5,14.0,83,1.36,72.43,73.5,1.48,-3.28%,13.78%,12.52%,62.04%,74.70%,33.49%,66.84,61.45,39.75,81.59,61.166666666666664,True
252,PLCE,"The Children's Place, Inc.",Consumer Cyclical,Apparel Retail,1462.71,81.5,14.0,95,2.2,105.08,119.6,13.82,9.53%,29.22%,4.47%,14.39%,225.63%,109.74%,85.99,84.46,33.0,107.39,63.5,True
253,PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,87411.03,74.0,14.0,76,1.24,204.82,212.52,3.76,-1.61%,2.86%,9.09%,5.63%,66.82%,37.46%,201.34,187.6,123.27,217.6,54.666666666666664,True
255,PRFT,"Perficient, Inc.",Technology,Information Technology Services,4651.7,91.5,23.0,96,2.34,140.79,149.83,6.42,-5.25%,9.31%,34.02%,99.96%,205.20%,195.47%,125.5,88.03,43.51,153.28,70.16666666666667,True
256,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,16847.81,86.5,16.0,83,1.36,118.68,133.75,12.7,-0.93%,5.64%,24.86%,27.35%,72.15%,64.79%,116.02,97.01,66.63,124.69,61.833333333333336,True
257,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,44534.34,84.0,26.0,86,1.47,182.66,222.39,21.75,-2.03%,-3.91%,25.97%,15.34%,101.46%,60.38%,176.34,158.52,92.03,196.64,65.33333333333333,True
259,RDNT,"RadNet, Inc.",Healthcare,Diagnostics & Research,1675.58,89.0,15.0,78,1.26,31.22,43.67,39.88,-6.67%,8.48%,-1.70%,21.95%,67.76%,59.53%,29.81,27.62,17.27,38.84,60.666666666666664,True
260,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,20600.14,86.5,18.0,79,1.28,99.34,118.62,19.41,-1.10%,-0.87%,9.49%,12.81%,74.79%,55.75%,96.08,87.95,57.2,103.46,61.166666666666664,True
263,ROG,Rogers Corporation,Technology,Electronic Components,5051.22,96.5,14.0,85,1.43,269.83,277.6,2.88,-0.01%,43.90%,36.73%,50.39%,94.60%,73.76%,206.4,195.23,141.22,273.0,65.16666666666667,True
264,RPD,"Rapid7, Inc.",Technology,Software - Application,7470.35,84.0,14.0,86,1.45,132.5,145.13,9.53,-5.44%,10.03%,20.72%,67.36%,91.11%,46.96%,123.11,99.31,68.42,145.0,61.333333333333336,True
266,RVI,Retail Value Inc.,Real Estate,REIT - Retail,130.69,81.5,25.0,91,1.66,6.07,28.0,361.29,-2.57%,18.16%,26.47%,78.89%,145.96%,116.54%,5.28,4.19,2.49,6.84,65.83333333333333,True
268,SCHN,"Schnitzer Steel Industries, Inc.",Basic Materials,Steel,1481.81,74.0,19.0,92,1.73,54.76,70.0,27.83,1.86%,6.87%,4.15%,-0.89%,132.23%,71.61%,48.68,47.24,23.36,59.34,61.666666666666664,True
269,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,153538.56,79.0,18.0,80,1.29,81.92,91.54,11.74,0.29%,1.26%,12.99%,15.54%,78.09%,54.45%,77.23,70.74,46.25,84.49,59.0,True
271,SEAS,"SeaWorld Entertainment, Inc.",Consumer Cyclical,Leisure,5159.37,71.5,26.0,93,1.84,64.02,68.91,7.64,-6.92%,8.09%,29.78%,21.02%,144.54%,102.66%,59.61,51.85,25.61,70.48,63.5,True
273,SGH,"SMART Global Holdings, Inc.",Technology,Semiconductors,1419.9,89.0,52.0,87,1.49,58.36,72.0,23.37,0.21%,9.02%,37.54%,34.25%,96.83%,55.09%,50.58,48.12,29.05,60.75,76.0,True
274,SHYF,"The Shyft Group, Inc.",Industrials,Farm & Heavy Construction Machinery,1823.35,89.0,20.0,90,1.61,52.26,54.67,4.61,4.23%,41.13%,28.66%,43.22%,123.72%,84.14%,41.72,38.77,23.8,52.9,66.33333333333333,True
277,SIVB,SVB Financial Group,Financial,Banks - Regional,43787.33,74.0,21.0,91,1.66,747.99,808.33,8.07,0.80%,8.35%,32.87%,29.98%,116.24%,92.87%,675.77,579.29,337.83,762.95,62.0,True
278,SKIN,The Beauty Health Company,Consumer Defensive,Household & Personal Products,3354.98,89.0,52.0,93,1.93,27.1,32.0,18.08,-5.38%,5.86%,25.99%,95.24%,,139.61%,26.7,17.9,9.71,30.17,78.0,True
279,SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,45922.19,84.0,20.0,78,1.26,32.72,39.66,21.21,-4.61%,-3.76%,20.34%,-1.06%,81.78%,49.89%,31.29,29.74,19.27,36.87,60.666666666666664,True
280,SMPL,The Simply Good Foods Company,Consumer Defensive,Packaged Foods,3781.42,76.5,45.0,77,1.25,39.75,41.73,4.98,-2.76%,13.54%,12.54%,17.74%,66.39%,26.75%,36.61,34.48,21.21,41.35,66.16666666666667,True
281,SNV,Synovus Financial Corp.,Financial,Banks - Regional,7196.69,81.5,20.0,76,1.23,49.36,55.75,12.95,0.65%,8.22%,14.95%,2.51%,66.70%,52.49%,45.28,45.01,29.73,50.51,59.166666666666664,True
283,SPT,"Sprout Social, Inc.",Technology,Software - Application,6624.85,91.5,14.0,95,2.2,127.45,156.8,23.03,-3.42%,0.91%,22.83%,99.14%,150.49%,180.67%,126.76,89.85,41.23,145.42,66.83333333333333,True
284,SSTK,"Shutterstock, Inc.",Communication Services,Internet Content & Information,4352.12,89.0,19.0,83,1.36,123.15,134.75,9.42,-0.32%,0.50%,21.28%,44.20%,80.52%,71.76%,118.41,100.11,62.21,128.36,63.666666666666664,True
285,STC,Stewart Information Services Corporation,Financial,Insurance - Property & Casualty,2122.95,81.5,20.0,84,1.39,79.81,88.0,10.26,6.60%,16.75%,34.54%,34.20%,86.95%,65.03%,67.38,59.24,41.84,80.14,61.833333333333336,True
287,STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,13012.19,76.5,26.0,83,1.38,65.48,80.95,23.63,-2.06%,5.82%,-4.92%,3.46%,89.14%,77.60%,62.75,58.06,33.77,74.37,61.833333333333336,True
289,STXB,"Spirit of Texas Bancshares, Inc.",Financial,Banks - Regional,444.13,89.0,26.0,76,1.23,25.51,28.83,13.01,-1.24%,5.89%,13.63%,12.28%,61.76%,51.85%,24.24,23.01,15.29,26.64,63.666666666666664,True
292,TA,TravelCenters of America Inc.,Consumer Cyclical,Specialty Retail,859.65,96.5,14.0,84,1.41,58.88,61.55,4.53,-4.09%,7.33%,61.09%,113.95%,93.62%,80.61%,51.69,35.42,22.0,64.58,64.83333333333333,True
293,TBBK,"The Bancorp, Inc.",Financial,Banks - Regional,1825.75,94.0,15.0,94,2.02,31.56,36.0,14.07,-2.59%,5.84%,29.82%,30.04%,183.05%,131.21%,28.18,24.19,11.01,33.36,67.66666666666667,True
295,TEAM,Atlassian Corporation Plc,Technology,Software - Application,108822.99,81.5,14.0,91,1.7,433.99,464.89,7.12,-1.98%,5.92%,28.88%,99.98%,125.08%,85.57%,410.57,295.85,190.98,483.13,62.166666666666664,True
297,TGH,Textainer Group Holdings Limited,Industrials,Rental & Leasing Services,1903.39,81.5,23.0,89,1.59,37.38,50.0,33.76,-5.77%,0.95%,13.34%,34.61%,125.72%,94.89%,36.21,30.94,17.26,41.24,64.5,True
299,THC,Tenet Healthcare Corporation,Healthcare,Medical Care Facilities,8617.5,79.0,17.0,93,1.92,80.23,87.94,9.61,6.69%,26.23%,14.06%,29.34%,157.56%,100.93%,70.37,64.09,30.58,83.69,63.0,True
300,THRY,"Thryv Holdings, Inc.",Communication Services,Internet Content & Information,1217.02,91.5,20.0,97,2.7,35.43,47.0,32.66,8.32%,15.37%,14.88%,37.49%,245.66%,162.44%,30.25,28.25,8.87,38.54,69.5,True
301,TITN,Titan Machinery Inc.,Industrials,Industrial Distribution,739.37,101.5,20.0,86,1.46,33.35,37.33,11.93,5.57%,21.94%,19.11%,30.17%,101.02%,70.59%,27.89,27.57,16.95,35.24,69.16666666666667,True
302,TLYS,"Tilly's, Inc.",Consumer Cyclical,Apparel Retail,501.88,81.5,15.0,89,1.57,16.3,22.0,34.97,2.90%,18.20%,9.40%,37.11%,131.57%,112.56%,14.53,13.7,7.67,16.93,61.833333333333336,True
303,TMST,TimkenSteel Corporation,Basic Materials,Steel,701.85,74.0,19.0,97,2.65,15.1,18.15,20.2,-4.37%,14.92%,0.53%,-2.33%,237.05%,223.34%,13.68,12.61,4.26,17.35,63.333333333333336,True
305,TRGP,Targa Resources Corp.,Energy,Oil & Gas Midstream,12865.26,84.0,16.0,93,1.88,55.14,63.32,14.83,-4.65%,-1.02%,27.55%,43.15%,168.58%,109.02%,51.74,41.59,21.01,58.18,64.33333333333333,True
307,TSC,"TriState Capital Holdings, Inc.",Financial,Banks - Regional,1004.47,76.5,21.0,86,1.48,30.11,30.5,1.3,-0.79%,37.36%,47.31%,36.00%,102.49%,73.05%,24.17,22.78,14.75,31.24,61.166666666666664,True
310,TTGT,"TechTarget, Inc.",Communication Services,Internet Content & Information,3006.34,79.0,25.0,90,1.61,107.87,110.78,2.7,5.19%,23.92%,40.24%,58.12%,95.31%,82.49%,89.76,79.46,49.58,109.03,64.66666666666667,True
311,TW,Tradeweb Markets Inc.,Financial,Capital Markets,22262.44,71.5,14.0,78,1.26,96.6,99.09,2.58,1.57%,15.72%,11.14%,18.35%,60.31%,54.68%,86.34,81.9,56.65,96.64,54.5,True
312,TXT,Textron Inc.,Industrials,Aerospace & Defense,16843.1,79.0,18.0,80,1.29,76.57,86.0,12.32,0.67%,3.54%,6.13%,15.35%,75.90%,58.43%,72.61,65.28,44.34,78.13,59.0,True
314,UEC,Uranium Energy Corp.,Energy,Uranium,1341.24,94.0,33.0,99,4.14,5.16,6.3,22.09,1.57%,51.32%,158.00%,59.26%,420.21%,193.18%,3.65,2.87,0.93,5.79,75.33333333333333,True
315,UFPI,"UFP Industries, Inc.",Basic Materials,Lumber & Wood Production,5458.35,81.5,14.0,77,1.25,88.28,93.83,6.29,0.58%,17.46%,19.23%,11.14%,66.91%,58.92%,76.09,74.23,52.11,89.97,57.5,True
316,UHAL,AMERCO,Industrials,Rental & Leasing Services,14764.99,81.5,18.0,84,1.41,745.33,875.0,17.4,-1.41%,3.07%,14.29%,21.58%,86.74%,64.58%,697.18,615.83,397.44,769.9,61.166666666666664,True
318,UNVR,Univar Solutions Inc.,Basic Materials,Chemicals,4854.85,74.0,25.0,76,1.23,28.96,32.1,10.84,0.77%,12.51%,24.35%,7.86%,66.72%,52.34%,25.3,23.94,17.21,29.77,58.333333333333336,True
319,URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,27784.17,74.0,41.0,83,1.38,384.29,391.47,1.87,-2.16%,10.00%,11.36%,15.98%,85.41%,65.71%,358.48,328.65,209.16,414.99,66.0,True
321,VBTX,"Veritex Holdings, Inc.",Financial,Banks - Regional,2167.76,91.5,13.0,85,1.44,43.26,46.5,7.49,-0.28%,7.77%,25.57%,23.49%,94.34%,68.59%,39.55,34.99,21.44,45.36,63.166666666666664,True
325,VICR,Vicor Corporation,Technology,Electronic Components,7094.05,76.5,19.0,89,1.59,161.78,176.67,9.2,1.65%,9.16%,37.15%,104.78%,106.69%,75.43%,142.34,109.24,74.08,164.35,61.5,True
328,VRTS,"Virtus Investment Partners, Inc.",Financial,Asset Management,2448.81,81.5,15.0,82,1.34,330.92,396.0,19.67,1.07%,2.88%,5.50%,19.68%,82.04%,52.50%,319.57,282.77,174.17,338.8,59.5,True
329,VRTV,Veritiv Corporation,Industrials,Business Equipment & Supplies,2213.41,106.5,25.0,100,6.93,150.47,160.0,6.33,-2.46%,54.77%,86.53%,218.46%,666.14%,623.76%,105.6,65.85,16.6,158.99,77.16666666666667,True
330,VSTO,Vista Outdoor Inc.,Consumer Cyclical,Leisure,2666.36,89.0,13.0,92,1.74,47.81,62.33,30.37,6.27%,15.76%,14.73%,28.59%,118.31%,101.22%,42.1,38.57,18.75,48.75,64.66666666666667,True
331,VVI,Viad Corp,Industrials,Specialty Business Services,976.24,81.5,16.0,75,1.22,47.23,59.33,25.62,-4.82%,0.94%,14.55%,13.37%,82.85%,30.58%,45.89,44.22,28.03,52.73,57.5,True
332,VVV,Valvoline Inc.,Energy,Oil & Gas Refining & Marketing,6592.78,84.0,13.0,78,1.26,36.38,41.88,15.12,6.28%,4.18%,19.40%,16.04%,62.77%,57.22%,33.18,30.38,21.75,36.51,58.333333333333336,True
333,WCC,"WESCO International, Inc.",Industrials,Industrial Distribution,6836.66,81.5,19.0,91,1.7,137.31,153.82,12.02,1.00%,10.02%,23.67%,28.71%,133.04%,74.92%,122.72,104.39,60.2,140.92,63.833333333333336,True
334,WFC,Wells Fargo & Company,Financial,Banks - Diversified,202188.95,76.5,26.0,89,1.57,51.08,52.0,1.8,0.41%,5.58%,4.87%,9.01%,112.21%,69.25%,48.27,44.39,24.52,52.57,63.833333333333336,True
336,WIRE,Encore Wire Corporation,Industrials,Electrical Equipment & Parts,2876.85,94.0,16.0,94,2.08,142.63,160.0,12.18,3.89%,28.86%,66.82%,75.20%,179.34%,135.48%,109.17,83.46,51.32,145.55,68.0,True
337,WK,Workiva Inc.,Technology,Software - Application,7874.89,84.0,17.0,91,1.7,158.64,172.83,8.94,-0.68%,11.49%,17.54%,75.27%,127.54%,73.15%,146.97,117.92,69.33,173.24,64.0,True
338,WLL,Whiting Petroleum Corporation,Energy,Oil & Gas E&P,2674.89,74.0,13.0,97,2.65,69.19,76.44,10.48,0.87%,4.25%,62.84%,79.30%,263.97%,176.76%,61.47,46.43,17.9,70.59,61.333333333333336,True
339,WMS,"Advanced Drainage Systems, Inc.",Industrials,Building Products & Equipment,9284.73,76.5,32.0,88,1.55,130.02,140.5,8.06,-0.64%,15.12%,15.82%,18.46%,103.60%,55.56%,113.63,111.17,61.23,133.13,65.5,True
340,WOW,"WideOpenWest, Inc.",Communication Services,Entertainment,1707.43,74.0,40.0,95,2.12,20.18,24.4,20.91,4.34%,1.41%,-0.10%,26.76%,195.46%,89.13%,19.89,17.74,7.01,23.92,69.66666666666667,True
341,WSC,WillScot Mobile Mini Holdings Corp.,Industrials,Rental & Leasing Services,8582.23,91.5,14.0,84,1.41,38.98,43.42,11.39,4.87%,18.77%,43.73%,38.57%,85.80%,68.23%,32.96,29.24,20.9,39.75,63.166666666666664,True
342,WTFC,Wintrust Financial Corporation,Financial,Banks - Regional,5339.27,89.0,14.0,79,1.28,92.76,101.75,9.69,0.64%,10.45%,26.88%,18.35%,76.62%,51.84%,83.81,77.66,53.64,94.92,60.666666666666664,True
343,YETI,"YETI Holdings, Inc.",Consumer Cyclical,Leisure,8798.12,84.0,13.0,83,1.36,102.09,112.35,10.05,-2.71%,15.84%,4.45%,18.43%,78.70%,49.10%,94.76,87.92,55.8,108.82,60.0,True
344,ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,31209.85,76.5,19.0,82,1.34,590.76,624.5,5.71,-1.01%,14.53%,4.99%,23.71%,70.81%,53.71%,547.35,517.67,333.06,614.1,59.166666666666664,True
345,ZD,"Ziff Davis, Inc.",Communication Services,Advertising Agencies,6357.4,86.5,24.0,81,1.33,127.71,167.88,31.45,-2.89%,3.02%,13.15%,18.08%,75.49%,50.40%,122.94,113.19,70.7,135.0,63.833333333333336,True
