"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"CZNC","Citizens & Northern Corporation","Financial","Banks - Regional",434.43,14.51,4.10%,-0.80%,11.60%,15.70,2.50%,1.75%,29.10%,-0.64%,1.00%,88.00%,2.05%,4.51%,9.45%,9.62%,45.74%,37.80%,0.37,2.49%,3.74%,6.69%,11.91%,-2.32%,51.30%,61.98,2.00,27.34,-0.65%,17456,29.00
"CZOO","Cazoo Group Ltd","Technology","Software - Application",6874.16,,,,,793.41,14.74%,0.00%,78.60%,5.68%,9.55%,,3.02%,28.81%,3.48%,-7.16%,,-21.95%,,6.21%,5.90%,8.89%,-6.29%,-33.50%,46.19%,58.00,,9.21,0.99%,501006,11.30
"CZR","Caesars Entertainment, Inc.","Consumer Cyclical","Resorts & Casinos",21211.70,,,-49.90%,37.00%,209.00,0.20%,-42.27%,95.10%,-0.02%,3.73%,,-1.97%,-6.76%,22.73%,3.08%,68.18%,38.99%,2.91,3.77%,-5.38%,-6.30%,4.69%,-13.84%,75.47%,41.83,1.90,103.23,-2.61%,1817223,138.38
"CZWI","Citizens Community Bancorp, Inc.","Financial","Banks - Regional",145.31,7.99,1.67%,18.40%,20.80%,10.78,0.70%,18.72%,51.40%,0.48%,0.19%,71.80%,0.36%,-0.22%,-1.74%,5.02%,66.06%,26.72%,1.16,1.01%,0.29%,0.18%,4.17%,-6.82%,64.11%,52.09,2.00,13.80,0.25%,18984,15.67
"D","Dominion Energy, Inc.","Utilities","Utilities - Diversified",61726.86,23.88,3.32%,-11.90%,3.90%,808.70,0.28%,0.19%,68.00%,0.24%,0.71%,21.60%,1.74%,3.80%,-3.49%,-1.66%,-10.66%,0.90%,0.41,1.63%,0.32%,1.19%,0.43%,-12.00%,11.83%,53.42,2.20,75.88,1.53%,3152338,83.78
"DAC","Danaos Corporation","Industrials","Marine Shipping",1470.47,1.60,2.77%,-15.40%,-4.10%,20.35,58.70%,0.00%,23.50%,1.79%,12.09%,68.50%,-0.43%,3.25%,-1.86%,20.97%,538.96%,237.52%,1.53,4.80%,-2.53%,-6.00%,13.00%,-19.11%,569.72%,46.05,1.70,72.33,-2.18%,234791,93.75
"DADA","Dada Nexus Limited","Consumer Cyclical","Internet Retail",5486.38,,,,,237.86,2.75%,0.00%,23.00%,-0.84%,1.48%,-37.20%,16.52%,9.50%,27.69%,4.72%,-30.13%,-34.30%,,5.21%,9.52%,11.31%,-8.69%,-60.86%,36.48%,62.47,1.70,23.98,-0.58%,612991,38.65
"DAIO","Data I/O Corporation","Technology","Electronic Components",46.03,,,-43.70%,-1.60%,8.52,10.40%,-13.83%,39.70%,-3.07%,1.41%,-11.70%,-4.36%,-17.94%,-2.05%,-8.58%,43.50%,27.67%,0.85,5.19%,-10.75%,-15.86%,-10.87%,-30.08%,44.90%,36.02,,5.26,-0.19%,22026,8.00
"DAKT","Daktronics, Inc.","Technology","Computer Hardware",237.06,32.97,,39.10%,-3.30%,45.14,6.00%,-0.36%,59.50%,-0.13%,2.71%,2.70%,-12.73%,-4.40%,-12.14%,-19.85%,23.17%,11.32%,0.63,3.32%,-6.41%,-6.00%,-13.98%,-27.94%,25.54%,39.07,3.00,5.21,1.56%,8131132,
"DAL","Delta Air Lines, Inc.","Industrials","Airlines",27914.01,,,-40.40%,-15.90%,637.00,0.10%,1.50%,65.50%,1.05%,2.96%,2.00%,-5.08%,3.39%,9.28%,-9.31%,16.24%,5.40%,1.27,2.26%,2.82%,1.74%,-3.36%,-18.94%,21.61%,52.72,2.00,42.38,0.38%,6912439,53.79
"DALI","First Trust Dorsey Wright DALI 1 ETF","Financial","Exchange Traded Fund",,,0.47%,,,,,,,,,,-0.22%,7.87%,7.50%,15.01%,52.36%,27.20%,,0.39%,3.27%,6.45%,11.34%,-0.53%,40.44%,68.94,,27.65,-0.15%,390,
"DALN","DallasNews Corporation","Communication Services","Publishing",35.91,,9.55%,17.40%,-10.70%,5.35,0.10%,0.00%,53.20%,0.11%,2.16%,-8.60%,-3.32%,-0.89%,-2.59%,-16.25%,14.73%,10.93%,0.63,2.75%,-2.91%,-2.47%,-12.56%,-46.99%,20.50%,40.79,,6.70,0.60%,8736,
"DALS","DA32 Life Science Tech Acquisition Corp.","Financial","Shell Companies",,,,,,,7.25%,,41.67%,,,,-1.03%,-0.10%,,,,-0.61%,,0.58%,0.02%,-0.39%,-0.65%,-4.68%,1.35%,48.57,,9.78,-0.36%,20433,
"DALT","Anfield Capital Diversified Alternatives ETF","Financial","Exchange Traded Fund",,,1.38%,,,,,,,,,,-0.55%,3.62%,3.53%,7.42%,21.09%,12.18%,,0.59%,0.86%,2.67%,4.71%,-0.87%,21.80%,60.74,,10.86,-0.40%,8074,
"DAN","Dana Incorporated","Consumer Cyclical","Auto Parts",3355.52,16.53,1.67%,-17.30%,3.20%,144.80,0.67%,-2.76%,97.00%,-0.51%,2.70%,4.40%,2.43%,-4.39%,2.39%,-10.79%,45.78%,22.85%,2.41,3.74%,1.96%,3.42%,-0.89%,-15.68%,50.91%,53.48,2.10,23.98,-0.66%,631113,28.89
"DAO","Youdao, Inc.","Communication Services","Internet Content & Information",1785.02,,,,,122.33,4.21%,0.00%,72.00%,0.44%,4.50%,-47.70%,8.88%,26.40%,52.63%,-35.47%,-43.03%,-43.16%,,6.01%,15.58%,16.91%,-27.22%,-64.24%,114.81%,65.51,2.50,15.08,-1.18%,449346,19.33
"DAPP","VanEck Vectors Digital Transformation ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-4.60%,21.30%,30.68%,34.85%,,-1.39%,,4.82%,7.13%,18.72%,23.44%,-13.45%,67.87%,60.15,,32.75,-3.76%,49099,
"DAR","Darling Ingredients Inc.","Consumer Defensive","Packaged Foods",12966.46,24.10,,30.10%,1.00%,162.17,0.90%,-7.36%,98.50%,1.86%,1.55%,16.80%,-6.89%,4.62%,2.36%,8.37%,63.90%,34.69%,1.09,3.23%,-3.62%,1.99%,7.97%,-9.64%,68.56%,46.32,1.70,77.69,1.40%,1146296,98.33
"DARE","Dare Bioscience, Inc.","Healthcare","Biotechnology",132.54,,,43.30%,,70.78,3.90%,0.00%,5.20%,6.90%,3.36%,,2.98%,10.19%,16.89%,26.28%,60.19%,29.10%,1.55,5.29%,11.50%,6.90%,4.73%,-55.06%,64.76%,64.84,2.00,1.73,4.85%,2717829,5.40
"DASH","DoorDash, Inc.","Communication Services","Internet Content & Information",76988.36,,,,,340.17,0.70%,-93.53%,94.60%,3.02%,3.84%,-13.20%,25.66%,13.38%,30.58%,75.17%,,70.03%,,4.38%,16.19%,16.38%,39.88%,-5.22%,120.39%,68.67,2.40,242.72,-1.32%,5228182,230.45
"DATS","DatChat, Inc.","Technology","Software - Application",125.13,,,,,19.37,14.10%,0.00%,4.00%,,14.85%,,-15.67%,-40.30%,67.36%,,,88.89%,,11.56%,-20.32%,-28.56%,-22.77%,-65.08%,95.17%,37.76,,6.46,-5.14%,1879847,
"DAUG","FT Cboe Vest US Eq Deep Buffer ETF - August","Financial","Exchange Traded Fund",,,,,,,,,,,,,-0.17%,1.33%,2.03%,3.13%,7.44%,6.01%,,0.32%,0.43%,1.41%,2.73%,-0.45%,7.96%,65.88,,35.11,0.03%,2773,
"DAVA","Endava plc","Technology","Software - Infrastructure",9328.93,164.41,,19.20%,31.10%,55.64,0.01%,0.00%,71.40%,0.93%,0.94%,14.20%,0.20%,12.06%,19.76%,82.86%,152.90%,116.78%,0.91,3.34%,4.44%,13.96%,46.18%,-2.98%,177.25%,61.40,2.00,166.38,0.21%,243627,146.00
"DAWN","Day One Biopharmaceuticals, Inc.","Healthcare","Biotechnology",1373.61,,,,,61.93,23.50%,0.00%,47.20%,2.12%,4.63%,,-14.38%,-4.02%,-14.10%,,,-17.88%,,7.37%,-11.23%,-10.02%,-8.21%,-25.92%,23.65%,39.40,1.70,21.26,-4.19%,77992,35.00
"DAX","Global X DAX Germany ETF","Financial","Exchange Traded Fund",,,2.78%,,,,,,,,,,-1.39%,1.21%,-1.57%,-3.85%,13.87%,7.65%,,0.54%,0.03%,0.86%,-0.12%,-6.35%,15.23%,51.26,,33.15,-0.56%,8782,
"DB","Deutsche Bank Aktiengesellschaft","Financial","Banks - Regional",26396.04,12.71,,15.00%,-7.30%,2096.30,2.70%,0.00%,34.19%,,0.68%,63.50%,-1.40%,-4.22%,2.17%,-10.99%,18.55%,16.70%,1.39,1.75%,-3.06%,-1.47%,-0.70%,-17.08%,26.23%,45.47,,12.72,-0.31%,2003524,11.37
"DBA","Invesco DB Agriculture Fund","Financial","Exchange Traded Fund",,,,,,,,,,,,,3.33%,3.44%,2.95%,6.83%,32.22%,23.05%,,0.78%,2.88%,4.03%,8.42%,0.35%,32.53%,70.01,,19.86,0.56%,1997413,
"DBAW","Xtrackers MSCI All World ex U.S. Hedged Equity ETF","Financial","Exchange Traded Fund",,,2.53%,,,,,,,,,,0.32%,1.85%,3.33%,4.59%,18.88%,13.29%,,0.43%,1.23%,2.36%,3.69%,-0.03%,19.29%,62.33,,34.44,0.03%,5999,
"DBB","Invesco DB Base Metals Fund","Financial","Exchange Traded Fund",,,,,,,,,,,,,0.05%,-12.09%,3.55%,-0.19%,28.96%,21.78%,,1.35%,-2.82%,-2.22%,4.16%,-12.42%,29.43%,44.92,,21.02,-1.45%,270968,
"DBC","Invesco DB Commodity Index Tracking Fund","Financial","Exchange Traded Fund",,,,,,,,,,,,,0.14%,-1.57%,13.45%,15.04%,59.85%,45.17%,,1.28%,-0.42%,3.31%,14.14%,-2.33%,60.09%,53.87,,21.34,0.05%,2141707,
"DBD","Diebold Nixdorf, Incorporated","Technology","Software - Application",728.27,,,-42.80%,10.00%,78.30,0.10%,-8.90%,84.00%,-0.46%,9.42%,2.40%,-7.88%,-17.23%,-17.61%,-32.70%,9.21%,-16.60%,3.11,5.66%,-8.80%,-11.32%,-28.57%,-48.61%,11.47%,39.92,2.30,8.89,-1.11%,714121,15.00
"DBDR","Roman DBDR Tech Acquisition Corp.","Financial","Shell Companies",294.13,,,,,28.95,,,97.90%,-2.41%,0.19%,,-0.20%,0.20%,0.30%,0.89%,,0.49%,,0.42%,-0.17%,0.18%,0.35%,-5.49%,7.51%,47.11,,10.16,-0.20%,229208,
"DBE","Invesco DB Energy Fund","Financial","Exchange Traded Fund",,,,,,,,,,,,,-1.32%,-2.87%,19.67%,23.19%,88.35%,65.59%,,1.74%,-1.80%,3.16%,18.72%,-4.62%,88.55%,49.87,,17.95,0.34%,129523,
"DBEF","Xtrackers MSCI EAFE Hedged Equity ETF","Financial","Exchange Traded Fund",,,2.91%,,,,,,,,,,0.61%,2.95%,3.86%,7.76%,22.75%,18.54%,,0.43%,1.78%,3.19%,6.48%,0.14%,23.65%,69.27,,39.84,0.20%,320345,
"DBEM","Xtrackers MSCI Emerging Markets Hedged Equity ETF","Financial","Exchange Traded Fund",,,2.09%,,,,,,,,,,1.06%,-0.42%,2.83%,-2.59%,7.69%,0.94%,,0.56%,0.36%,0.94%,-2.33%,-10.60%,8.10%,54.89,,27.82,-0.36%,2802,
"DBEU","Xtrackers MSCI Europe Hedged Equity ETF","Financial","Exchange Traded Fund",,,2.65%,,,,,,,,,,0.88%,3.95%,3.22%,8.77%,25.39%,22.26%,,0.39%,2.23%,4.21%,7.98%,0.11%,26.20%,75.62,,36.58,0.19%,175155,
"DBEZ","Xtrackers MSCI Eurozone Hedged Equity ETF","Financial","Exchange Traded Fund",,,2.49%,,,,,,,,,,0.64%,4.05%,2.94%,9.95%,36.77%,23.73%,,0.15%,2.25%,4.05%,9.37%,0.27%,29.03%,71.75,,40.56,0.33%,4057,
"DBGI","Digital Brands Group, Inc.","Consumer Cyclical","Apparel Retail",43.35,,,,,12.35,20.40%,0.00%,21.90%,56.19%,4.04%,,-1.40%,21.88%,32.45%,4.15%,,3.24%,,17.19%,-0.20%,13.73%,-3.45%,-60.11%,51.29%,50.84,,3.51,-3.04%,918734,
"DBI","Designer Brands Inc.","Consumer Cyclical","Apparel Retail",1152.32,,,-45.00%,-3.10%,72.93,2.70%,,98.10%,5.02%,14.17%,-1.70%,7.52%,20.87%,15.75%,-16.65%,149.53%,107.45%,2.43,4.13%,13.43%,15.72%,4.12%,-22.51%,154.74%,66.18,2.80,15.87,5.94%,1541607,19.00
"DBJA","Innovator Double Stacker 9 Buffer ETF - January","Financial","Exchange Traded Fund",,,,,,,,,,,,,0.02%,1.45%,2.08%,4.84%,,11.57%,,0.15%,0.26%,0.99%,4.61%,-0.26%,12.79%,66.80,,28.25,-0.07%,18,
"DBJP","Xtrackers MSCI Japan Hedged Equity ETF","Financial","Exchange Traded Fund",,,2.38%,,,,,,,,,,0.57%,1.39%,7.80%,7.34%,19.39%,12.86%,,0.44%,1.59%,1.49%,4.68%,-1.62%,20.58%,58.99,,51.68,0.17%,4495,
"DBL","DoubleLine Opportunistic Credit Fund","Financial","Closed-End Fund - Debt",288.51,,6.85%,,,14.97,,,39.27%,,,,-1.13%,-2.53%,-2.82%,-1.88%,1.67%,-1.93%,,0.72%,-1.15%,-1.92%,-2.59%,-5.31%,3.38%,36.68,,19.27,-0.05%,32538,
"DBMF","iM DBi Managed Futures Strategy ETF","Financial","Exchange Traded Fund",,,0.72%,,,,,,,,,,0.96%,2.49%,4.63%,2.13%,18.09%,14.20%,,1.31%,1.28%,3.04%,4.00%,-2.91%,22.60%,62.94,,29.19,0.38%,1539,
"DBO","Invesco DB Oil Fund","Financial","Exchange Traded Fund",,,,,,,,,,,,,-1.53%,-1.27%,21.86%,26.24%,106.86%,75.21%,,2.25%,-1.73%,4.14%,20.29%,-4.83%,107.15%,50.74,,14.77,0.14%,805287,
"DBP","Invesco DB Precious Metals Fund","Financial","Exchange Traded Fund",,,,,,,,,,,,,2.16%,5.84%,4.58%,-3.49%,-2.35%,-4.05%,,0.66%,3.41%,4.98%,2.45%,-7.02%,9.90%,69.17,,50.62,-0.30%,14981,
"DBRG","DigitalBridge Group, Inc.","Real Estate","REIT - Diversified",4183.86,,,-51.40%,23.20%,485.83,0.20%,166.58%,85.90%,1.45%,9.99%,-56.60%,6.80%,21.40%,20.32%,24.92%,105.28%,69.85%,1.99,3.29%,16.69%,22.36%,20.67%,-6.04%,111.66%,75.16,2.20,8.17,8.07%,18311081,9.79
"DBS","Invesco DB Silver Fund","Financial","Exchange Traded Fund",,,,,,,,,,,,,2.19%,7.77%,5.95%,-11.40%,-0.48%,-6.62%,,1.13%,3.56%,6.86%,-1.77%,-18.21%,16.91%,62.51,,34.91,-0.91%,1023,
"DBTX","Decibel Therapeutics, Inc.","Healthcare","Biotechnology",189.48,,,,,25.23,0.10%,-2.53%,72.20%,0.04%,2.49%,,0.94%,-0.66%,0.67%,11.09%,,-58.35%,,4.95%,-3.07%,-4.57%,-20.42%,-69.21%,21.52%,45.04,1.50,7.51,3.16%,53645,21.20
"DBVT","DBV Technologies S.A.","Healthcare","Biotechnology",340.35,,,,,109.79,0.06%,0.00%,33.86%,,2.10%,,-0.96%,-41.51%,-35.28%,-52.53%,25.00%,18.32%,,4.88%,-20.47%,-32.40%,-42.21%,-57.99%,39.01%,29.70,2.00,3.10,0.32%,46505,9.33
"DBX","Dropbox, Inc.","Technology","Software - Infrastructure",10398.39,,,5.70%,26.00%,302.50,0.70%,-8.53%,89.00%,0.20%,6.50%,-6.80%,-5.44%,-12.15%,-13.97%,1.37%,39.61%,19.92%,0.92,3.26%,-9.92%,-11.01%,-5.93%,-19.36%,45.09%,32.92,2.40,26.61,-1.41%,5904481,36.40
"DCBO","Docebo Inc.","Technology","Software - Application",2860.66,,,,,32.84,55.60%,0.00%,40.67%,,0.73%,-15.70%,-3.88%,-6.87%,-0.70%,42.55%,74.55%,10.51%,,4.28%,-5.93%,-8.39%,17.78%,-22.45%,93.31%,43.18,,71.93,-1.34%,48949,
"DCI","Donaldson Company, Inc.","Industrials","Specialty Industrial Machinery",7599.14,27.77,1.42%,9.60%,5.10%,125.80,0.40%,-7.35%,82.20%,-1.53%,0.82%,13.50%,1.19%,5.72%,-9.04%,0.91%,16.18%,11.17%,1.35,1.48%,2.49%,3.93%,0.23%,-10.43%,18.32%,62.01,2.50,62.12,-0.42%,242170,70.50
"DCO","Ducommun Incorporated","Industrials","Aerospace & Defense",612.28,17.95,,18.70%,-1.10%,11.92,6.50%,-0.96%,84.60%,0.29%,1.19%,7.60%,-2.92%,2.58%,-4.84%,-5.51%,22.51%,-5.85%,1.41,3.12%,1.43%,0.67%,-6.85%,-22.69%,24.44%,50.33,2.00,50.56,-0.67%,50015,67.33
"DCOM","Dime Community Bancshares, Inc.","Financial","Banks - Regional",1528.44,15.59,2.58%,9.80%,11.60%,40.43,1.20%,-48.42%,82.10%,3.13%,3.89%,96.00%,-1.45%,7.13%,12.26%,8.94%,80.22%,54.14%,1.09,2.22%,2.88%,8.94%,14.02%,-2.82%,81.80%,59.70,1.80,37.27,-0.53%,70930,40.60
"DCP","DCP Midstream, LP","Energy","Oil & Gas Midstream",6374.00,62.15,5.13%,-31.50%,-3.20%,208.40,0.10%,0.00%,32.30%,-0.46%,3.74%,-0.50%,-0.26%,-7.69%,13.65%,20.26%,104.51%,64.09%,3.33,3.81%,-3.69%,1.59%,14.41%,-10.21%,108.44%,46.52,2.50,30.39,-0.65%,760320,36.08
"DCPH","Deciphera Pharmaceuticals, Inc.","Healthcare","Biotechnology",552.64,,,-49.20%,,58.11,0.10%,-4.26%,76.40%,0.09%,5.93%,,-9.14%,-73.47%,-67.04%,-72.34%,-85.80%,-83.81%,1.37,6.70%,-65.77%,-69.71%,-74.60%,-86.49%,6.21%,18.29,1.80,9.24,0.00%,1204832,15.60
"DCRCU","Decarbonization Plus Acquisition Corporation III","Financial","Shell Companies",,,,,,,,,96.02%,,,,12.19%,42.07%,50.91%,58.30%,,60.22%,,6.54%,24.97%,37.13%,46.34%,0.83%,61.53%,69.09,,15.83,15.38%,18428,
"DCRNU","Decarbonization Plus Acquisition Corporation II","Financial","Shell Companies",,,,,,,,,9.39%,,0.00%,,3.43%,8.04%,8.67%,10.51%,,-1.68%,,0.83%,6.06%,7.43%,7.71%,-6.22%,13.78%,82.11,,11.15,1.55%,43623,15.25
"DCT","Duck Creek Technologies, Inc.","Technology","Software - Application",3927.00,,,,,131.61,1.30%,-16.45%,73.80%,0.21%,2.99%,,-2.23%,-14.85%,-29.22%,-19.68%,-24.68%,-31.29%,,3.45%,-5.29%,-26.28%,-30.95%,-49.92%,-0.60%,22.22,1.70,29.75,-2.04%,357193,48.80
"DCTH","Delcath Systems, Inc.","Healthcare","Medical Devices",78.96,,,,-1.20%,7.52,6.40%,4.98%,30.10%,-0.22%,3.75%,,-5.83%,11.58%,24.41%,-3.23%,-10.64%,-41.41%,0.42,5.97%,-2.26%,3.97%,-15.10%,-58.30%,26.81%,49.04,1.50,10.50,-0.85%,10758,22.75
"DD","DuPont de Nemours, Inc.","Basic Materials","Chemicals",40942.28,25.39,1.52%,-17.30%,-16.00%,521.50,0.10%,-4.58%,75.20%,1.48%,1.74%,14.10%,-0.94%,9.30%,4.62%,-7.45%,27.81%,10.77%,1.52,2.39%,4.67%,9.43%,3.87%,-9.74%,30.45%,60.16,2.20,78.77,-2.42%,2460363,92.82
"DDD","3D Systems Corporation","Technology","Computer Hardware",3269.06,10.60,,26.30%,-3.50%,122.66,1.80%,-1.58%,68.20%,1.10%,9.08%,-4.50%,-23.14%,-0.23%,-5.65%,4.29%,261.67%,148.47%,1.14,6.45%,-10.05%,-9.51%,-11.97%,-53.91%,277.94%,41.44,3.20,26.04,1.52%,4859289,28.00
"DDEC","FT Cboe Vest US Eq Deep Buffer ETF - December","Financial","Exchange Traded Fund",,,,,,,,,,,,,-0.09%,0.37%,0.90%,2.91%,,6.40%,,0.14%,0.09%,0.56%,2.29%,-0.12%,8.13%,61.01,,32.44,0.02%,22647,
"DDF","Delaware Investments Dividend and Income Fund, Inc.","Financial","Closed-End Fund - Equity",86.73,,7.20%,,,7.61,,,3.40%,,,,0.22%,1.74%,3.03%,-0.04%,33.12%,23.19%,,1.04%,0.72%,2.27%,4.99%,-6.52%,35.01%,57.72,,11.40,0.22%,6112,
"DDG","ProShares Short Oil & Gas","Financial","Exchange Traded Fund",,,,,,,,,,,,,1.31%,-1.87%,-20.35%,-14.84%,-50.70%,-42.65%,,0.94%,-0.34%,-7.96%,-17.51%,-50.70%,2.08%,40.91,,14.63,-0.78%,1934,
"DDI","DoubleDown Interactive Co., Ltd.","Communication Services","Electronic Gaming & Multimedia",825.53,12.26,,,,48.39,3.03%,0.00%,6.10%,,0.38%,24.30%,3.58%,-2.74%,,,,-3.89%,,3.30%,2.37%,0.45%,0.29%,-7.78%,10.78%,53.54,,17.06,2.52%,31057,27.50
"DDIV","First Trust Dorsey Wright Momentum & Dividend ETF","Financial","Exchange Traded Fund",,,1.88%,,,,,,,,,,0.29%,4.60%,7.55%,5.45%,46.62%,37.35%,,0.74%,1.81%,5.32%,10.48%,-2.91%,47.75%,64.58,,34.09,0.53%,1053,
"DDL","Dingdong (Cayman) Limited","Consumer Defensive","Grocery Stores",7023.09,,,,,236.05,,,8.40%,0.92%,0.37%,-36.70%,-15.18%,17.86%,49.74%,,,24.28%,,6.77%,1.65%,15.04%,20.59%,-36.46%,68.93%,52.77,,29.23,-1.08%,260259,29.00
"DDLS","WisdomTree Dynamic Currency Hedged International SmallCap Equity Fund","Financial","Exchange Traded Fund",,,3.23%,,,,,,,,,,-0.57%,-0.06%,-0.17%,1.90%,21.44%,14.52%,,0.42%,-0.30%,-0.33%,2.10%,-3.79%,22.04%,48.94,,35.32,-0.21%,10065,
"DDM","ProShares Ultra Dow30","Financial","Exchange Traded Fund",,,0.09%,,,,,,,,,,-1.78%,4.61%,4.44%,12.60%,50.41%,39.89%,,1.24%,1.26%,5.64%,12.00%,-2.43%,53.12%,60.14,,78.98,-0.06%,273621,
"DDMX","DD3 Acquisition Corp. II","Financial","Shell Companies",128.31,,,,,12.87,2.30%,67.71%,68.83%,,,,-0.50%,0.30%,0.61%,-0.20%,,-2.64%,,0.42%,-0.12%,0.18%,-0.04%,-9.53%,2.49%,48.22,,9.97,-0.30%,120123,
"DDMXU","DD3 Acquisition Corp. II","Financial","Shell Companies",,,,,,,2.30%,,23.63%,,,,-1.99%,3.04%,3.73%,1.31%,,3.24%,,0.45%,1.06%,1.98%,2.13%,-7.19%,7.54%,53.79,,10.84,-0.55%,250,15.00
"DDOG","Datadog, Inc.","Technology","Software - Application",58764.97,,,,,310.25,0.90%,-66.95%,73.80%,1.05%,4.61%,-4.20%,-0.18%,23.64%,43.61%,129.82%,122.56%,94.03%,,3.99%,11.91%,24.07%,67.87%,-3.38%,173.91%,70.37,2.10,191.00,-1.05%,2476131,204.11
"DDS","Dillard's, Inc.","Consumer Cyclical","Department Stores",6989.72,16.66,0.18%,-16.70%,-8.10%,21.08,16.00%,-1.87%,74.60%,-1.12%,12.26%,5.40%,14.42%,66.62%,76.31%,141.04%,618.46%,442.63%,0.95,6.36%,32.01%,53.52%,118.99%,-6.03%,648.15%,82.28,3.60,342.13,4.16%,340150,221.67
"DDWM","WisdomTree Dynamic Currency Hedged International Equity Fund","Financial","Exchange Traded Fund",,,3.52%,,,,,,,,,,-0.00%,1.32%,-1.23%,0.53%,14.67%,11.22%,,0.45%,0.81%,1.04%,1.70%,-2.57%,15.20%,58.81,,30.97,-0.11%,16100,
"DE","Deere & Company","Industrials","Farm & Heavy Construction Machinery",111089.74,20.92,1.16%,8.50%,4.20%,311.00,9.50%,-0.28%,78.00%,-2.38%,0.53%,19.20%,0.08%,8.53%,-4.03%,-2.31%,43.43%,34.23%,1.07,2.50%,3.57%,3.63%,1.50%,-9.79%,44.99%,57.59,2.20,361.15,0.64%,972601,399.48
"DEA","Easterly Government Properties, Inc.","Real Estate","REIT - Office",1845.13,71.47,4.94%,34.20%,28.00%,83.96,0.30%,-24.33%,94.60%,1.90%,11.63%,25.40%,-0.37%,-1.15%,-2.63%,6.09%,-1.74%,-5.34%,0.43,1.45%,0.50%,1.18%,-0.02%,-9.33%,9.16%,53.30,1.80,21.44,0.23%,838017,26.00
"DECK","Deckers Outdoor Corporation","Consumer Cyclical","Footwear & Accessories",11356.99,26.87,,29.50%,6.30%,27.65,1.10%,-5.45%,,0.04%,3.67%,20.00%,0.00%,16.59%,-1.04%,25.61%,66.34%,45.65%,0.78,3.76%,5.29%,6.30%,14.28%,-7.49%,73.14%,58.66,1.50,417.69,-2.26%,313923,476.33
"DEEF","Xtrackers FTSE Developed ex US Multifactor ETF","Financial","Exchange Traded Fund",,,3.59%,,,,,,,,,,-0.84%,0.35%,-1.41%,-1.15%,12.90%,6.65%,,0.50%,-0.06%,-0.23%,0.11%,-4.58%,13.00%,50.32,,32.07,-0.20%,6041,
"DEEP","Roundhill Acquirers Deep Value ETF","Financial","Exchange Traded Fund",,,1.11%,,,,,,,,,,0.64%,7.28%,10.87%,7.08%,55.38%,39.37%,,1.04%,3.63%,7.75%,11.38%,-0.82%,57.06%,67.01,,38.73,-0.28%,5699,
"DEF","Invesco Defensive Equity ETF","Financial","Exchange Traded Fund",,,1.21%,,,,,,,,,,0.68%,3.25%,1.26%,9.87%,21.47%,19.08%,,0.53%,1.14%,2.90%,7.99%,-0.00%,24.91%,68.06,,70.45,0.04%,6395,
"DEI","Douglas Emmett, Inc.","Real Estate","REIT - Office",6496.81,103.13,3.03%,-6.10%,7.00%,175.48,1.60%,1.11%,98.60%,0.45%,5.02%,19.90%,3.74%,9.69%,14.87%,9.62%,21.09%,26.53%,0.84,2.33%,7.84%,10.83%,11.69%,-0.08%,39.58%,70.47,2.80,36.92,1.85%,596022,36.58
"DELL","Dell Technologies Inc.","Technology","Computer Hardware",43529.16,11.69,,36.00%,13.10%,763.00,2.70%,-24.52%,84.80%,0.25%,5.41%,6.40%,2.11%,3.91%,14.42%,14.04%,69.30%,52.72%,0.88,2.44%,1.27%,6.09%,15.34%,-2.67%,72.81%,57.85,2.10,56.70,1.25%,7110092,84.16
"DEM","WisdomTree Emerging Markets High Dividend Fund","Financial","Exchange Traded Fund",,,4.50%,,,,,,,,,,0.28%,-3.20%,-1.91%,-4.91%,13.75%,5.98%,,0.67%,-0.63%,-1.62%,-2.46%,-8.44%,14.47%,47.03,,43.60,-0.27%,109831,
"DEMZ","Democratic Large Cap Core ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-0.20%,4.71%,10.31%,23.39%,,29.83%,,0.90%,1.93%,3.62%,15.43%,-1.16%,37.74%,66.53,,29.81,-0.23%,7510,
"DEN","Denbury Inc.","Energy","Oil & Gas E&P",4293.96,,,-18.70%,-9.80%,51.09,2.84%,0.00%,,-0.77%,7.33%,,-4.36%,16.81%,30.27%,48.43%,376.28%,232.23%,,4.66%,1.90%,11.20%,37.40%,-6.52%,394.78%,57.10,1.90,85.35,-0.50%,541551,92.96
"DENN","Denny's Corporation","Consumer Cyclical","Restaurants",968.64,26.73,,-17.10%,-10.10%,65.45,1.40%,-3.82%,87.10%,-0.25%,7.22%,10.90%,-6.42%,-1.18%,-2.34%,-14.02%,44.01%,2.32%,1.67,4.49%,-3.57%,-5.54%,-10.06%,-24.98%,47.83%,43.17,2.10,15.02,0.27%,420960,18.57
