no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
1424,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,USA,7428.55,27.16,6.86,4.98,1.89,2.15,8.75,10.16,2.63%,9.20%,2.45,,3.08%,,5.45%,-16.20%,95.40%,-7.50%,117.11,103.99,0.04%,0.00%,,13.34%,13.53%,10.81,64.40%,533.10%,237.70%,0.7,0.7,0.41,0.41,65.10%,,,1.36%,-4.17%,6.87%,26.99%,54.81%,3.18%,,2.85,4.20%,4.15%,-0.79%,1.00%,12.02%,-9.63%,14.41%,-9.63%,66.42%,48.4,-2.96%,0.48%,2.0,1302.15,0.82,66.57,-2.49%,1063909,2/23/2022 4:30:00 PM,98.82,2/10/2021,66.57,0.00%,69.0,94,1.36,66.57,67.05,66.05,59.53,40.0,73.66,29.0,48.45,64.0,True
1495,CLBK,"Columbia Financial, Inc.",Financial,Banks - Regional,USA,2336.25,24.51,24.59,,8.65,2.16,6.88,20.93,,0.00%,0.88,6.60%,6.67%,15.30%,,12.60%,49.90%,-9.30%,102.98,41.06,0.30%,0.00%,16.70%,2.14%,2.04%,6.06,0.90%,8.20%,13.90%,,,0.73,0.73,,86.40%,30.90%,1.07%,6.23%,13.24%,20.62%,32.84%,3.74%,0.35,0.42,1.53%,2.35%,2.32%,3.89%,15.32%,-1.59%,11.26%,-1.59%,36.19%,61.95,-0.05%,0.05%,1.5,138.02,0.5,21.64,0.00%,68896,1/25/2022 4:30:00 PM,23.0,4/20/2018,,,84.0,86,1.17,21.64,21.22,20.86,18.78,16.0,21.99,18.0,6.28,62.666666666666664,True
1500,CLDT,Chatham Lodging Trust,Real Estate,REIT - Hotel & Motel,USA,736.5,,,,4.18,0.9,39.6,167.39,,,-0.26,-513.90%,74.40%,-31.20%,12.00%,-12.10%,82.40%,83.70%,48.76,47.51,1.90%,1.08%,83.80%,-0.03%,2.44%,3.55,-0.90%,-1.70%,-4.90%,,,0.67,0.67,76.40%,-2.20%,-7.10%,3.39%,8.50%,16.19%,30.51%,21.58%,8.82%,1.92,0.51,3.49%,3.95%,9.82%,10.69%,16.81%,1.15%,23.59%,-0.13%,35.73%,67.63,0.95%,0.27%,1.8,326.61,1.32,14.93,1.22%,431230,2/24/2022 8:30:00 AM,15.62,4/16/2010,14.93,0.00%,75.0,78,1.07,14.93,13.66,13.53,12.79,11.0,15.12,28.0,4.62,60.333333333333336,True
1561,CMRE,Costamare Inc.,Industrials,Marine Shipping,Monaco,1788.71,6.5,3.43,,2.84,1.12,6.31,,3.22%,18.90%,2.2,-130.60%,73.37%,-16.10%,,-1.30%,506.10%,100.40%,123.31,54.76,77.90%,0.00%,26.90%,-2.89%,1.46%,1.28,7.40%,18.60%,2.10%,1.1,1.0,1.43,1.61,73.10%,47.30%,42.90%,2.37%,8.26%,17.05%,15.91%,50.16%,12.89%,1.35,0.48,3.66%,3.80%,8.61%,12.47%,13.09%,-1.72%,27.05%,-14.59%,55.56%,67.13,2.51%,-0.14%,1.3,624.96,1.37,14.28,2.37%,856484,,18.5,11/4/2010,14.28,0.00%,91.0,91,1.27,14.28,13.21,12.74,12.64,9.18,16.72,17.0,29.55,66.33333333333333,True
1592,CNR,"Cornerstone Building Brands, Inc.",Industrials,Building Products & Equipment,USA,2846.72,4.54,8.95,0.13,0.54,2.52,4.19,,,0.00%,4.89,508.30%,26.46%,-49.80%,34.70%,22.30%,1933.50%,17.70%,126.16,54.32,1.70%,-8.73%,92.80%,-0.20%,3.70%,2.04,11.20%,99.30%,-6.70%,2.5,1.8,2.71,2.74,21.70%,20.30%,11.70%,29.53%,43.30%,32.38%,42.56%,100.36%,27.52%,2.01,1.23,6.34%,6.55%,38.05%,36.05%,37.09%,-3.93%,64.25%,-3.93%,104.60%,74.3,1.74%,0.28%,2.0,984.71,2.2,22.24,2.02%,2164882,2/21/2022 4:30:00 PM,23.5,4/3/1992,22.24,0.00%,69.0,98,1.76,22.24,16.48,16.46,16.26,10.87,23.15,18.0,5.67,61.666666666666664,True
1605,CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,10836.57,26.63,18.92,1.71,1.94,4.03,59.54,29.68,0.49%,0.00%,7.69,141.20%,-10.52%,,15.60%,28.60%,88.80%,12.70%,51.56,42.23,0.60%,-14.17%,85.10%,0.77%,1.72%,2.68,7.90%,15.80%,12.30%,1.6,1.6,0.31,0.31,35.30%,10.20%,7.20%,-0.46%,24.60%,9.32%,25.54%,80.88%,14.68%,,7.13,3.10%,4.06%,6.70%,13.24%,20.38%,-1.74%,32.85%,-1.74%,94.32%,66.02,0.92%,-0.53%,1.0,271.04,0.46,204.85,0.39%,123988,1/18/2022 4:30:00 PM,215.67,11/24/2020,204.85,0.00%,100.0,97,1.59,204.85,193.77,181.55,170.41,105.42,208.48,14.0,5.28,70.33333333333333,True
1643,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,3287.97,3.22,7.59,,0.9,1.26,4.5,,,0.00%,16.22,8.30%,23.06%,21.80%,-8.54%,240.20%,80.90%,-0.30%,78.94,73.64,1.60%,-8.48%,89.10%,0.04%,3.36%,2.72,6.20%,48.30%,4.00%,,,3.15,3.98,,47.80%,39.80%,26.34%,16.55%,24.14%,37.23%,77.94%,25.43%,1.6,1.75,6.12%,3.98%,24.18%,24.71%,33.93%,0.40%,39.28%,0.40%,82.23%,81.46,1.08%,0.21%,2.1,909.65,1.35,52.19,1.30%,1231081,2/11/2022 8:30:00 AM,51.86,3/28/2012,52.2,0.02%,66.0,97,1.56,52.19,42.43,42.07,39.06,28.64,52.34,19.0,-0.63,60.666666666666664,True
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,116933.81,14.87,11.49,8.37,2.55,2.72,11.12,54.98,1.68%,146.30%,6.07,-139.20%,-9.72%,6.80%,1.78%,-8.60%,526.20%,158.20%,1332.29,1317.82,0.10%,-20.39%,80.50%,0.09%,1.30%,2.08,2.30%,4.60%,-2.40%,1.9,1.8,0.42,0.45,48.20%,5.90%,4.00%,-2.95%,3.09%,24.53%,68.99%,89.68%,24.98%,1.45,3.16,2.74%,3.64%,0.75%,11.51%,34.74%,-4.97%,36.94%,-4.97%,90.40%,56.85,0.24%,0.35%,1.8,8200.49,0.84,90.21,0.59%,6852053,2/3/2022 8:30:00 AM,99.98,1/13/1978,90.0,-0.23%,75.0,98,1.66,90.21,89.68,81.32,67.29,47.51,94.93,13.0,10.83,62.0,True
1666,CPF,Central Pacific Financial Corp.,Financial,Banks - Regional,USA,828.72,10.57,11.61,1.32,3.79,1.51,2.32,35.12,3.34%,46.90%,2.83,-35.00%,13.51%,-1.20%,8.00%,6.40%,202.80%,12.00%,27.97,27.29,0.40%,-0.05%,91.90%,1.83%,2.07%,3.2,0.80%,10.20%,28.00%,,,0.19,0.19,,87.70%,25.50%,2.60%,-1.32%,7.16%,18.61%,42.21%,6.32%,1.21,0.77,2.13%,2.83%,2.48%,4.17%,10.90%,-3.29%,13.58%,-3.29%,42.35%,58.41,0.98%,-0.50%,1.7,176.48,0.86,29.95,0.47%,150974,1/26/2022 8:30:00 AM,32.67,8/28/1987,29.95,0.00%,78.0,90,1.25,29.95,29.24,28.8,27.01,21.04,30.97,9.0,9.08,59.0,True
1677,CPRI,Capri Holdings Limited,Consumer Cyclical,Apparel Manufacturing,United Kingdom,10893.5,19.58,10.66,0.36,2.03,3.82,41.74,16.0,,0.00%,3.61,72.10%,10.65%,-15.90%,54.49%,-2.90%,79.40%,23.60%,149.72,144.01,0.70%,-39.53%,91.90%,0.28%,3.64%,2.86,7.40%,22.30%,-1.30%,1.2,0.6,0.35,0.36,65.80%,12.00%,10.40%,1.14%,23.97%,8.25%,27.82%,59.95%,9.01%,2.52,3.24,3.84%,5.39%,14.19%,13.31%,23.53%,-2.22%,37.53%,-2.22%,62.82%,65.6,1.89%,-0.70%,2.1,1831.43,0.49,70.76,1.17%,901359,2/2/2022 8:30:00 AM,84.76,12/15/2011,70.76,0.00%,66.0,95,1.41,70.76,62.68,62.59,57.35,43.46,72.37,18.0,19.79,59.666666666666664,True
1747,CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,1942.99,28.32,15.57,,1.88,4.35,8.65,18.92,1.66%,47.00%,2.13,-28.70%,8.39%,-0.60%,-5.00%,5.70%,20.10%,7.80%,31.76,31.56,2.10%,0.00%,99.70%,0.45%,4.44%,5.23,5.00%,15.20%,9.70%,1.1,1.1,0.32,0.85,48.00%,11.30%,6.40%,0.55%,6.53%,14.47%,29.72%,26.36%,4.76%,0.86,1.66,2.17%,3.03%,4.55%,5.23%,20.35%,-1.97%,12.61%,-1.97%,41.76%,62.6,1.29%,0.15%,1.0,268.17,1.64,60.36,1.45%,439745,2/1/2022 4:30:00 PM,66.0,2/28/1996,60.36,0.00%,100.0,81,1.11,60.36,57.94,57.48,50.23,42.58,61.58,19.0,9.34,66.66666666666667,True
1785,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,17742.32,26.17,6.71,0.35,10.55,3.93,232.53,59.48,1.97%,47.80%,0.87,-69.30%,16.56%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.51%,64.10%,16.68%,3.55%,3.45,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,0.62%,4.81%,9.01%,57.11%,30.75%,20.37%,-0.2,0.94,4.02%,4.24%,4.44%,8.73%,22.49%,-6.23%,24.36%,-6.23%,65.36%,56.23,-1.08%,0.87%,2.3,8205.59,0.67,22.87,-0.22%,5536042,2/23/2022 4:30:00 PM,27.52,2/8/1990,22.87,0.00%,59.0,81,1.11,22.87,22.0,21.1,19.03,14.28,24.39,30.0,20.33,56.666666666666664,True
1829,CVS,CVS Health Corporation,Healthcare,Healthcare Plans,USA,137835.88,17.45,11.59,3.04,0.47,1.83,11.0,10.51,2.12%,33.30%,5.96,8.80%,8.15%,3.90%,5.74%,10.50%,30.60%,10.10%,1322.0,1308.28,0.10%,-21.60%,79.20%,0.46%,1.10%,2.13,3.40%,10.80%,7.80%,0.9,0.6,0.69,0.75,39.80%,4.40%,2.70%,-0.81%,-0.55%,11.90%,22.88%,45.33%,0.76%,0.8,2.5,1.89%,2.38%,-1.68%,0.68%,15.21%,-6.57%,13.48%,-6.57%,52.81%,47.1,0.86%,0.08%,2.1,6764.03,0.83,103.94,0.94%,5623404,2/9/2022 8:30:00 AM,115.47,10/1/1952,103.15,-0.76%,66.0,91,1.28,103.94,105.74,103.47,90.33,68.02,111.25,14.0,11.09,57.0,True
1833,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,253722.25,16.51,14.56,,1.63,1.9,42.06,,3.99%,279.00%,8.13,-291.90%,-11.97%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-63.37%,67.80%,0.68%,1.22%,1.87,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,-2.53%,3.80%,14.51%,38.88%,41.37%,14.44%,1.17,3.35,2.17%,2.53%,0.49%,7.13%,21.65%,-3.69%,21.29%,-3.69%,45.02%,55.33,-0.52%,0.55%,2.2,12434.73,0.91,134.3,0.03%,11339191,1/28/2022 8:30:00 AM,141.05,6/24/1921,134.13,-0.13%,63.0,89,1.24,134.3,133.91,125.73,110.54,92.86,139.44,12.0,5.03,54.666666666666664,True
1958,DELL,Dell Technologies Inc.,Technology,Computer Hardware,USA,46991.23,6.97,8.61,1.23,0.45,5.16,2.1,4.46,,0.00%,8.65,3.00%,6.64%,36.00%,5.65%,13.10%,351.90%,20.90%,766.0,282.51,0.60%,-14.44%,90.60%,1.47%,2.95%,1.92,5.40%,137.50%,10.50%,0.8,0.7,3.54,5.36,30.30%,9.70%,6.50%,-0.79%,1.36%,6.33%,22.74%,49.35%,7.33%,0.83,1.51,2.55%,2.84%,3.96%,4.65%,13.27%,-2.03%,13.58%,-2.03%,54.50%,59.46,1.57%,-0.77%,2.1,4332.59,0.69,60.29,0.79%,3001653,2/24/2022 4:30:00 PM,66.61,8/17/2016,60.29,0.00%,66.0,92,1.31,60.29,58.11,57.64,53.3,39.04,61.54,18.0,10.48,58.666666666666664,True
2143,DSKE,"Daseke, Inc.",Industrials,Trucking,USA,737.66,16.23,9.3,0.65,0.47,6.96,5.14,9.24,,0.00%,0.71,99.80%,8.33%,29.40%,25.00%,16.50%,76.80%,13.00%,62.58,39.58,3.50%,-11.76%,40.90%,5.80%,3.75%,3.26,3.70%,48.10%,4.70%,1.6,1.6,5.18,5.72,54.50%,5.40%,2.60%,0.52%,22.10%,10.48%,22.76%,121.39%,14.44%,1.98,0.45,3.43%,5.28%,8.42%,13.82%,30.19%,-1.71%,37.88%,-1.71%,122.67%,66.04,1.14%,0.09%,2.2,455.56,1.16,11.49,1.23%,529798,1/25/2022 8:30:00 AM,12.75,10/12/2015,11.49,0.00%,63.0,99,1.94,11.49,10.71,10.13,8.84,5.16,11.69,18.0,10.97,60.0,True
2183,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,35182.9,31.15,9.77,1.25,3.94,4.05,15.16,12.78,0.82%,19.80%,1.73,3855.60%,64.25%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.84,0.50%,-3.31%,90.10%,-2.27%,2.69%,1.45,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,3.32%,6.93%,28.16%,115.81%,178.97%,22.25%,2.91,2.61,4.63%,5.52%,4.92%,14.00%,54.36%,-2.87%,51.48%,-2.87%,192.20%,61.1,3.34%,1.34%,1.8,11882.45,1.74,53.85,4.73%,20719268,2/15/2022 4:30:00 PM,55.23,3/17/1992,53.9,0.09%,75.0,99,2.3,53.85,51.57,47.55,36.03,19.61,55.7,27.0,2.56,67.0,True
2262,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,USA,2090.47,7.21,8.13,0.55,1.44,1.54,13.21,,,0.00%,9.88,25.30%,-19.66%,21.00%,13.00%,5.70%,55.20%,-7.10%,30.23,28.76,0.40%,-41.92%,,1.44%,17.56%,11.65,6.60%,23.80%,9.40%,,,2.0,2.0,77.60%,40.10%,21.50%,2.24%,6.81%,20.46%,50.51%,120.38%,14.72%,1.35,1.92,2.32%,2.83%,7.02%,13.45%,35.15%,-0.41%,29.29%,-0.41%,123.92%,71.96,1.29%,0.40%,2.2,433.67,0.99,71.25,1.70%,427663,2/23/2022 4:30:00 PM,69.0,7/9/1999,71.25,0.00%,63.0,99,1.94,71.25,66.85,63.13,52.87,31.82,71.54,17.0,-3.16,59.666666666666664,True
2424,ENVA,"Enova International, Inc.",Financial,Credit Services,USA,1675.62,6.52,6.33,,1.39,1.44,7.31,3.76,,0.00%,6.79,214.60%,19.98%,54.40%,,0.90%,-56.00%,76.10%,36.74,36.08,1.80%,-11.05%,90.80%,0.53%,2.35%,2.42,21.10%,46.30%,18.70%,15.9,15.9,0.95,0.95,,56.00%,39.80%,-0.45%,1.86%,8.19%,41.35%,52.60%,8.08%,1.52,1.85,3.27%,4.68%,5.83%,7.70%,21.50%,-7.54%,21.75%,-7.54%,63.96%,56.34,-0.74%,-0.91%,2.0,350.17,0.67,44.27,-1.64%,236159,2/3/2022 4:30:00 PM,50.6,10/30/2014,44.27,0.00%,69.0,93,1.34,44.27,42.0,41.22,36.48,27.9,47.88,20.0,14.3,60.666666666666664,True
2432,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,63104.22,21.61,10.48,0.29,4.07,2.98,14.7,12.51,2.68%,31.00%,5.17,-122.20%,23.49%,33.90%,73.84%,4.80%,,105.70%,585.09,583.05,0.30%,1.90%,87.80%,-0.53%,1.14%,1.48,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,-1.36%,5.77%,24.45%,74.98%,91.22%,25.82%,1.82,4.25,3.16%,3.98%,1.53%,12.94%,33.34%,-4.38%,38.55%,-4.38%,91.57%,58.08,-0.28%,1.06%,2.0,4486.73,0.9,111.77,0.78%,4040563,2/25/2022 8:30:00 AM,116.55,10/4/1989,111.77,0.00%,69.0,97,1.62,111.77,110.42,99.69,85.7,60.46,116.89,18.0,4.28,61.333333333333336,True
2521,ESTE,"Earthstone Energy, Inc.",Energy,Oil & Gas E&P,USA,1021.37,,4.37,,3.27,1.25,2553.44,5.9,,,-0.42,156.50%,145.03%,44.30%,21.00%,24.90%,209.30%,169.30%,49.24,36.85,4.10%,-1.47%,73.10%,0.72%,4.61%,3.14,-1.00%,-3.00%,-18.40%,0.3,0.3,0.57,0.57,80.00%,35.80%,-4.10%,-4.65%,-14.03%,12.21%,65.78%,85.74%,14.26%,2.42,0.96,6.59%,7.47%,-4.59%,2.53%,19.47%,-18.14%,32.84%,-18.14%,94.10%,46.69,-4.94%,2.33%,2.2,542.18,1.06,12.5,-2.72%,577337,11/4/2021 8:30:00 AM,21.62,4/18/1994,12.6,0.80%,63.0,97,1.63,12.5,13.05,12.24,10.49,6.44,15.27,29.0,72.96,63.0,True
2586,EWBC,"East West Bancorp, Inc.",Financial,Banks - Diversified,USA,13389.9,15.25,12.55,1.91,8.27,2.32,1.6,,1.42%,22.80%,6.1,-13.90%,13.95%,8.30%,8.00%,8.60%,40.20%,13.60%,141.88,140.8,0.60%,-0.38%,91.80%,0.89%,2.17%,3.23,1.30%,13.80%,21.00%,,,0.03,0.03,,86.50%,46.50%,3.42%,3.00%,11.49%,28.47%,36.44%,18.26%,1.63,2.71,2.94%,3.40%,7.07%,11.66%,19.82%,0.47%,29.32%,0.47%,41.26%,67.02,2.01%,-0.85%,1.7,946.9,0.76,93.05,1.14%,719851,1/27/2022 8:30:00 AM,107.9,2/3/1999,93.05,0.00%,78.0,87,1.2,93.05,87.19,83.64,77.73,65.87,93.51,17.0,15.96,60.666666666666664,True
2621,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,41001.66,24.59,18.72,1.54,1.18,1.21,13.87,,3.64%,89.40%,1.71,-33.30%,-20.14%,-4.60%,16.00%,2.30%,139.40%,0.60%,979.0,975.59,0.10%,-25.87%,82.60%,0.35%,1.89%,1.75,1.30%,5.10%,3.40%,0.9,0.8,1.05,1.23,58.10%,6.80%,4.80%,-1.41%,5.10%,8.57%,22.15%,37.94%,1.97%,0.48,0.99,2.20%,2.63%,1.00%,4.26%,16.79%,-4.59%,13.43%,-4.59%,53.57%,55.34,0.26%,0.36%,2.1,10546.75,0.92,42.0,0.62%,9730734,,50.78,7/6/1943,41.9,-0.24%,66.0,88,1.21,42.0,41.67,40.37,36.02,27.35,44.02,18.0,20.9,57.333333333333336,True
2632,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,33307.9,,19.89,,4.6,15.97,7.73,10.83,,,-6.83,90.50%,39.68%,-24.40%,22.80%,-0.40%,162.10%,147.70%,153.58,144.81,0.40%,-38.32%,97.20%,-0.31%,5.03%,2.76,-1.20%,-18.00%,3.90%,0.9,0.9,3.75,4.11,80.50%,5.00%,-3.70%,8.56%,20.41%,21.83%,52.33%,36.41%,18.30%,1.58,9.08,6.36%,4.77%,15.59%,19.52%,27.89%,0.85%,41.74%,0.85%,56.32%,73.82,2.79%,-1.85%,2.5,2638.43,1.57,213.8,0.88%,4146193,2/10/2022 4:30:00 PM,211.19,7/20/2005,212.5,-0.61%,53.0,87,1.2,213.8,186.83,179.84,167.38,136.77,217.72,14.0,-1.22,51.333333333333336,True
2662,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22626.33,67.37,7.32,1.1,4.08,2.05,49.51,7.87,1.54%,82.70%,1.93,269.40%,58.66%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.97%,90.40%,1.73%,3.24%,2.02,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,0.73%,3.08%,17.83%,85.96%,99.29%,20.37%,2.36,6.28,4.77%,5.24%,1.69%,9.29%,33.48%,-4.93%,36.62%,-4.93%,105.90%,54.93,0.57%,0.94%,1.9,2901.49,0.78,129.82,1.52%,2269482,2/22/2022 4:30:00 PM,143.73,10/12/2012,129.8,-0.02%,72.0,98,1.75,129.82,127.87,119.21,97.51,63.05,136.55,23.0,10.71,64.33333333333333,True
2689,FBP,First BanCorp.,Financial,Banks - Regional,USA,3043.89,11.31,9.31,0.79,3.83,1.42,1.13,9.2,2.69%,24.90%,1.31,-39.70%,14.48%,35.50%,14.40%,2.70%,181.20%,17.50%,206.72,194.38,1.30%,-3.45%,99.60%,2.30%,2.06%,2.19,1.00%,9.50%,18.20%,,,0.09,0.09,,84.90%,26.10%,-0.67%,-8.38%,2.84%,18.86%,45.36%,7.91%,1.24,0.51,2.70%,3.65%,-0.03%,2.89%,12.13%,-10.53%,19.49%,-10.53%,46.72%,50.77,1.02%,-1.01%,2.0,1826.16,0.61,14.87,0.00%,1111451,1/26/2022 8:30:00 AM,24.0,1/13/1987,14.87,0.00%,69.0,91,1.28,14.87,14.83,14.48,13.27,10.14,16.62,12.0,61.4,57.333333333333336,True
2703,FCF,First Commonwealth Financial Corporation,Financial,Banks - Regional,USA,1601.65,11.64,11.52,1.45,5.45,1.44,4.79,20.38,2.74%,37.50%,1.44,-29.70%,12.43%,6.00%,8.00%,8.10%,81.90%,0.80%,95.62,94.17,1.00%,0.00%,72.20%,1.46%,2.24%,3.82,1.20%,10.40%,15.10%,,,0.15,0.26,,85.70%,38.90%,0.30%,-3.01%,6.81%,26.83%,31.40%,4.29%,1.05,0.44,2.05%,2.99%,1.20%,3.12%,13.65%,-4.82%,14.15%,-4.82%,35.76%,54.21,0.48%,-0.42%,2.5,550.78,1.07,16.78,0.06%,591625,1/25/2022 4:30:00 PM,18.67,6/10/1992,16.78,0.00%,53.0,84,1.15,16.78,16.58,16.3,14.77,12.36,17.63,13.0,11.26,50.0,True
2818,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,34257.45,13.28,12.79,,6.57,1.69,0.9,,2.42%,31.20%,3.73,-45.10%,13.72%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,681.88,0.20%,-6.51%,83.70%,-0.27%,1.57%,1.99,1.20%,12.00%,13.80%,,,0.56,0.56,,96.40%,47.40%,0.65%,-0.22%,10.44%,31.99%,49.04%,13.69%,1.38,1.4,2.57%,3.23%,5.73%,8.10%,18.00%,-2.23%,22.64%,-2.23%,51.82%,63.18,1.10%,-0.83%,1.9,5370.77,0.69,49.51,0.26%,3690267,1/20/2022 8:30:00 AM,51.68,3/17/1980,49.51,0.00%,72.0,92,1.31,49.51,46.91,45.92,42.0,32.61,50.64,18.0,4.38,60.666666666666664,True
2959,FOXA,Fox Corporation,Communication Services,Broadcasting,USA,23578.08,17.55,11.77,2.92,1.73,2.17,5.54,21.85,1.12%,19.00%,2.45,122.80%,24.62%,15.90%,6.00%,7.70%,-139.90%,8.70%,569.0,461.75,0.10%,0.00%,99.94%,0.77%,3.18%,4.05,6.30%,12.80%,12.40%,3.0,2.6,0.64,0.71,35.50%,18.60%,10.60%,-1.92%,7.79%,6.41%,17.64%,33.68%,16.56%,,1.29,3.12%,3.33%,5.95%,10.84%,12.34%,-4.32%,22.01%,-4.32%,36.53%,63.96,0.70%,-1.02%,2.4,3623.53,0.87,43.01,-0.32%,3140209,2/9/2022 8:30:00 AM,47.26,3/12/2019,42.4,-1.42%,56.0,86,1.17,43.01,40.76,38.93,38.32,31.67,44.95,11.0,9.88,51.0,True
3161,GCO,Genesco Inc.,Consumer Cyclical,Apparel Retail,USA,1019.78,6.9,9.61,0.69,0.44,1.65,3.61,4.68,,0.00%,9.91,-200.00%,5.02%,-24.20%,10.00%,-10.00%,333.50%,25.30%,14.31,13.71,2.30%,-0.01%,98.90%,-0.38%,7.99%,6.77,8.70%,24.60%,-8.60%,1.6,0.9,0.03,0.03,47.90%,5.80%,6.10%,-1.31%,11.88%,-5.74%,14.51%,53.35%,6.51%,2.06,3.24,4.36%,5.31%,6.55%,8.41%,12.16%,-2.29%,21.62%,-7.28%,67.94%,58.83,1.18%,-0.34%,2.5,161.85,0.85,68.35,0.84%,137286,12/3/2021 8:30:00 AM,72.67,1/5/1950,68.35,0.00%,53.0,93,1.35,68.35,64.54,63.14,61.02,40.7,73.72,19.0,6.32,55.0,True
3271,GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,Bermuda,1578.94,,40.24,,3.47,0.92,2.53,6.94,,0.00%,-1.44,-34.00%,144.00%,-9.00%,4.00%,33.70%,-355.60%,12.00%,106.24,91.22,46.50%,0.00%,69.50%,1.41%,2.10%,2.11,9.00%,27.00%,3.40%,0.5,0.5,0.67,1.33,70.50%,72.60%,90.90%,3.04%,8.37%,13.06%,43.17%,37.36%,20.18%,0.7,0.59,3.76%,4.58%,5.26%,13.32%,19.31%,-3.87%,38.00%,-3.87%,60.80%,60.18,0.47%,0.34%,2.0,910.66,0.58,14.89,0.81%,529323,,17.91,12/18/2002,14.8,-0.60%,69.0,88,1.21,14.89,14.21,13.21,12.5,9.26,15.49,7.0,20.28,54.666666666666664,True
3471,HAFC,Hanmi Financial Corporation,Financial,Banks - Regional,USA,824.73,12.1,11.33,1.51,3.87,1.34,0.98,5.79,2.93%,17.70%,2.26,30.00%,-11.98%,-4.00%,8.00%,6.40%,62.20%,1.10%,30.47,30.04,0.40%,0.05%,90.90%,0.63%,1.62%,2.59,1.10%,11.50%,13.80%,,,0.35,0.35,,85.60%,32.20%,3.45%,3.21%,11.29%,47.33%,71.70%,15.29%,1.13,0.93,3.03%,3.87%,3.45%,10.01%,27.83%,-5.34%,28.23%,-5.34%,78.72%,62.61,2.25%,-0.63%,2.3,187.57,1.34,27.3,1.60%,251800,1/25/2022 4:30:00 PM,28.92,5/14/1997,27.3,0.00%,59.0,96,1.51,27.3,26.46,24.9,21.39,15.68,28.84,18.0,5.93,57.666666666666664,True
3475,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,29166.29,20.58,14.35,0.33,1.91,4.48,9.58,30.67,0.54%,11.00%,1.63,148.90%,32.88%,17.50%,62.70%,-0.80%,447.50%,32.10%,895.0,891.41,0.40%,-4.12%,79.70%,2.20%,1.71%,1.38,6.90%,25.40%,12.60%,2.3,1.8,1.37,1.38,13.20%,11.80%,9.50%,2.82%,17.38%,42.19%,77.62%,71.54%,46.79%,2.49,1.28,4.37%,4.48%,8.18%,24.64%,43.21%,-0.18%,59.36%,-0.18%,88.40%,69.94,2.04%,1.17%,2.2,11007.5,1.19,33.57,3.23%,13069613,1/24/2022 8:30:00 AM,32.14,9/15/1948,33.6,0.09%,63.0,96,1.51,33.57,31.29,27.15,23.5,17.82,34.32,5.0,-4.26,54.666666666666664,True
