no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_sp500
5104,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,15415.27,,9.44,,3.43,1.5,,11.27,1.17%,,-0.05,-409.20%,64.05%,6.10%,-2.40%,-8.60%,158.10%,92.00%,789.0,765.84,0.30%,-6.69%,76.70%,2.19%,3.18%,1.35,-0.20%,-0.40%,-7.70%,1.0,0.9,0.37,0.37,88.50%,3.80%,-0.90%,-2.70%,5.50%,22.63%,78.76%,114.41%,25.09%,2.84,0.91,3.64%,4.71%,1.45%,13.74%,40.78%,-7.81%,43.70%,-7.81%,125.47%,54.97,1.08%,-4.20%,2.2,18052.76,1.28,20.54,-3.16%,23023278,2/16/2022 4:30:00 PM,21.55,11/26/1965,20.59,0.24%,63.0,99,1.89,20.54,20.3,18.16,14.64,9.11,22.28,18.0,4.92,60.0,True
5138,MTB,M&T Bank Corporation,Financial,Banks - Regional,USA,23774.79,14.14,12.68,2.78,5.9,1.5,0.58,15.86,2.61%,33.80%,13.01,-27.70%,29.24%,6.70%,5.08%,5.70%,34.20%,-0.80%,128.69,128.05,0.30%,-1.21%,87.50%,-0.40%,4.86%,5.0,1.10%,10.90%,17.60%,,,0.22,0.22,,95.70%,41.50%,-0.20%,-0.76%,14.81%,33.19%,24.11%,19.76%,0.97,5.42,2.37%,3.39%,5.37%,11.46%,20.49%,-1.62%,30.00%,-1.62%,43.18%,63.58,0.59%,1.36%,2.5,1242.95,0.63,183.93,1.95%,789144,1/20/2022 8:30:00 AM,187.74,3/17/1980,183.93,0.00%,53.0,81,1.09,183.93,174.63,165.75,152.78,128.46,186.95,16.0,2.07,50.0,True
5358,NLOK,NortonLifeLock Inc.,Technology,Software - Infrastructure,USA,17245.43,18.63,15.37,1.5,6.27,,9.68,24.78,1.72%,32.00%,1.56,29.00%,9.15%,24.10%,12.40%,-6.70%,17.90%,9.90%,582.0,579.53,0.10%,-0.15%,98.25%,3.41%,4.60%,5.95,13.70%,-274.30%,23.60%,0.7,0.7,,,85.20%,41.00%,33.10%,-3.06%,8.44%,15.90%,12.29%,37.83%,12.20%,0.63,0.86,3.06%,3.08%,7.32%,10.91%,12.03%,-5.71%,22.48%,-5.71%,50.18%,62.48,-1.05%,-0.07%,2.1,4478.12,1.28,29.15,-1.12%,5722576,2/3/2022 4:30:00 PM,29.26,6/23/1989,29.25,0.34%,66.0,88,1.2,29.15,27.28,26.38,26.06,19.41,30.92,18.0,0.38,57.333333333333336,True
5751,OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,USA,35227.4,,11.18,,1.57,4.09,17.11,5.69,0.10%,,-0.79,155.00%,63.94%,-8.00%,37.40%,7.30%,115.80%,64.90%,935.4,932.01,0.21%,0.00%,71.00%,0.57%,3.75%,2.09,-1.40%,-12.90%,-23.10%,1.1,0.9,3.39,3.48,59.40%,7.40%,-5.00%,1.27%,12.22%,24.61%,65.49%,49.08%,37.46%,2.12,1.95,4.63%,5.33%,4.03%,18.29%,33.22%,-7.66%,52.98%,-7.66%,84.32%,58.51,0.71%,-4.03%,2.5,16747.79,1.41,39.85,-3.35%,23595681,2/24/2022 4:30:00 PM,43.68,7/2/1962,39.8,-0.13%,53.0,94,1.32,39.85,38.5,33.9,29.98,21.62,43.16,6.0,9.61,51.0,True
6189,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,USA,37208.9,,11.22,,0.39,2.15,12.84,,4.16%,,-1.16,-232.00%,3.02%,-26.00%,13.00%,-8.30%,149.80%,89.90%,440.19,436.94,0.30%,-10.68%,70.30%,-0.54%,2.64%,3.21,-3.10%,-9.30%,-12.70%,1.2,0.8,0.74,0.82,7.70%,-3.90%,-1.80%,-0.45%,-0.18%,12.05%,26.37%,9.65%,22.03%,1.51,3.01,2.76%,3.70%,1.24%,10.34%,12.58%,-5.48%,28.95%,-6.28%,39.93%,55.99,-0.09%,-2.23%,1.9,3589.14,0.95,88.42,-2.32%,3393965,1/28/2022 8:30:00 AM,99.71,4/12/2012,88.24,-0.20%,72.0,71,0.98,88.42,87.32,80.51,78.56,63.19,94.34,20.0,12.77,54.333333333333336,True
6248,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,USA,51478.8,43.07,10.33,,3.6,2.31,71.01,14.87,1.05%,59.00%,5.09,-126.30%,64.94%,7.50%,,19.50%,889.30%,167.20%,244.0,242.59,0.40%,0.16%,86.50%,-0.01%,2.46%,2.73,4.30%,7.00%,1.50%,0.6,0.6,0.29,0.3,49.30%,28.50%,9.30%,-0.75%,1.61%,22.02%,53.71%,63.64%,20.51%,1.66,7.8,3.52%,3.66%,0.05%,9.75%,28.26%,-5.87%,31.27%,-5.87%,69.16%,54.87,0.95%,-3.09%,1.9,2188.41,1.36,219.18,-2.17%,2985195,2/16/2022 4:30:00 PM,238.85,12/22/1987,219.18,0.00%,72.0,95,1.42,219.18,219.22,200.55,173.17,131.76,232.84,27.0,8.97,64.66666666666667,True
6465,RF,Regions Financial Corporation,Financial,Banks - Regional,USA,24195.96,10.16,11.15,0.4,5.93,1.43,0.88,16.92,2.69%,24.30%,2.49,-31.50%,9.67%,6.30%,25.10%,3.40%,24.60%,-5.00%,955.0,949.44,0.47%,-0.54%,77.20%,0.55%,2.20%,2.27,1.60%,14.80%,12.30%,,,0.14,0.14,,,60.10%,0.80%,-0.47%,4.33%,26.83%,26.32%,16.01%,1.36,0.84,2.72%,3.58%,6.38%,9.33%,15.55%,-0.94%,24.89%,-0.94%,40.34%,62.55,1.65%,1.47%,2.3,9184.0,0.87,25.29,3.14%,7950554,1/20/2022 8:30:00 AM,26.61,3/17/1980,25.29,0.00%,59.0,82,1.1,25.29,23.8,23.2,21.9,18.02,25.53,21.0,5.22,54.0,True
6509,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,USA,23816.95,15.5,12.45,1.81,2.28,2.7,2.9,11.2,1.21%,13.90%,7.25,71.00%,20.07%,22.20%,8.54%,12.40%,40.70%,24.70%,206.3,185.58,0.40%,-7.02%,76.50%,-0.29%,1.61%,2.53,2.50%,19.00%,3.20%,,,0.34,4.33,96.20%,18.60%,14.70%,-2.11%,3.61%,13.11%,23.84%,44.17%,11.91%,1.11,3.4,2.80%,3.39%,5.74%,8.69%,18.64%,-4.27%,20.79%,-4.27%,48.02%,59.75,1.54%,1.08%,1.9,1180.15,0.96,112.36,2.63%,1130482,1/26/2022 4:30:00 PM,133.88,7/1/1983,112.36,0.00%,72.0,91,1.26,112.36,106.63,103.71,94.83,75.91,117.37,15.0,19.15,59.333333333333336,True
6757,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,USA,176586.32,31.73,18.56,1.46,9.3,3.56,5.14,30.11,0.80%,30.30%,2.83,-20.60%,26.54%,15.60%,21.70%,13.20%,55.90%,85.00%,1888.0,1600.54,7.19%,-2.06%,87.80%,0.22%,1.08%,2.38,0.70%,8.90%,0.60%,,,0.41,8.8,97.50%,31.80%,22.00%,-5.60%,-6.17%,9.42%,23.64%,46.23%,6.59%,1.0,3.0,3.08%,3.41%,-1.03%,2.38%,15.50%,-6.86%,15.43%,-6.86%,52.86%,49.07,0.55%,1.61%,2.0,7267.56,0.83,89.64,2.17%,6049485,1/18/2022 8:30:00 AM,104.69,9/22/1987,89.99,0.39%,69.0,92,1.29,89.64,90.44,87.78,77.71,58.64,96.24,21.0,16.79,60.666666666666664,True
7295,STT,State Street Corporation,Financial,Asset Management,USA,37537.74,13.96,9.62,0.98,19.09,1.38,0.25,,2.27%,32.60%,7.19,17.60%,23.17%,7.20%,14.29%,0.80%,35.40%,-6.50%,347.72,346.19,0.20%,-7.74%,92.00%,-0.39%,0.87%,1.27,0.70%,9.40%,4.20%,,,0.51,0.0,,98.50%,,-1.50%,-3.32%,0.40%,13.81%,33.48%,7.87%,1.53,3.11,2.66%,3.71%,3.65%,4.62%,10.81%,-4.34%,15.09%,-4.34%,40.56%,57.41,0.30%,1.36%,2.2,2367.39,0.46,100.32,1.66%,1097266,1/19/2022 8:30:00 AM,116.43,3/17/1980,100.32,0.00%,63.0,87,1.17,100.32,96.75,96.1,90.61,71.37,104.87,14.0,16.06,54.666666666666664,True
7676,TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,USA,34019.16,8.8,11.81,1.17,0.69,1.85,11.51,17.74,1.96%,16.80%,10.67,48.00%,-5.09%,13.00%,7.50%,5.00%,138.70%,23.60%,362.0,285.54,1.20%,-5.57%,87.00%,1.27%,1.19%,1.45,10.30%,21.60%,12.60%,1.7,0.9,0.45,0.51,15.30%,10.40%,7.50%,-4.81%,0.21%,11.71%,16.34%,39.78%,7.80%,0.78,2.5,2.28%,2.39%,1.09%,5.10%,16.55%,-6.71%,15.10%,-6.71%,45.00%,53.76,-0.78%,-0.19%,2.2,2334.46,0.9,93.96,-0.97%,2092809,2/7/2022 8:30:00 AM,101.18,3/17/1980,93.96,0.00%,63.0,91,1.26,93.96,92.95,89.63,80.7,64.8,100.72,10.0,7.68,54.666666666666664,True
7847,UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,USA,195188.55,14.78,16.09,1.05,2.01,15.7,18.48,42.99,1.88%,58.30%,14.7,-69.80%,5.25%,-22.00%,14.03%,7.70%,18.60%,9.20%,870.0,729.21,,,70.00%,-0.29%,0.96%,2.36,9.50%,79.30%,19.90%,1.5,1.5,1.73,1.84,76.50%,10.70%,6.20%,-3.53%,5.19%,2.71%,9.86%,34.94%,1.36%,1.13,6.42,2.47%,2.84%,2.15%,3.00%,6.39%,-7.04%,12.72%,-7.04%,38.74%,52.84,0.33%,1.20%,2.2,2965.23,1.06,217.26,1.53%,3148948,2/1/2022 8:30:00 AM,243.58,11/10/1999,217.23,-0.01%,63.0,87,1.18,217.26,213.27,211.27,204.23,156.59,233.72,20.0,12.11,56.666666666666664,True
8064,VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,USA,35364.19,,12.15,,0.37,2.06,10.11,74.61,4.43%,,-1.09,-160.10%,4.88%,-19.50%,-13.80%,-5.90%,199.10%,86.70%,408.84,407.04,0.30%,-2.18%,79.00%,0.11%,3.13%,3.17,-2.50%,-7.60%,-2.10%,1.3,0.9,0.75,0.81,1.00%,-1.30%,-1.40%,0.05%,3.91%,14.45%,39.40%,29.96%,17.87%,1.97,2.95,2.95%,3.85%,4.06%,12.50%,18.78%,-5.59%,35.93%,-5.59%,50.43%,60.6,0.90%,-2.21%,1.9,4015.53,0.9,88.53,-1.33%,3626423,1/27/2022 8:30:00 AM,94.95,11/1/1984,88.53,-0.00%,72.0,86,1.16,88.53,85.22,79.07,74.58,58.85,93.77,24.0,7.25,60.666666666666664,True
8269,WFC,Wells Fargo & Company,Financial,Banks - Diversified,USA,235728.52,11.78,12.06,,5.94,1.4,0.48,,1.37%,11.50%,4.96,-89.80%,23.25%,-36.90%,,-0.60%,181.20%,-8.90%,4056.3,3948.38,0.10%,0.00%,73.50%,-0.13%,0.92%,1.22,0.70%,8.60%,8.70%,,,0.97,0.97,,95.70%,36.20%,-0.63%,0.55%,14.29%,19.85%,59.55%,21.68%,1.18,1.65,2.61%,3.01%,4.52%,10.71%,20.38%,-3.18%,26.23%,-3.18%,71.71%,64.11,-0.88%,1.82%,2.2,29783.18,0.61,58.38,0.92%,18222758,1/14/2022 8:30:00 AM,62.84,12/10/1962,58.38,-0.01%,63.0,96,1.48,58.38,55.94,52.95,48.56,34.0,60.3,23.0,7.64,60.666666666666664,True
8313,WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,USA,35607.45,36.06,22.67,18.03,3.76,3.25,166.39,36.41,5.49%,196.50%,0.83,-75.90%,7.42%,17.30%,2.00%,1.00%,-46.90%,28.00%,1215.43,1211.98,0.20%,-1.78%,87.50%,1.95%,2.10%,2.85,2.20%,8.80%,3.20%,0.6,0.5,1.82,2.0,65.60%,22.20%,10.70%,-1.81%,1.95%,4.37%,21.98%,29.32%,14.67%,1.32,0.72,2.17%,2.65%,0.17%,6.49%,11.22%,-3.74%,20.11%,-3.74%,34.63%,54.51,-0.07%,-0.66%,2.1,8947.51,0.72,29.86,-0.73%,6430137,2/21/2022 4:30:00 PM,32.09,7/2/1962,29.85,-0.03%,66.0,86,1.15,29.86,29.82,28.09,26.87,22.18,31.02,17.0,7.47,56.333333333333336,True
8339,WRB,W. R. Berkley Corporation,Financial,Insurance - Property & Casualty,USA,16265.76,16.44,14.5,1.83,1.72,2.51,7.86,10.13,0.58%,9.80%,5.48,-20.20%,12.37%,1.70%,9.00%,2.30%,73.20%,18.80%,185.03,134.35,5.70%,-0.24%,71.60%,0.35%,1.00%,1.69,3.10%,14.30%,6.90%,,,0.49,0.49,,14.50%,9.80%,-2.90%,5.28%,12.92%,22.17%,35.40%,9.37%,0.81,2.05,2.05%,2.60%,4.07%,7.75%,16.30%,-3.92%,18.20%,-3.92%,38.19%,61.81,-0.33%,1.03%,2.5,795.82,0.8,90.11,0.69%,636347,1/27/2022 4:30:00 PM,97.67,3/17/1980,88.5,-1.79%,53.0,87,1.17,90.11,86.85,83.89,78.37,66.51,93.79,17.0,8.39,52.333333333333336,True
8542,ZION,"Zions Bancorporation, National Association",Financial,Banks - Regional,USA,11769.96,11.16,12.87,,5.15,1.62,0.9,68.03,2.05%,20.40%,6.66,-27.30%,15.75%,20.30%,,5.20%,42.60%,-2.10%,160.22,154.95,1.00%,-3.35%,84.80%,-1.32%,2.12%,2.34,1.30%,14.70%,20.80%,,,0.14,0.14,,,47.70%,0.46%,5.18%,12.00%,36.70%,46.74%,17.65%,1.31,2.42,3.31%,3.69%,7.88%,12.06%,23.49%,-1.50%,27.72%,-1.50%,57.90%,65.26,1.68%,1.00%,2.5,1403.45,1.16,74.31,2.69%,1631383,1/24/2022 4:30:00 PM,73.0,3/17/1980,74.31,0.00%,53.0,92,1.27,74.31,69.13,66.56,60.27,47.06,75.44,14.0,-1.76,53.0,True
