"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"EGPT","VanEck Vectors Egypt Index ETF","Financial","Exchange Traded Fund",,,2.53%,,,,,,,,,,1.14%,1.40%,1.37%,4.56%,2.71%,4.47%,,1.36%,-0.74%,-0.15%,1.19%,-7.52%,9.24%,47.94,,25.84,-1.07%,3808,
"EGRX","Eagle Pharmaceuticals, Inc.","Healthcare","Drug Manufacturers - Specialty & Generic",666.82,122.84,,40.60%,23.20%,13.08,0.20%,0.00%,95.40%,-0.76%,6.12%,3.70%,-0.22%,-6.25%,3.93%,26.53%,4.23%,9.47%,0.61,2.89%,-0.99%,-2.99%,10.70%,-11.55%,41.23%,45.02,2.30,51.52,1.06%,91279,48.50
"EGY","VAALCO Energy, Inc.","Energy","Oil & Gas E&P",223.92,5.15,,16.60%,-3.50%,58.59,3.70%,-35.80%,40.80%,-1.03%,0.28%,31.60%,0.26%,18.83%,65.95%,41.03%,290.51%,117.51%,2.29,5.95%,7.62%,21.61%,33.08%,-12.30%,278.00%,58.11,1.50,3.78,-1.82%,378991,317.95
"EH","EHang Holdings Limited","Industrials","Aerospace & Defense",1312.14,,,,,55.43,1.04%,0.00%,22.20%,-2.29%,18.68%,,-5.38%,9.65%,2.13%,4.18%,133.11%,15.73%,,6.69%,-2.48%,-0.69%,-27.36%,-81.19%,126.11%,48.83,1.00,24.42,-0.04%,414012,61.50
"EHC","Encompass Health Corporation","Healthcare","Medical Care Facilities",6257.06,15.46,1.79%,8.30%,8.30%,99.00,0.90%,0.00%,93.00%,-0.65%,2.55%,16.30%,-4.13%,-7.22%,-20.27%,-26.62%,-12.89%,-24.13%,0.99,3.16%,-3.67%,-10.94%,-20.34%,-29.79%,3.47%,37.73,1.60,62.96,0.35%,837619,86.54
"EHI","Western Asset Global High Income Fund Inc.","Financial","Closed-End Fund - Debt",229.02,8.91,7.93%,,,22.70,,,22.65%,,,,0.00%,-2.32%,-3.90%,-2.23%,2.02%,0.90%,,0.69%,-0.63%,-1.63%,-2.44%,-7.31%,1.97%,41.19,,10.09,-0.05%,73935,
"EHTH","eHealth, Inc.","Financial","Insurance Brokers",757.35,,,52.90%,25.20%,26.79,4.40%,3.66%,95.90%,-0.28%,9.08%,-2.10%,-8.62%,-39.67%,-36.91%,-56.73%,-61.48%,-61.10%,-0.24,6.43%,-30.82%,-31.09%,-48.95%,-70.11%,14.23%,24.08,2.30,27.85,1.38%,1893793,45.22
"EIDO","iShares MSCI Indonesia ETF","Financial","Exchange Traded Fund",,,1.57%,,,,,,,,,,-0.59%,-4.29%,14.10%,10.42%,10.63%,0.90%,,0.77%,-1.50%,3.04%,7.28%,-6.47%,18.97%,50.13,,23.58,-0.21%,1280070,
"EIG","Employers Holdings, Inc.","Financial","Insurance - Specialty",1124.56,9.03,2.50%,6.50%,-1.10%,28.24,0.50%,0.00%,81.10%,-0.43%,1.33%,23.00%,-1.84%,-0.32%,-3.54%,-3.98%,15.93%,24.32%,0.01,2.53%,-0.35%,-0.18%,-0.27%,-9.04%,32.01%,47.68,2.50,39.86,-0.40%,117661,49.50
"EIGR","Eiger BioPharmaceuticals, Inc.","Healthcare","Biotechnology",265.36,,,48.20%,,33.95,1.22%,0.00%,70.50%,0.68%,2.03%,,6.52%,22.14%,-2.44%,-0.25%,-24.17%,-34.91%,1.29,5.89%,10.14%,11.33%,-6.44%,-42.03%,34.36%,59.63,1.00,7.82,-2.25%,208471,30.00
"EIM","Eaton Vance Municipal Bond Fund","Financial","Asset Management",969.93,12.81,4.45%,,,71.95,0.63%,0.00%,27.11%,,,,0.52%,0.37%,-2.32%,0.60%,2.43%,-0.88%,,0.77%,1.04%,0.08%,-0.09%,-3.57%,4.24%,55.60,,13.51,0.22%,85807,
"EINC","VanEck Vectors Energy Income ETF","Financial","Exchange Traded Fund",,,4.43%,,,,,,,,,,-2.71%,-4.89%,9.72%,4.02%,52.02%,37.54%,,0.99%,-3.34%,0.16%,6.37%,-6.31%,51.39%,41.13,,56.21,-0.44%,9652,
"EIRL","iShares MSCI Ireland ETF","Financial","Exchange Traded Fund",,,0.62%,,,,,,,,,,-3.02%,-4.82%,-5.31%,-2.50%,21.55%,12.57%,,0.62%,-3.48%,-4.62%,-1.61%,-8.97%,23.07%,34.69,,56.71,-0.24%,4525,
"EIS","iShares MSCI Israel ETF","Financial","Exchange Traded Fund",,,0.18%,,,,,,,,,,1.58%,6.94%,16.49%,20.64%,41.59%,24.14%,,0.93%,3.32%,7.09%,14.52%,-0.54%,40.52%,72.19,,79.60,0.02%,12938,
"EIX","Edison International","Utilities","Utilities - Regulated Electric",24908.51,32.21,4.10%,-8.00%,3.30%,380.00,0.10%,-0.12%,89.80%,-0.27%,1.39%,11.20%,0.80%,12.61%,12.14%,12.20%,0.81%,2.80%,0.69,1.63%,1.90%,7.34%,9.62%,-4.36%,18.27%,61.83,2.20,63.77,-1.25%,1327333,70.16
"EJAN","Innovator MSCI EM Power Buffer ETF January","Financial","Exchange Traded Fund",,,,,,,,,,,,,0.43%,-0.17%,1.02%,-1.19%,6.60%,0.63%,,0.42%,-0.18%,-0.14%,-1.04%,-3.58%,5.94%,49.44,,30.12,-0.36%,8725,
"EJFAU","EJF Acquisition Corp.","Financial","Shell Companies",,,,,,,,,91.36%,,,,2.29%,2.38%,7.21%,6.89%,,6.04%,,1.08%,1.69%,3.64%,6.22%,-4.88%,9.28%,59.82,,10.71,0.00%,0,
"EJH","E-Home Household Service Holdings Limited","Industrials","Specialty Business Services",78.97,10.63,,,,28.65,65.19%,0.00%,0.10%,,8.23%,12.10%,-11.19%,-20.67%,-37.86%,-94.27%,,-95.59%,,8.68%,-11.72%,-15.07%,-84.21%,-96.98%,14.55%,37.47,,2.44,2.52%,606102,
"EJUL","Innovator MSCI EM Power Buffer ETF - July","Financial","Exchange Traded Fund",,,,,,,,,,,,,0.54%,0.29%,2.26%,-2.02%,0.65%,-0.30%,,0.46%,0.23%,0.72%,-0.83%,-3.01%,2.91%,54.91,,26.13,-0.23%,3291,
"EKAR","Capital Link NextGen Vehicles & Technology ETF","Financial","Exchange Traded Fund",,,0.40%,,,,,,,,,,-1.25%,6.71%,10.42%,17.38%,41.44%,21.62%,,0.60%,3.45%,7.29%,11.28%,-0.71%,41.29%,67.90,,45.32,1.09%,453,
"EKSO","Ekso Bionics Holdings, Inc.","Healthcare","Medical Instruments & Supplies",50.38,,,38.40%,0.50%,12.66,2.30%,0.00%,16.90%,0.05%,1.66%,,-7.69%,-6.80%,-11.52%,-30.56%,-16.52%,-37.36%,1.93,4.16%,-8.11%,-12.71%,-32.89%,-75.17%,-2.36%,32.08,2.00,3.72,-3.12%,236011,11.00
"EL","The Estee Lauder Companies Inc.","Consumer Defensive","Household & Personal Products",124452.43,42.18,0.61%,21.40%,7.60%,362.20,0.20%,-58.17%,91.40%,-0.33%,1.02%,16.70%,-0.38%,8.49%,7.90%,17.51%,36.44%,30.76%,1.01,2.54%,5.00%,7.90%,12.79%,-0.89%,51.02%,67.99,2.10,350.32,0.65%,776988,371.81
"ELA","Envela Corporation","Consumer Cyclical","Specialty Retail",115.37,13.26,,26.60%,13.30%,26.93,0.70%,1.63%,6.50%,0.18%,1.92%,8.00%,-0.90%,7.60%,6.04%,0.23%,2.33%,-15.58%,0.20,4.03%,-0.73%,2.55%,-7.32%,-42.05%,19.44%,49.31,2.00,4.30,-2.05%,25189,10.00
"ELAN","Elanco Animal Health Incorporated","Healthcare","Drug Manufacturers - Specialty & Generic",15081.43,,,-16.50%,2.40%,487.30,0.20%,3.29%,,2.00%,2.37%,-11.10%,-3.28%,-1.17%,1.45%,-8.90%,6.67%,4.86%,,2.49%,-2.36%,-1.52%,-1.22%,-13.87%,18.15%,44.91,2.20,32.29,0.40%,4500984,34.29
"ELD","WisdomTree Trust - WisdomTree Emerging Markets Local Debt Fund","Financial","Exchange Traded Fund",7162.90,,5.42%,,,182.45,,,,,,,-0.93%,-2.03%,-3.56%,-6.76%,-7.86%,-11.35%,1.59,0.50%,-1.13%,-2.37%,-5.34%,-12.53%,0.49%,34.65,,30.65,-0.62%,15426,
"ELDN","Eledon Pharmaceuticals, Inc.","Healthcare","Biotechnology",70.06,,,45.40%,,14.82,0.10%,134.92%,66.20%,0.48%,1.64%,,10.76%,-1.24%,-13.13%,-34.36%,-73.85%,-63.90%,1.89,4.97%,10.20%,-5.20%,-38.32%,-78.63%,17.46%,57.55,1.60,5.65,1.62%,124481,29.75
"ELF","e.l.f. Beauty, Inc.","Consumer Defensive","Household & Personal Products",1639.70,92.22,,15.00%,6.70%,50.88,2.90%,-34.04%,98.90%,3.71%,5.92%,6.10%,2.16%,8.62%,11.69%,8.25%,48.15%,25.57%,2.00,2.88%,3.45%,6.73%,14.12%,-3.03%,54.14%,59.85,1.90,32.37,2.34%,279864,36.70
"ELLO","Ellomay Capital Ltd.","Utilities","Utilities - Renewable",413.06,,,-20.00%,-5.00%,12.53,69.80%,0.00%,27.20%,-0.85%,0.00%,3.40%,-2.34%,20.04%,10.13%,-5.19%,35.17%,-4.30%,1.22,2.49%,5.53%,14.98%,7.15%,-9.06%,41.59%,62.58,,32.92,2.33%,19,
"ELMD","Electromed, Inc.","Healthcare","Medical Devices",108.36,49.61,,-0.20%,9.20%,8.56,11.10%,2.47%,51.30%,29.77%,0.76%,8.10%,11.21%,14.65%,8.81%,38.31%,27.79%,28.44%,0.65,2.56%,9.19%,5.61%,10.40%,-11.19%,36.97%,65.89,1.50,12.30,-2.38%,10385,18.00
"ELMS","Electric Last Mile Solutions, Inc.","Consumer Cyclical","Auto Manufacturers",1111.27,,,,,123.75,54.19%,0.00%,17.90%,16.12%,3.34%,,2.51%,23.69%,13.38%,-9.38%,-7.80%,-33.68%,,7.13%,6.61%,13.06%,-6.16%,-42.48%,36.86%,57.83,1.40,8.80,-2.00%,410394,15.71
"ELOX","Eloxx Pharmaceuticals, Inc.","Healthcare","Biotechnology",113.78,,,36.40%,,86.21,9.37%,233.50%,35.10%,1.95%,0.75%,,-11.51%,-19.61%,-6.11%,-12.77%,-55.43%,-69.10%,2.23,6.37%,-14.71%,-23.12%,-45.22%,-82.57%,0.00%,24.56,2.20,1.18,-4.07%,442330,3.52
"ELP","Companhia Paranaense de Energia - COPEL","Utilities","Utilities - Diversified",3065.82,24.37,23.66%,26.30%,4.50%,549.43,55.60%,0.00%,19.90%,0.52%,,,6.29%,-6.06%,-2.55%,2.03%,-3.59%,-19.24%,0.50,2.78%,1.64%,-6.12%,-4.65%,-22.00%,11.52%,47.93,1.50,5.48,-1.79%,700445,7.05
"ELS","Equity LifeStyle Properties, Inc.","Real Estate","REIT - Residential",15468.98,61.76,1.73%,9.10%,6.00%,183.47,0.60%,0.00%,93.60%,-1.23%,1.80%,30.60%,-0.46%,0.36%,1.23%,20.80%,33.96%,32.37%,0.58,1.76%,-0.88%,1.21%,12.69%,-4.80%,45.28%,50.29,1.90,84.22,0.42%,556383,91.50
"ELSE","Electro-Sensors, Inc.","Technology","Scientific & Technical Instruments",18.43,81.89,,-16.10%,0.00%,3.40,34.00%,0.00%,9.30%,,0.56%,4.10%,1.22%,2.95%,15.99%,21.35%,39.66%,12.37%,0.57,3.88%,4.64%,4.72%,8.95%,-31.01%,46.11%,60.49,,5.45,0.83%,29601,
"ELTK","Eltek Ltd.","Technology","Electronic Components",32.76,11.84,,2.40%,-2.40%,5.84,25.30%,0.00%,2.50%,1.39%,0.45%,7.70%,-0.44%,-0.53%,-4.76%,7.28%,26.27%,11.33%,-2.51,2.94%,0.70%,-2.77%,-7.10%,-36.36%,27.56%,48.49,,5.60,0.00%,8009,
"ELVT","Elevate Credit, Inc.","Financial","Credit Services",110.74,,,28.60%,1.40%,33.79,14.10%,-32.34%,54.20%,-2.05%,3.46%,12.20%,-10.24%,-7.82%,-3.93%,-3.12%,25.27%,-14.29%,2.37,6.33%,-3.34%,-4.55%,-5.91%,-29.39%,29.10%,45.04,2.70,3.46,1.17%,328862,4.50
"ELY","Callaway Golf Company","Consumer Cyclical","Leisure",5556.65,13.90,,-57.90%,13.50%,185.96,0.30%,-90.27%,79.50%,0.27%,6.57%,8.10%,2.65%,8.61%,3.76%,-15.18%,77.79%,24.03%,1.93,2.97%,8.00%,7.06%,0.91%,-19.13%,83.58%,66.48,2.00,30.53,2.52%,3659945,42.50
"ELYS","Elys Game Technology, Corp.","Consumer Cyclical","Gambling",110.20,,,-15.40%,50.20%,22.01,7.20%,-2.62%,2.20%,53.37%,2.62%,-20.60%,-3.46%,3.49%,15.89%,9.72%,207.79%,-19.66%,3.59,6.08%,-14.93%,-17.07%,-17.30%,-51.57%,194.85%,35.90,2.00,4.01,-15.40%,1000181,7.91
"EM","Smart Share Global Limited","Consumer Cyclical","Personal Services",701.29,,,,,256.30,1.08%,0.00%,8.90%,-0.08%,0.25%,,7.81%,-6.76%,-6.76%,-54.75%,,-67.68%,,5.64%,-0.81%,-4.18%,-43.80%,-72.40%,9.96%,47.90,1.70,2.76,0.00%,17806,9.47
"EMAN","eMagin Corporation","Technology","Semiconductor Equipment & Materials",164.50,,,-3.10%,3.20%,72.19,0.70%,-86.55%,25.40%,-1.68%,3.51%,-19.70%,-17.83%,6.33%,0.00%,-4.47%,113.64%,42.42%,1.65,7.57%,-5.11%,-1.22%,-21.15%,-56.46%,124.76%,46.12,2.00,2.36,0.43%,667930,5.00
"EMB","iShares J.P. Morgan USD Emerging Markets Bond ETF","Financial","Exchange Traded Fund",,,3.86%,,,,,,,,,,-1.29%,-0.58%,-2.63%,-1.68%,-3.99%,-5.71%,,0.41%,-0.66%,-1.30%,-1.96%,-6.07%,2.19%,41.68,,109.04,-0.23%,3689395,
"EMBD","Global X Emerging Markets Bond ETF","Financial","Exchange Traded Fund",,,3.69%,,,,,,,,,,-1.00%,-0.57%,-2.37%,-1.85%,-3.58%,-5.29%,,0.33%,-0.52%,-1.14%,-1.93%,-6.55%,0.65%,40.74,,26.25,-0.09%,8468,
"EMCB","WisdomTree Emerging Markets Corporate Bond Fund","Financial","Exchange Traded Fund",,,3.54%,,,,,,,,,,-0.35%,-0.44%,-2.10%,-1.34%,1.10%,-3.05%,,0.39%,-0.36%,-1.02%,-1.62%,-5.49%,1.18%,41.17,,74.55,-0.13%,1567,
"EMCF","Emclaire Financial Corp","Financial","Banks - Regional",78.88,8.15,4.14%,3.20%,12.50%,2.72,0.20%,-7.25%,14.70%,-1.96%,0.04%,82.80%,6.25%,10.39%,-2.52%,6.81%,26.36%,-5.31%,0.44,1.04%,8.84%,9.98%,6.36%,-18.54%,25.10%,77.77,,29.65,2.24%,5329,
"EMD","Western Asset Emerging Markets Debt Fund Inc.","Financial","Closed-End Fund - Debt",832.22,17.61,7.88%,,,60.75,,,36.40%,,,,0.44%,0.37%,-2.91%,0.37%,2.93%,-1.44%,,0.87%,1.11%,0.91%,0.56%,-3.50%,6.48%,58.60,,13.80,0.73%,73935,
"EMDV","ProShares MSCI Emerging Markets Dividend Growers ETF","Financial","Exchange Traded Fund",,,2.48%,,,,,,,,,,0.68%,-2.30%,-0.06%,-4.03%,6.43%,1.14%,,0.42%,0.29%,-0.50%,-2.12%,-7.71%,6.75%,51.70,,58.56,0.09%,364,
"EME","EMCOR Group, Inc.","Industrials","Engineering & Construction",6880.95,19.51,0.40%,-2.50%,5.50%,53.70,1.60%,-2.43%,97.80%,0.98%,1.41%,5.50%,-0.88%,11.03%,9.39%,5.87%,59.03%,41.10%,1.19,2.34%,4.27%,8.07%,10.73%,-4.46%,57.92%,61.73,2.30,129.92,0.67%,151552,142.80
"EMF","Templeton Emerging Markets Fund","Financial","Closed-End Fund - Foreign",286.74,5.66,1.01%,11.30%,0.60%,16.09,,,45.60%,0.69%,,26.20%,0.74%,0.56%,1.89%,-8.15%,9.13%,-4.86%,0.96,0.94%,0.01%,1.39%,-5.39%,-15.08%,12.09%,53.71,,17.80,-0.06%,6129,
"EMFM","Global X Next Emerging & Frontier ETF","Financial","Exchange Traded Fund",,,2.41%,,,,,,,,,,-1.03%,-0.65%,4.56%,5.25%,16.07%,10.08%,,0.42%,-0.64%,0.65%,4.22%,-1.89%,15.14%,48.18,,21.08,-0.58%,57,
"EMGF","iShares MSCI Emerging Markets Multifactor ETF","Financial","Exchange Traded Fund",,,1.64%,,,,,,,,,,0.50%,-0.17%,1.67%,-1.13%,13.44%,6.72%,,0.68%,0.48%,0.30%,-0.65%,-5.01%,13.17%,53.55,,52.40,-0.06%,68841,
"EMHY","iShares J.P. Morgan EM High Yield Bond ETF","Financial","Exchange Traded Fund",,,5.55%,,,,,,,,,,-0.43%,-0.64%,-3.86%,-4.22%,-2.85%,-5.89%,,0.35%,-0.48%,-1.69%,-3.49%,-6.93%,0.67%,42.45,,43.49,-0.30%,49000,
"EMIF","iShares Emerging Markets Infrastructure ETF","Financial","Exchange Traded Fund",,,4.08%,,,,,,,,,,-0.87%,-3.83%,2.61%,-3.29%,14.23%,-2.16%,,0.71%,-2.25%,-3.44%,-2.78%,-7.27%,4.06%,39.19,,23.73,-1.17%,824,
"EMKR","EMCORE Corporation","Technology","Semiconductors",305.19,14.54,,-26.00%,6.20%,36.77,2.10%,-4.69%,79.80%,1.25%,2.68%,13.90%,-1.50%,12.11%,22.94%,4.28%,128.42%,56.33%,1.28,3.89%,7.47%,12.16%,9.79%,-22.72%,139.32%,61.29,2.00,8.40,-1.41%,301289,13.75
"EML","The Eastern Company","Industrials","Tools & Accessories",166.73,12.85,1.67%,-1.20%,10.70%,6.27,3.60%,0.00%,59.40%,-0.13%,0.95%,5.80%,7.25%,6.21%,-4.56%,-16.43%,21.10%,9.29%,1.01,2.42%,2.56%,1.73%,-8.67%,-25.64%,19.61%,53.60,,25.25,-4.14%,4279,
"EMLC","VanEck Vectors J.P. Morgan EM Local Currency Bond ETF","Financial","Exchange Traded Fund",,,4.94%,,,,,,,,,,-0.78%,-2.13%,-4.18%,-7.50%,-8.51%,-11.81%,,0.41%,-1.31%,-2.75%,-6.07%,-13.05%,0.14%,34.15,,29.14,-0.68%,1049619,
"EMLP","First Trust North American Energy Infrastructure Fund","Financial","Exchange Traded Fund",,,3.51%,,,,,,,,,,0.28%,-0.12%,2.24%,3.21%,18.93%,19.55%,,0.85%,-0.68%,1.39%,4.31%,-2.95%,21.55%,51.40,,24.99,-0.32%,164507,
"EMN","Eastman Chemical Company","Basic Materials","Chemicals",15385.60,31.00,2.40%,-9.20%,-2.60%,135.30,0.30%,-18.90%,86.80%,-0.17%,1.56%,7.80%,3.59%,7.21%,1.85%,-9.39%,22.46%,14.79%,1.53,2.39%,4.56%,7.43%,1.41%,-12.11%,21.56%,61.79,2.00,114.67,-0.38%,733610,130.00
"EMNT","PIMCO Enhanced Short Maturity Active ESG ETF","Financial","Exchange Traded Fund",,,0.97%,,,,,,,,,,-0.05%,-0.06%,-0.18%,-0.17%,-0.31%,-0.23%,,0.05%,-0.05%,-0.11%,-0.17%,-0.39%,0.51%,34.73,,100.49,-0.01%,4495,
"EMO","ClearBridge Energy Midstream Opportunity Fund Inc","Financial","Closed-End Fund - Equity",327.36,,6.29%,,,13.55,,,33.54%,,,,-0.66%,-2.54%,14.99%,7.23%,115.14%,79.90%,,2.02%,-0.74%,5.03%,15.02%,-5.08%,114.88%,54.39,,24.29,0.54%,63802,
"EMQQ","EMQQ The Emerging Markets Internet & Ecommerce ETF","Financial","Exchange Traded Fund",,,0.19%,,,,,,,,,,4.15%,1.05%,7.67%,-10.55%,-11.06%,-16.75%,,1.73%,1.83%,3.06%,-10.85%,-34.96%,12.27%,57.05,,53.16,0.43%,146644,
"EMR","Emerson Electric Co.","Industrials","Specialty Industrial Machinery",57538.86,25.18,2.14%,-2.70%,0.70%,598.20,0.20%,-1.06%,75.10%,-0.14%,0.94%,14.70%,-1.40%,0.68%,-6.16%,2.29%,27.13%,19.92%,1.50,1.69%,-0.97%,-0.60%,1.28%,-9.23%,29.14%,46.93,2.30,96.21,-0.18%,2277085,108.95
"EMSG","Xtrackers MSCI Emerging Markets ESG Leaders Equity ETF","Financial","Exchange Traded Fund",,,0.66%,,,,,,,,,,0.51%,-0.40%,3.29%,-2.32%,7.68%,2.91%,,0.58%,0.61%,1.62%,-1.93%,-11.31%,7.58%,56.48,,33.39,0.45%,1467,
"EMTL","SPDR DoubleLine Emerging Markets Fixed Income ETF","Financial","Exchange Traded Fund",,,3.01%,,,,,,,,,,-0.82%,-0.65%,-2.09%,-1.08%,-0.78%,-2.57%,,0.28%,-0.38%,-0.97%,-1.46%,-2.77%,0.34%,41.02,,49.89,0.00%,5076,
"EMTY","ProShares Decline of the Retail Store ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-2.50%,-12.54%,-11.84%,-14.35%,-45.07%,-38.76%,,1.22%,-7.02%,-10.90%,-16.09%,-45.05%,0.43%,23.59,,13.87,-0.73%,152,
"EMX","EMX Royalty Corporation","Basic Materials","Other Industrial Metals & Mining",302.90,,,5.20%,34.90%,85.57,17.53%,0.00%,17.27%,,0.29%,-82.20%,3.32%,4.48%,-0.71%,-21.13%,-7.59%,-16.42%,0.99,3.81%,1.41%,3.83%,-7.96%,-26.51%,15.23%,54.79,,2.80,0.00%,113478,
"EMXC","iShares MSCI Emerging Markets ex China ETF","Financial","Exchange Traded Fund",,,1.37%,,,,,,,,,,-0.19%,0.00%,2.73%,2.20%,21.76%,9.25%,,0.62%,0.26%,0.48%,1.27%,-2.98%,19.52%,52.28,,61.84,-0.45%,148489,
"ENB","Enbridge Inc.","Energy","Oil & Gas Midstream",85402.31,17.89,6.55%,34.70%,3.00%,2024.00,9.20%,0.00%,70.50%,0.15%,0.47%,17.70%,-4.49%,-5.00%,4.50%,4.04%,42.21%,26.38%,0.86,1.34%,-4.46%,-2.03%,3.89%,-6.96%,40.87%,36.91,2.30,40.33,-0.25%,6965739,41.66
"ENBL","Enable Midstream Partners, LP","Energy","Oil & Gas Midstream",3478.78,8.37,8.33%,15.60%,0.40%,438.00,79.58%,0.00%,12.20%,1.97%,3.92%,18.20%,-1.12%,-7.04%,0.38%,-9.07%,53.49%,50.57%,2.34,2.71%,-4.38%,-3.54%,0.14%,-20.59%,59.96%,40.49,2.70,7.87,-0.63%,765988,8.10
"ENDP","Endo International plc","Healthcare","Drug Manufacturers - Specialty & Generic",1570.21,,,18.40%,-2.30%,233.58,0.30%,0.00%,82.40%,-0.52%,8.22%,18.40%,4.85%,60.67%,77.25%,17.75%,39.87%,-6.69%,1.23,8.89%,27.53%,64.88%,23.20%,-38.57%,245.01%,79.44,3.00,6.69,-0.15%,5427397,8.00
"ENERU","Accretion Acquisition Corp.","Financial","Shell Companies",,,,,,,,,,,,,-0.10%,,,,,0.59%,,,0.45%,0.45%,0.45%,-0.10%,1.39%,,,10.19,0.30%,73856,
"ENFAU","890 5th Avenue Partners, Inc.","Financial","Shell Companies",,,,,,,2.29%,,20.34%,,0.00%,,1.17%,1.17%,1.57%,3.16%,,-0.75%,,0.16%,0.72%,1.22%,1.90%,-5.26%,6.66%,52.22,,10.42,0.00%,0,
"ENFN","Enfusion, Inc.","Technology","Software - Application",1440.81,1431.87,,,,62.89,2.20%,135.54%,,,4.00%,,1.60%,,,,,15.65%,,,5.64%,5.64%,5.64%,-2.76%,18.48%,,,22.57,-1.48%,320376,
"ENFR","Alerian Energy Infrastructure ETF","Financial","Exchange Traded Fund",,,5.58%,,,,,,,,,,-4.57%,-6.48%,7.42%,3.72%,50.04%,36.93%,,1.29%,-4.44%,-1.28%,5.59%,-7.92%,47.83%,37.63,,19.99,-0.35%,28565,
"ENG","ENGlobal Corporation","Industrials","Engineering & Construction",82.74,,,-15.60%,-4.10%,35.16,0.30%,0.00%,32.90%,-0.25%,8.99%,-25.10%,-8.17%,0.85%,28.26%,-6.72%,176.82%,-26.25%,1.96,7.61%,-0.71%,-0.85%,-27.97%,-74.79%,175.58%,48.01,,2.37,0.42%,502922,5.40
"ENIA","Enel Americas S.A.","Utilities","Utilities - Regulated Electric",13309.72,11.15,8.18%,-10.29%,,2145.60,62.00%,0.00%,2.00%,-2.83%,0.30%,16.30%,0.16%,0.83%,-7.84%,-13.58%,-18.21%,-25.67%,1.16,2.95%,-3.17%,-4.58%,-17.62%,-34.59%,4.87%,40.35,2.30,5.81,-4.91%,579593,9.14
"ENIC","Enel Chile S.A.","Utilities","Utilities - Regulated Electric",2983.78,10.49,9.81%,-16.50%,1.50%,1383.33,,,6.40%,-2.89%,1.23%,15.40%,-1.38%,-6.14%,-9.32%,-33.12%,-39.89%,-44.99%,0.89,3.84%,-7.62%,-10.59%,-31.60%,-53.73%,0.48%,33.64,2.30,2.08,-2.80%,1774520,4.82
"ENJY","Enjoy Technology, Inc.","Technology","Software - Application",954.64,,,,,46.72,37.40%,0.00%,23.00%,-2.17%,,,-0.26%,-29.58%,-22.24%,-21.85%,,-28.73%,,9.81%,-18.51%,-21.92%,-23.53%,-42.03%,7.50%,29.35,,7.60,-1.17%,251603,12.25
"ENLC","EnLink Midstream, LLC","Energy","Oil & Gas Midstream",3586.29,,5.23%,16.90%,-2.60%,488.60,0.40%,0.87%,85.90%,1.27%,4.42%,6.30%,-1.36%,-10.91%,39.27%,45.69%,138.36%,95.96%,3.17,3.81%,-7.78%,-1.09%,27.84%,-16.50%,139.53%,40.42,3.00,7.21,-0.83%,1408529,7.64
"ENLV","Enlivex Therapeutics Ltd.","Healthcare","Biotechnology",148.27,,,53.90%,,18.31,21.93%,0.00%,13.30%,0.71%,2.20%,,-4.42%,-11.53%,-20.21%,-17.65%,-11.53%,-2.61%,1.14,4.92%,-5.07%,-15.52%,-24.42%,-72.21%,13.47%,37.45,,8.17,-0.49%,49759,33.00
"ENNVU","ECP Environmental Growth Opportunities Corp.","Financial","Shell Companies",,,,,,,,,2.01%,,0.06%,,0.00%,1.19%,0.77%,0.10%,,-9.84%,,0.13%,-1.45%,-0.88%,-1.62%,-15.25%,1.94%,34.26,,10.00,-1.67%,21,
"ENOB","Enochian Biosciences, Inc.","Healthcare","Biotechnology",548.94,,,-25.50%,,48.50,61.79%,0.00%,5.10%,-1.51%,3.54%,,11.13%,21.30%,77.63%,197.73%,243.61%,255.25%,0.63,6.48%,17.23%,33.07%,99.42%,-17.17%,313.85%,72.83,,10.76,2.67%,218134,
"ENOR","iShares MSCI Norway ETF","Financial","Exchange Traded Fund",,,2.53%,,,,,,,,,,-2.56%,-0.61%,9.25%,5.59%,39.32%,22.72%,,0.73%,-1.77%,1.96%,6.95%,-3.55%,36.34%,48.50,,30.73,-0.19%,12135,
"ENPH","Enphase Energy, Inc.","Technology","Solar",32867.00,213.72,,31.30%,16.70%,134.72,1.30%,-15.11%,72.80%,0.46%,3.86%,14.70%,1.28%,41.52%,49.69%,99.75%,109.89%,39.46%,1.30,5.09%,14.30%,37.18%,49.88%,-1.22%,131.07%,70.55,2.10,251.59,2.81%,2220292,218.83
"ENR","Energizer Holdings, Inc.","Industrials","Electrical Equipment & Parts",2757.84,19.56,3.10%,56.30%,11.00%,68.40,0.40%,3.03%,94.50%,4.01%,7.74%,2.00%,0.89%,2.08%,-4.77%,-16.59%,-8.20%,-8.13%,1.12,2.17%,4.17%,2.67%,-8.91%,-25.60%,8.80%,58.16,2.50,39.32,1.47%,470308,47.73
