"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"EWH","iShares MSCI Hong Kong ETF","Financial","Exchange Traded Fund",2062.91,,,,,88.58,,,,,,,-5.06%,-5.09%,-9.62%,-16.01%,-2.10%,-5.48%,,0.64%,-4.60%,-4.40%,-10.97%,-6.73%,0.19%,-17.64%,0.19%,26.23,,23.20,-0.39%,6951916,
"EWI","iShares, Inc. - iShares MSCI Italy ETF","Financial","Exchange Traded Fund",268.98,,,,,8.55,,,,,,,-4.55%,-6.03%,-4.52%,-6.95%,10.15%,6.86%,,0.88%,-6.23%,-4.96%,-3.50%,-9.06%,0.35%,-9.35%,11.19%,25.08,,31.30,-0.51%,1504473,
"EWJ","iShares MSCI Japan ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-4.63%,-3.03%,-3.03%,-3.56%,3.01%,-1.82%,,0.70%,-4.73%,-4.83%,-4.26%,-10.00%,0.90%,-10.98%,1.70%,28.72,,65.98,-0.53%,14930724,
"EWJE","iShares MSCI Japan Equal Weighted ETF","Financial","Exchange Traded Fund",,,1.58%,,,,,,,,,,-4.78%,-4.62%,-4.30%,-8.50%,9.13%,-3.31%,,0.27%,-5.11%,-7.07%,-6.38%,-12.86%,0.43%,-12.86%,0.43%,26.94,,37.03,-0.78%,664,
"EWJV","iShares MSCI Japan Value ETF","Financial","Exchange Traded Fund",,,1.89%,,,,,,,,,,-4.61%,-4.55%,-4.64%,-7.35%,7.43%,2.24%,,0.52%,-4.46%,-5.67%,-5.64%,-9.73%,1.22%,-10.70%,5.82%,24.64,,26.54,0.11%,88126,
"EWK","iShares MSCI Belgium ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-1.28%,-5.23%,-6.47%,-9.08%,8.49%,6.15%,,0.65%,-5.59%,-4.68%,-5.17%,-8.63%,-0.39%,-11.58%,7.30%,24.39,,20.54,-1.39%,75117,
"EWL","iShares MSCI Switzerland ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-1.50%,-0.90%,-2.87%,0.59%,16.11%,10.52%,,0.70%,-3.04%,-0.35%,1.74%,-4.45%,5.47%,-4.50%,14.98%,37.53,,48.97,-0.83%,3083015,
"EWM","iShares MSCI Malaysia ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-0.52%,-5.22%,-6.29%,-10.35%,-10.31%,-13.65%,,0.55%,-3.12%,-4.85%,-7.05%,-9.33%,0.39%,-17.34%,0.39%,31.07,,24.50,-1.49%,685088,
"EWMC","Invesco S&P MidCap 400 Equal Weight ETF","Financial","Exchange Traded Fund",,,0.95%,,,,,,,,,,-6.04%,-3.29%,-1.97%,-2.47%,26.99%,19.18%,,0.89%,-7.26%,-4.58%,-1.92%,-9.02%,1.28%,-9.02%,24.11%,26.15,,90.07,-1.46%,1297,
"EWN","iShares MSCI Netherlands ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-4.04%,-5.62%,-7.14%,-1.38%,26.37%,18.94%,,0.99%,-6.11%,-4.98%,-1.00%,-8.43%,0.81%,-9.64%,23.16%,27.07,,48.80,-0.75%,487312,
"EWO","iShares MSCI Austria ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-1.53%,-4.16%,-3.51%,-4.61%,35.09%,23.10%,,0.82%,-5.00%,-4.82%,0.18%,-9.47%,1.04%,-9.47%,31.46%,34.19,,24.32,-0.37%,101871,
"EWP","iShares MSCI Spain ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-4.30%,-10.22%,-9.71%,-17.14%,-5.19%,-6.14%,,0.88%,-7.52%,-8.38%,-10.49%,-12.27%,0.36%,-18.26%,0.36%,22.14,,25.24,-0.55%,2838266,
"EWQ","iShares MSCI France ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-3.79%,-3.87%,-2.28%,-3.82%,16.31%,13.62%,,0.82%,-5.15%,-3.19%,-0.47%,-7.66%,1.62%,-7.66%,16.69%,29.23,,37.54,-0.66%,1317367,
"EWRE","Invesco S&P 500 Equal Weight Real Estate ETF","Financial","Exchange Traded Fund",,,3.31%,,,,,,,,,,-2.64%,-0.87%,-0.02%,5.34%,35.43%,32.91%,,1.29%,-4.45%,-1.79%,4.72%,-6.37%,4.82%,-6.37%,36.06%,37.54,,38.07,-1.66%,15161,
"EWS","iShares MSCI Singapore ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-5.27%,-6.53%,-2.68%,-6.26%,6.29%,4.66%,,0.67%,-6.70%,-5.87%,-4.84%,-9.26%,0.09%,-9.26%,5.58%,21.20,,22.25,-1.02%,1028421,
"EWSC","Invesco S&P SmallCap 600 Equal Weight ETF","Financial","Exchange Traded Fund",,,0.77%,,,,,,,,,,-6.52%,-3.17%,-2.17%,-5.02%,36.27%,24.97%,,1.08%,-7.96%,-5.35%,-3.17%,-11.08%,1.74%,-13.76%,33.04%,26.93,,79.58,-1.25%,5533,
"EWT","iShares MSCI Taiwan ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-2.03%,2.65%,-0.42%,1.91%,30.79%,21.87%,,0.69%,0.61%,3.26%,4.75%,-1.91%,9.23%,-1.91%,30.98%,55.71,,65.38,1.07%,8510496,
"EWTX","Edgewise Therapeutics, Inc.","Healthcare","Biotechnology",902.18,,,,,49.27,1.10%,-31.65%,,0.30%,3.05%,,-22.27%,5.58%,9.97%,-37.63%,,-41.93%,,8.84%,-18.78%,-12.23%,-26.09%,-29.59%,3.98%,-60.04%,18.97%,38.15,,16.18,-7.12%,106755,31.67
"EWU","iShares MSCI United Kingdom ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-2.85%,-4.87%,-2.94%,-6.32%,13.38%,9.39%,,0.66%,-4.23%,-4.01%,-2.98%,-6.69%,0.25%,-7.15%,12.38%,29.16,,31.81,-0.72%,4105487,
"EWUS","iShares MSCI United Kingdom Small-Cap ETF","Financial","Exchange Traded Fund",,,1.46%,,,,,,,,,,-3.89%,-6.15%,-10.99%,-10.73%,14.51%,5.75%,,0.67%,-4.92%,-5.70%,-6.71%,-10.28%,0.59%,-12.72%,13.90%,26.35,,44.41,-0.56%,24179,
"EWV","ProShares UltraShort MSCI Japan","Financial","Exchange Traded Fund",,,,,,,,,,,,,9.63%,5.77%,4.08%,1.78%,-14.87%,-5.37%,,0.88%,9.42%,9.15%,4.42%,-1.45%,20.99%,-12.66%,23.68%,70.29,,13.97,0.80%,5731,
"EWW","iShares MSCI Mexico ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-2.89%,-6.29%,-11.35%,-7.08%,11.68%,5.40%,,1.49%,-4.52%,-5.94%,-3.78%,-9.55%,4.33%,-11.52%,13.64%,34.31,,45.56,0.55%,3237154,
"EWX","SPDR S&P Emerging Markets Small Cap ETF","Financial","Exchange Traded Fund",,,2.11%,,,,,,,,,,-1.77%,-1.06%,-3.31%,-3.30%,18.72%,13.64%,,0.59%,-2.42%,-1.73%,-0.23%,-4.34%,1.28%,-4.99%,17.29%,36.94,,58.58,-0.15%,54498,
"EWY","iShares MSCI South Korea ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-5.37%,-4.73%,-12.64%,-18.51%,-0.90%,-11.99%,,0.80%,-1.82%,-2.88%,-11.36%,-8.15%,3.28%,-19.70%,3.28%,43.75,,77.33,2.11%,6961911,
"EWZ","iShares MSCI Brazil ETF","Financial","Exchange Traded Fund",,,2.24%,,,,,,,,,,-0.58%,-1.13%,-20.36%,-29.69%,-12.81%,-21.80%,,2.31%,-4.43%,-8.23%,-18.94%,-16.56%,0.56%,-32.18%,0.56%,35.66,,28.52,-1.62%,24597770,
"EWZS","iShares MSCI Brazil Small-Cap ETF","Financial","Exchange Traded Fund",,,1.90%,,,,,,,,,,-4.77%,-3.30%,-23.95%,-33.80%,-13.83%,-20.70%,,2.63%,-10.74%,-15.22%,-24.11%,-25.51%,-0.39%,-38.15%,-0.39%,29.74,,12.79,-2.96%,32172,
"EXAI","Exscientia plc","Healthcare","Biotechnology",2546.89,,,,,116.83,,,4.81%,,2.73%,,10.49%,-1.76%,,,,-19.56%,,7.58%,2.65%,0.23%,0.23%,-29.23%,12.98%,-29.23%,12.98%,49.15,2.00,21.50,-1.38%,7768,30.50
"EXAS","Exact Sciences Corporation","Healthcare","Diagnostics & Research",14842.43,,,-26.80%,106.80%,171.98,0.50%,-15.38%,91.30%,1.80%,7.01%,-60.60%,1.62%,-10.34%,-18.21%,-21.77%,-29.48%,-35.56%,1.22,5.58%,-11.57%,-14.42%,-27.84%,-24.97%,-0.97%,-49.68%,-0.97%,32.81,1.60,80.28,-5.96%,1885172,132.53
"EXC","Exelon Corporation","Utilities","Utilities - Diversified",51519.32,30.87,2.90%,-4.60%,2.30%,979.00,0.10%,-24.32%,82.10%,-0.32%,1.28%,6.80%,-2.28%,-0.86%,7.57%,16.66%,28.39%,24.89%,0.48,1.71%,-3.14%,1.50%,11.41%,-4.68%,10.08%,-4.68%,36.33%,43.79,2.10,52.29,-0.83%,5954279,57.56
"EXD","Eaton Vance Tax-Advantaged Bond and Option Strategies Fund","Financial","Closed-End Fund - Debt",117.75,,7.02%,,,9.73,,,13.97%,,,,-0.49%,1.77%,-0.82%,7.46%,23.09%,22.22%,,1.15%,-1.15%,1.60%,4.77%,-3.08%,7.74%,-3.08%,24.56%,47.02,,11.97,-1.07%,62455,
"EXEL","Exelixis, Inc.","Healthcare","Biotechnology",5153.19,32.92,,19.70%,92.70%,315.38,1.60%,-7.49%,85.40%,-0.91%,3.62%,15.50%,-2.50%,-21.94%,-12.42%,-24.81%,-12.37%,-16.34%,0.81,3.35%,-9.68%,-18.01%,-21.71%,-25.79%,-0.06%,-36.36%,1.30%,26.28,2.00,16.40,-2.32%,1903443,29.77
"EXFY","Expensify, Inc.","Technology","Software - Application",3723.15,,,,,82.48,0.20%,,19.35%,,0.79%,100.00%,5.37%,,,,,9.94%,,,-11.21%,-11.21%,-11.21%,-21.46%,6.99%,-21.46%,6.99%,,,40.10,-11.17%,353645,
"EXG","Eaton Vance Tax-Managed Global Diversified Equity Income Fund","Financial","Closed-End Fund - Foreign",3062.98,,8.21%,,,302.96,,,18.23%,,,,-2.88%,-4.53%,-5.95%,-1.27%,21.66%,15.28%,,0.99%,-3.43%,-2.64%,1.10%,-5.41%,2.01%,-6.11%,22.88%,34.32,,10.15,0.40%,1040340,
"EXI","iShares Global Industrials ETF","Financial","Exchange Traded Fund",,,1.37%,,,,,,,,,,-4.89%,-3.97%,-4.46%,-4.89%,12.50%,10.33%,,0.50%,-5.60%,-4.06%,-2.64%,-7.15%,0.65%,-7.15%,12.98%,23.93,,116.75,-0.85%,26029,
"EXK","Endeavour Silver Corp.","Basic Materials","Silver",835.24,22.15,,14.90%,-5.50%,170.43,2.40%,0.00%,26.40%,10.41%,3.36%,17.00%,-9.89%,-6.14%,0.64%,-36.72%,39.00%,-5.95%,1.44,5.16%,-15.98%,-8.23%,-18.50%,-25.55%,15.82%,-42.91%,30.29%,31.37,2.40,4.43,-6.54%,3236690,4.47
"EXLS","ExlService Holdings, Inc.","Technology","Information Technology Services",4277.92,37.59,,11.40%,8.80%,33.45,0.70%,-32.54%,97.26%,-1.52%,1.20%,13.50%,-3.30%,5.90%,5.47%,26.96%,55.98%,52.55%,0.88,2.57%,-3.88%,0.66%,18.21%,-7.20%,7.89%,-7.20%,68.84%,45.00,2.60,128.97,-0.69%,210867,135.14
"EXN","Excellon Resources Inc.","Basic Materials","Other Industrial Metals & Mining",52.34,,,-3.90%,10.10%,32.40,29.83%,0.00%,6.88%,,1.34%,-15.90%,-11.19%,-16.78%,-37.70%,-59.25%,-53.15%,-59.52%,1.11,5.65%,-19.04%,-20.90%,-51.21%,-36.78%,-6.78%,-71.79%,-6.78%,28.89,,1.10,-7.56%,22116,
"EXP","Eagle Materials Inc.","Basic Materials","Building Materials",6252.08,18.80,0.65%,21.30%,7.30%,41.22,0.90%,-29.79%,97.72%,-0.64%,4.00%,25.20%,-4.48%,3.95%,-1.67%,6.87%,69.49%,52.17%,1.30,2.57%,-4.39%,3.63%,7.04%,-8.33%,17.70%,-8.33%,65.83%,45.10,1.80,152.56,-1.08%,283173,175.13
"EXPD","Expeditors International of Washington, Inc.","Industrials","Integrated Freight & Logistics",20398.11,17.98,0.95%,11.10%,8.90%,169.63,0.20%,-39.23%,94.20%,-1.88%,2.10%,11.00%,-6.48%,-1.33%,-2.42%,-0.96%,36.09%,27.87%,0.78,2.94%,-3.07%,0.37%,4.00%,-7.01%,8.62%,-7.01%,39.86%,45.63,3.10,123.01,1.14%,1602617,120.64
"EXPE","Expedia Group, Inc.","Consumer Cyclical","Travel Services",24608.11,,,-39.80%,-4.90%,151.02,0.50%,-29.75%,97.40%,-1.83%,6.34%,-9.40%,-7.01%,-2.02%,11.48%,-8.04%,29.40%,21.67%,1.62,3.43%,-10.62%,-8.22%,-5.86%,-18.86%,2.81%,-18.86%,31.58%,37.26,2.40,155.66,-3.37%,3285193,189.33
"EXPI","eXp World Holdings, Inc.","Real Estate","Real Estate Services",5574.41,79.12,0.44%,65.60%,140.30%,146.86,53.10%,-1.19%,21.80%,2.56%,5.90%,1.20%,-2.83%,-28.86%,-19.93%,10.14%,37.67%,16.32%,3.03,6.51%,-17.73%,-22.93%,-18.40%,-37.74%,-0.60%,-61.66%,53.24%,30.35,2.00,34.51,-5.99%,943534,65.33
"EXPO","Exponent, Inc.","Industrials","Consulting Services",6020.72,60.49,0.69%,14.10%,5.00%,52.62,0.50%,-21.15%,92.30%,-0.21%,1.09%,22.60%,-7.02%,1.48%,-0.34%,32.03%,40.34%,29.40%,0.40,2.36%,-6.18%,-2.96%,9.52%,-11.20%,2.91%,-11.20%,39.90%,35.71,2.30,113.32,-2.73%,139385,130.50
"EXPR","Express, Inc.","Consumer Cyclical","Apparel Retail",259.75,,,-47.70%,-12.50%,66.53,5.40%,-2.49%,49.00%,-13.98%,12.33%,-12.80%,-21.04%,-5.21%,-38.62%,-44.09%,139.47%,300.00%,1.73,7.06%,-20.37%,-23.51%,-25.72%,-40.28%,-3.70%,-75.81%,293.02%,31.25,3.00,3.38,-7.14%,6024780,6.00
"EXR","Extra Space Storage Inc.","Real Estate","REIT - Industrial",26930.00,37.17,2.50%,18.90%,11.60%,133.81,0.70%,-42.28%,96.00%,-2.72%,2.10%,57.20%,0.05%,1.33%,7.00%,29.87%,77.42%,72.62%,0.32,2.33%,-0.12%,6.47%,22.08%,-2.65%,20.23%,-2.65%,87.26%,54.69,2.10,199.54,-0.23%,786918,209.57
"EXTN","Exterran Corporation","Energy","Oil & Gas Equipment & Services",121.02,,,-43.60%,-18.30%,33.07,0.90%,0.00%,60.20%,-12.51%,4.54%,-8.70%,-7.84%,-20.33%,-14.11%,-36.50%,-19.58%,-22.85%,0.73,6.16%,-22.07%,-27.52%,-25.72%,-39.13%,-3.88%,-46.06%,16.25%,23.98,2.00,3.22,-5.57%,315083,8.67
"EXTR","Extreme Networks, Inc.","Technology","Communication Equipment",1712.88,78.95,,15.40%,14.20%,128.32,1.20%,-11.87%,83.80%,-0.27%,3.59%,5.10%,1.05%,37.33%,24.65%,18.32%,140.21%,95.94%,1.97,4.58%,3.38%,17.10%,22.46%,-7.70%,41.92%,-7.70%,128.09%,58.64,2.20,12.83,-4.96%,2828891,15.50
"EYE","National Vision Holdings, Inc.","Consumer Cyclical","Specialty Retail",3946.01,27.22,,54.30%,10.00%,82.29,0.80%,-44.01%,,-0.99%,8.01%,10.70%,-3.77%,-22.06%,-19.91%,-3.30%,12.22%,6.07%,1.70,4.05%,-13.01%,-17.82%,-10.29%,-28.91%,1.06%,-28.91%,12.70%,30.51,1.80,46.86,-2.46%,1367940,61.55
"EYEN","Eyenovia, Inc.","Healthcare","Biotechnology",99.72,,,-16.90%,,26.05,18.50%,7.81%,9.40%,2.23%,2.64%,,1.96%,-4.45%,-33.64%,-27.58%,3.99%,-39.77%,1.99,5.35%,-6.91%,-22.19%,-29.16%,-46.76%,4.13%,-54.27%,4.13%,35.98,1.50,3.53,-3.29%,220907,12.50
"EYES","Second Sight Medical Products, Inc.","Healthcare","Medical Devices",78.01,,,30.60%,,39.41,26.23%,0.00%,15.50%,-14.60%,5.81%,,-5.26%,-27.74%,-48.70%,-62.64%,103.70%,5.88%,3.16,8.40%,-27.42%,-34.64%,-63.05%,-48.61%,-2.89%,-90.75%,86.77%,29.06,2.00,1.85,-6.57%,572780,
"EYLD","Cambria Emerging Shareholder Yield ETF","Financial","Exchange Traded Fund",,,4.84%,,,,,,,,,,-1.53%,-2.86%,-8.76%,-12.77%,10.96%,0.48%,,1.45%,-0.89%,-1.46%,-6.55%,-6.63%,3.15%,-13.60%,11.15%,45.31,,35.17,1.40%,81037,
"EYPT","EyePoint Pharmaceuticals, Inc.","Healthcare","Biotechnology",432.13,,,12.30%,84.30%,28.77,0.50%,-6.81%,77.60%,6.00%,4.00%,,-8.83%,37.75%,44.42%,68.98%,189.91%,140.12%,1.24,11.99%,1.44%,21.15%,46.92%,-27.86%,54.17%,-27.86%,287.75%,54.42,1.80,15.51,-1.84%,294845,37.20
"EZA","iShares MSCI South Africa ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-2.07%,-4.55%,-9.17%,-18.93%,9.25%,2.40%,,1.38%,-4.51%,-5.84%,-8.51%,-11.94%,6.40%,-19.34%,6.40%,40.51,,44.71,-0.40%,640717,
"EZFL","EZFill Holdings Inc.","Technology","Software - Application",64.29,,,,,25.82,1.10%,16.39%,7.50%,,1.49%,,2.89%,-15.88%,,,,-45.15%,,6.85%,-9.49%,-18.57%,-21.56%,-48.96%,5.15%,-55.37%,5.15%,35.98,,2.45,-1.61%,159595,
"EZGO","EZGO Technologies Ltd.","Consumer Cyclical","Recreational Vehicles",30.77,117.37,,,,8.81,53.96%,0.00%,0.60%,40.82%,3.48%,0.40%,-8.61%,-22.84%,-30.53%,-44.25%,,-87.69%,,7.85%,-24.20%,-25.97%,-51.43%,-37.69%,0.96%,-89.20%,0.96%,25.72,,2.10,-5.83%,153013,
"EZJ","ProShares Ultra MSCI Japan","Financial","Exchange Traded Fund",,,,,,,,,,,,,-9.11%,-6.25%,-7.29%,-7.81%,3.48%,-6.22%,,0.97%,-9.05%,-9.60%,-9.33%,-19.45%,1.37%,-21.50%,1.58%,29.97,,43.42,-0.78%,2311,
"EZM","WisdomTree U.S. MidCap Earnings Fund","Financial","Exchange Traded Fund",,,1.26%,,,,,,,,,,-5.62%,-1.84%,-1.13%,-1.00%,29.19%,22.60%,,1.10%,-6.34%,-3.69%,-0.36%,-8.21%,2.67%,-8.21%,26.31%,28.11,,52.62,-1.24%,39914,
"EZPW","EZCORP, Inc.","Financial","Credit Services",444.52,47.74,,53.00%,0.00%,56.06,0.10%,0.00%,93.40%,2.04%,9.45%,4.30%,-8.75%,-0.80%,7.40%,-0.80%,45.38%,54.49%,1.36,3.35%,-9.00%,-8.19%,10.27%,-18.64%,1.99%,-18.64%,64.98%,36.84,2.00,7.16,-3.24%,492237,10.25
"EZU","iShares MSCI Eurozone ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,-4.09%,-5.41%,-6.35%,-6.89%,10.85%,7.99%,,0.81%,-5.69%,-4.61%,-3.60%,-8.21%,0.66%,-8.21%,10.93%,25.82,,47.38,-0.46%,7509484,
"F","Ford Motor Company","Consumer Cyclical","Auto Manufacturers",77360.27,27.22,2.08%,-16.80%,-3.20%,3995.00,0.23%,-1.99%,54.00%,-0.15%,2.48%,1.00%,-6.30%,12.35%,47.28%,28.71%,111.34%,118.32%,1.13,4.09%,-0.14%,15.71%,38.63%,-5.82%,54.66%,-5.82%,132.27%,58.39,2.40,19.58,2.03%,123847325,17.85
"FA","First Advantage Corporation","Industrials","Specialty Business Services",2736.77,,,-20.30%,-4.10%,149.94,3.60%,-74.21%,95.40%,1.37%,1.56%,,-7.52%,-7.27%,-23.58%,,,-11.98%,,5.28%,-13.63%,-16.24%,-18.26%,-31.42%,-2.09%,-31.78%,-2.09%,31.77,1.50,16.87,-2.71%,1027960,27.69
"FAAR","First Trust Alternative Absolute Return Strategy ETF","Financial","Exchange Traded Fund",,,2.95%,,,,,,,,,,-4.82%,-6.01%,-0.49%,-4.76%,8.69%,8.07%,,1.14%,-5.33%,-5.36%,-2.45%,-8.12%,0.70%,-10.53%,10.36%,26.93,,29.34,-0.44%,11112,
"FAB","First Trust Multi Cap Value AlphaDEX Fund","Financial","Exchange Traded Fund",,,1.27%,,,,,,,,,,-5.09%,-2.75%,-2.35%,-3.85%,27.58%,21.59%,,0.72%,-5.75%,-3.91%,-1.66%,-7.33%,1.59%,-7.33%,25.38%,29.13,,70.16,-1.00%,4745,
"FACA","Figure Acquisition Corp. I","Financial","Shell Companies",403.80,,,,,41.07,,,66.20%,9.65%,0.14%,,-0.10%,0.20%,1.23%,-1.59%,,-1.52%,,0.45%,-0.35%,0.03%,-0.66%,-0.93%,1.42%,-6.56%,2.37%,46.32,,9.86,-0.22%,8095,
"FAD","First Trust Multi Cap Growth AlphaDEX Fund","Financial","Exchange Traded Fund",,,0.11%,,,,,,,,,,-4.86%,-2.30%,-0.57%,8.29%,27.22%,18.78%,,0.97%,-4.72%,-1.39%,4.78%,-6.51%,5.58%,-6.51%,27.74%,36.42,,122.92,-0.27%,19037,
"FAF","First American Financial Corporation","Financial","Insurance - Specialty",8055.95,6.56,2.75%,18.70%,6.50%,110.96,0.90%,-2.60%,87.50%,-1.07%,1.19%,19.50%,-4.00%,1.42%,5.18%,15.46%,53.14%,43.68%,1.23,1.86%,-1.72%,2.02%,13.37%,-5.48%,12.09%,-5.48%,55.31%,45.94,2.30,74.16,-0.03%,598117,82.40
"FALN","iShares Fallen Angels USD Bond ETF","Financial","Exchange Traded Fund",,,4.61%,,,,,,,,,,-1.21%,-2.09%,-2.54%,-0.14%,2.32%,0.25%,,0.37%,-2.00%,-2.07%,-1.19%,-3.23%,0.00%,-3.42%,2.58%,29.10,,29.40,-0.34%,1747070,
"FAM","First Trust/Aberdeen Global Opportunity Income Fund","Financial","Closed-End Fund - Debt",101.67,25.72,8.97%,,,10.14,4.42%,0.00%,7.93%,,,,0.10%,-1.67%,-2.81%,-0.49%,-3.09%,-4.93%,,0.80%,-0.56%,-1.06%,-1.52%,-2.81%,1.34%,-8.61%,2.18%,42.69,,9.95,-0.78%,30970,
"FAMI","Farmmi, Inc.","Consumer Defensive","Packaged Foods",72.77,2.06,,-5.30%,21.50%,20.86,3.86%,0.00%,6.50%,-3.80%,,7.10%,-13.34%,-31.60%,-38.47%,-48.04%,-73.72%,-79.43%,-0.30,7.54%,-24.05%,-26.96%,-61.03%,-56.23%,18.67%,-90.61%,18.67%,30.48,,0.23,-6.00%,38641170,
"FAN","First Trust Global Wind Energy ETF","Financial","Exchange Traded Fund",,,1.10%,,,,,,,,,,0.20%,-8.14%,-8.85%,-6.30%,-3.41%,-13.78%,,1.20%,-4.04%,-5.42%,-7.80%,-10.71%,2.00%,-24.02%,2.00%,32.73,,19.86,-1.14%,248274,
"FANG","Diamondback Energy, Inc.","Energy","Oil & Gas E&P",20432.39,55.39,1.50%,-27.70%,44.50%,181.03,0.10%,-32.12%,88.70%,-2.28%,2.64%,33.70%,1.19%,-0.43%,38.36%,23.47%,167.09%,120.52%,2.54,4.48%,-6.37%,-2.83%,19.41%,-12.50%,31.82%,-12.50%,162.09%,43.83,1.80,103.00,-3.49%,4005894,131.62
"FANH","Fanhua Inc.","Financial","Insurance Brokers",687.87,13.35,4.69%,12.30%,5.90%,53.70,0.20%,0.00%,24.20%,-10.23%,4.63%,9.80%,-9.41%,-3.47%,-10.61%,-5.40%,-10.11%,6.31%,0.62,4.07%,-9.49%,-5.33%,-10.52%,-18.23%,12.75%,-33.67%,18.42%,34.86,3.00,12.47,-2.58%,113055,14.50
"FAPR","FT Cboe Vest US Eq Buffer ETF - April","Financial","Exchange Traded Fund",,,,,,,,,,,,,-1.30%,-0.56%,0.75%,4.92%,,6.07%,,0.28%,-1.57%,-0.17%,1.99%,-2.10%,3.09%,-2.10%,7.29%,37.67,,31.70,-0.45%,48388,
"FARM","Farmer Bros. Co.","Consumer Defensive","Packaged Foods",118.13,,,-20.60%,-6.10%,17.97,3.50%,0.23%,61.60%,6.97%,0.85%,-5.40%,-12.03%,-16.69%,-15.00%,-50.63%,41.35%,34.69%,1.42,5.27%,-21.32%,-23.63%,-35.61%,-35.34%,-3.85%,-54.13%,63.49%,24.27,2.00,6.00,-4.61%,271035,14.00
"FARO","FARO Technologies, Inc.","Technology","Scientific & Technical Instruments",1258.62,67.31,,-45.60%,-0.90%,18.20,0.40%,-0.80%,,-1.14%,1.35%,-2.90%,-8.62%,-5.59%,0.75%,-7.76%,5.05%,-1.66%,1.33,3.35%,-10.96%,-4.60%,-10.39%,-17.68%,8.47%,-29.86%,8.47%,30.12,2.50,68.65,-1.17%,102858,87.25
"FAS","Direxion Daily Financial Bull 3X Shares","Financial","Exchange Traded Fund",,,0.40%,,,,,,,,,,-11.94%,-15.91%,-2.07%,-1.78%,137.29%,100.13%,,3.71%,-16.04%,-12.37%,3.31%,-22.07%,10.41%,-22.07%,123.49%,31.52,,117.67,-3.30%,2432765,
"FAST","Fastenal Company","Industrials","Industrial Distribution",34071.27,38.35,1.89%,11.00%,7.90%,574.97,0.10%,-21.97%,79.40%,-0.22%,2.13%,20.20%,-3.06%,3.66%,5.94%,12.86%,20.63%,21.18%,1.23,1.56%,-2.17%,3.62%,10.15%,-5.32%,15.33%,-5.32%,34.82%,46.55,2.90,58.47,-1.18%,3072720,53.00
"FAT","FAT Brands Inc.","Consumer Cyclical","Restaurants",157.09,,5.21%,,,14.14,1.60%,-10.66%,7.00%,-3.92%,1.32%,-21.20%,-13.14%,-0.10%,-17.38%,-8.36%,256.05%,67.73%,2.37,7.55%,-15.80%,-6.37%,-8.38%,-27.65%,13.23%,-40.61%,265.33%,37.53,2.00,9.50,-4.81%,25873,22.50
"FATBB","FAT Brands Inc.","Consumer Cyclical","Restaurants",,,4.60%,,,,68.49%,,0.40%,,2.43%,,-27.64%,61.57%,-30.40%,,,11.65%,,31.25%,-22.76%,8.66%,7.17%,-60.11%,79.33%,-60.11%,79.33%,45.08,,12.23,8.13%,213854,22.50
"FATE","Fate Therapeutics, Inc.","Healthcare","Biotechnology",5162.14,,,-12.30%,66.80%,95.41,1.00%,-23.17%,95.59%,1.08%,10.81%,,4.88%,2.25%,-24.90%,-20.21%,-5.91%,-39.50%,1.45,6.50%,-7.08%,-10.65%,-31.73%,-26.52%,7.91%,-56.97%,7.91%,41.81,1.90,52.13,-5.24%,1002739,105.63
"FAUG","FT Cboe Vest US Eq Buffer ETF - August","Financial","Exchange Traded Fund",,,,,,,,,,,,,-1.52%,-0.75%,0.53%,2.86%,10.72%,8.57%,,0.47%,-2.08%,-0.50%,1.72%,-2.80%,3.20%,-2.80%,9.77%,36.21,,37.43,-0.72%,18689,
"FAX","Aberdeen Asia-Pacific Income Fund, Inc.","Financial","Closed-End Fund - Debt",1000.69,39.22,8.17%,,,247.70,,,22.97%,,,,-0.74%,-4.27%,-5.16%,-6.26%,-3.81%,-9.21%,,1.71%,-3.01%,-3.60%,-6.26%,-7.21%,1.01%,-13.45%,1.01%,35.74,,3.99,-1.24%,1818592,
