"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Gross Margin","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"FCEL","FuelCell Energy, Inc.","Industrials","Electrical Equipment & Parts",3434.17,,,51.80%,-15.40%,337.29,0.10%,0.00%,39.00%,0.13%,16.29%,-21.10%,-98.40%,-14.93%,16.36%,63.67%,6.17%,85.49%,-15.31%,4.74,10.33%,2.18%,22.29%,-6.23%,-18.65%,77.32%,-67.87%,141.94%,52.53,3.30,9.46,-7.62%,33442371,7.29
"FCF","First Commonwealth Financial Corporation","Financial","Banks - Regional",1507.48,11.68,2.93%,6.00%,8.10%,95.62,0.10%,-17.22%,71.60%,-0.14%,2.00%,,90.90%,-1.75%,8.89%,17.72%,0.90%,57.27%,43.33%,1.08,2.04%,2.02%,9.85%,10.89%,-2.37%,26.86%,-2.37%,62.74%,62.69,2.60,15.68,0.51%,398513,17.00
"FCFS","FirstCash, Inc.","Financial","Credit Services",3024.60,21.78,1.76%,3.60%,18.30%,40.45,0.10%,0.00%,99.20%,-1.57%,1.33%,57.70%,12.70%,-20.76%,-23.95%,-18.82%,-14.65%,4.50%,-2.54%,0.78,3.55%,-20.22%,-21.14%,-12.10%,-29.66%,-1.76%,-29.66%,24.45%,15.73,2.70,68.26,-2.32%,523524,95.40
"FCG","First Trust ETF - First Trust Natural Gas ETF","Financial","Exchange Traded Fund",,,1.87%,,,,,,,,,,,-2.68%,-3.25%,46.38%,27.67%,136.41%,106.12%,,2.96%,-2.92%,3.66%,23.12%,-7.01%,28.75%,-7.01%,139.84%,47.77,,18.18,0.28%,1113654,
"FCN","FTI Consulting, Inc.","Industrials","Consulting Services",5150.97,21.19,,29.10%,6.70%,33.49,0.60%,-3.54%,,4.70%,3.61%,31.40%,12.20%,4.16%,5.01%,5.82%,9.84%,43.88%,35.53%,0.39,2.22%,4.27%,7.62%,10.71%,0.96%,15.14%,0.96%,47.14%,70.21,1.50,151.41,0.97%,218515,179.33
"FCNCA","First Citizens BancShares, Inc.","Financial","Banks - Regional",8082.58,14.92,0.23%,22.10%,8.90%,9.82,1.60%,0.00%,62.40%,5.15%,10.04%,,97.40%,-2.02%,-3.07%,-2.48%,-2.86%,54.40%,43.91%,1.15,2.55%,-1.45%,-2.09%,-0.51%,-7.74%,3.98%,-9.72%,57.04%,44.94,1.70,826.44,0.39%,67090,1025.00
"FCNCP","First Citizens BancShares, Inc.","Financial","Banks - Regional",,,4.98%,,,,0.33%,,27.51%,,0.32%,,,-1.54%,-2.67%,-1.68%,1.05%,0.56%,-0.41%,,0.80%,-2.12%,-2.16%,-0.87%,-3.75%,0.45%,-8.09%,6.19%,31.36,,26.93,-0.30%,15686,1025.00
"FCO","Aberdeen Global Income Fund, Inc.","Financial","Closed-End Fund - Debt",72.77,,10.08%,,,8.74,0.01%,104.06%,18.88%,,,,,-0.60%,3.09%,-11.95%,-5.02%,9.22%,5.44%,,1.50%,0.37%,0.38%,-3.19%,-7.55%,11.07%,-14.51%,14.11%,51.16,,8.33,-1.30%,51023,
"FCOM","Fidelity MSCI Communication Services Index ETF","Financial","Exchange Traded Fund",,,0.56%,,,,,,,,,,,-0.40%,-2.44%,-2.05%,4.43%,25.86%,17.56%,,0.96%,-1.04%,-1.57%,1.02%,-5.89%,1.40%,-6.70%,26.30%,42.88,,53.49,-0.92%,64972,
"FCOR","Fidelity Corporate Bond ETF","Financial","Exchange Traded Fund",,,2.38%,,,,,,,,,,,-0.41%,0.21%,-1.85%,0.57%,-2.66%,-3.65%,,0.46%,-0.41%,-0.78%,-0.43%,-2.82%,0.46%,-3.82%,3.76%,44.19,,55.15,0.11%,163124,
"FCPT","Four Corners Property Trust, Inc.","Real Estate","REIT - Hotel & Motel",2210.44,26.00,4.51%,52.00%,38.60%,76.25,1.10%,-0.32%,96.10%,4.85%,,,59.60%,-2.19%,-2.99%,2.03%,2.44%,-0.25%,-5.34%,0.91,1.87%,-2.82%,0.13%,0.26%,-6.38%,5.74%,-7.36%,10.21%,42.85,2.00,28.18,0.46%,544605,32.50
"FCRD","First Eagle Alternative Capital BDC, Inc.","Financial","Asset Management",141.97,,8.48%,-9.45%,,30.11,7.07%,-0.38%,41.36%,,,,,-1.57%,1.18%,1.40%,3.97%,46.88%,29.18%,,1.88%,-0.49%,2.79%,6.66%,-3.58%,9.65%,-3.58%,50.16%,52.34,3.00,4.72,0.53%,21822,5.25
"FCT","First Trust Senior Floating Rate Income Fund II","Financial","Closed-End Fund - Debt",314.40,98.46,7.84%,,,25.96,16.77%,0.00%,71.78%,,,,,0.00%,0.33%,-1.78%,-3.35%,9.30%,4.22%,,0.53%,-0.41%,-0.73%,-1.47%,-4.72%,2.11%,-5.69%,9.59%,44.03,3.00,12.11,-0.08%,37355,
"FCTR","First Trust Lunt U.S. Factor Rotation ETF","Financial","Exchange Traded Fund",,,0.49%,,,,,,,,,,,1.16%,2.50%,2.44%,6.04%,34.90%,23.76%,,1.02%,1.37%,3.15%,5.50%,-1.30%,9.30%,-1.30%,35.10%,59.40,,36.49,-0.49%,73302,
"FCUV","Focus Universal Inc.","Technology","Scientific & Technical Instruments",402.30,,,-30.40%,148.10%,40.96,59.41%,0.00%,0.10%,104.78%,0.42%,20.20%,,-2.08%,11.18%,37.69%,68.87%,,155.71%,,7.48%,10.77%,-2.59%,28.24%,-45.02%,22.10%,-64.55%,198.33%,55.75,,8.95,0.45%,329105,
"FCVT","First Trust SSI Strategic Convertible Securities ETF","Financial","Exchange Traded Fund",,,1.63%,,,,,,,,,,,-0.62%,1.21%,5.97%,7.46%,22.29%,7.74%,,0.92%,0.07%,1.70%,2.69%,-2.37%,6.09%,-5.79%,22.75%,52.47,,52.75,-0.45%,13780,
"FCX","Freeport-McMoRan Inc.","Basic Materials","Copper",56506.17,14.75,0.77%,15.30%,-0.60%,1469.00,0.57%,-1.26%,77.50%,-1.21%,2.14%,36.80%,36.70%,-5.16%,-0.36%,18.26%,-5.09%,87.30%,49.08%,2.06,3.86%,0.25%,7.47%,6.16%,-6.75%,29.21%,-15.86%,89.04%,52.54,2.00,38.79,-0.21%,17597507,42.08
"FDD","First Trust STOXX European Select Dividend Index Fund","Financial","Exchange Traded Fund",,,3.74%,,,,,,,,,,,-1.11%,-0.49%,-4.12%,-5.40%,15.93%,10.34%,,0.53%,-1.08%,-0.46%,-1.84%,-3.60%,3.05%,-8.69%,16.77%,42.38,,14.19,-0.07%,26027,
"FDEC","FT Cboe Vest US Eq Buffer ETF - December","Financial","Exchange Traded Fund",,,,,,,,,,,,,,0.16%,0.48%,2.08%,5.15%,,11.68%,,0.17%,0.24%,1.02%,3.96%,-0.14%,2.99%,-0.14%,14.42%,63.90,,34.22,-0.14%,468,
"FDEM","Fidelity Emerging Markets Multifactor ETF","Financial","Exchange Traded Fund",,,1.88%,,,,,,,,,,,-1.47%,-2.33%,1.09%,-6.08%,2.24%,-4.41%,,0.78%,-0.82%,-0.63%,-4.85%,-4.20%,3.77%,-12.22%,3.77%,45.46,,26.09,-0.96%,1202,
"FDEU","First Trust Dynamic Europe Equity Income Fund","Financial","Asset Management",224.19,,5.53%,,,17.23,0.70%,52.26%,62.80%,,,,,-1.59%,-1.59%,-2.69%,-4.83%,16.79%,10.25%,,1.32%,-1.57%,-0.67%,-1.08%,-4.55%,4.00%,-7.07%,17.63%,41.20,,13.01,-0.61%,31819,
"FDEV","Fidelity International Multifactor ETF","Financial","Exchange Traded Fund",,,1.81%,,,,,,,,,,,0.23%,1.11%,-0.13%,2.45%,13.43%,8.28%,,0.42%,0.18%,1.05%,2.64%,-2.23%,5.73%,-2.83%,13.43%,54.41,,29.87,0.03%,3662,
"FDG","American Century Focused Dynamic Growth ETF","Financial","Exchange Traded Fund",,,0.01%,,,,,,,,,,,1.63%,2.95%,7.06%,19.99%,32.05%,18.58%,,1.15%,0.47%,3.13%,9.55%,-1.93%,10.16%,-1.93%,32.46%,56.11,,88.22,-0.37%,5885,
"FDHY","Fidelity High Yield Factor ETF","Financial","Exchange Traded Fund",,,3.97%,,,,,,,,,,,-0.25%,-0.64%,-0.20%,0.27%,2.23%,0.06%,,0.32%,-0.29%,-0.60%,-0.15%,-1.89%,0.27%,-1.89%,2.62%,42.46,,55.61,-0.07%,25184,
"FDIS","Fidelity MSCI Consumer Discretionary Index ETF","Financial","Exchange Traded Fund",,,0.48%,,,,,,,,,,,3.29%,9.04%,14.81%,19.86%,40.73%,28.73%,,1.35%,3.52%,8.50%,14.29%,-0.73%,15.87%,-0.73%,41.04%,71.02,,92.04,1.20%,111347,
"FDIV","First Trust Strategic Income ETF","Financial","Exchange Traded Fund",,,3.99%,,,,,,,,,,,-0.53%,-0.84%,0.27%,0.03%,5.30%,5.21%,,0.45%,-0.49%,0.39%,0.85%,-1.46%,2.62%,-2.71%,8.01%,47.13,,50.35,-0.15%,1230,
"FDL","First Trust ETF - First Trust Morningstar Dividend Leaders Index Fund","Financial","Exchange Traded Fund",,,,,,,,,,,,,,-0.63%,0.10%,0.52%,-1.57%,19.02%,15.16%,,0.70%,0.12%,1.39%,2.24%,-1.26%,4.59%,-3.87%,20.28%,52.80,,34.08,-0.48%,78242,
"FDLO","Fidelity Low Volatility Factor ETF","Financial","Exchange Traded Fund",,,1.19%,,,,,,,,,,,0.83%,2.38%,3.08%,11.39%,24.16%,19.71%,,0.55%,0.94%,3.33%,8.65%,-0.66%,8.17%,-0.66%,24.71%,65.69,,51.13,-0.14%,10980,
"FDM","First Trust Dow Jones Select MicroCap Index Fund","Financial","Exchange Traded Fund",,,0.98%,,,,,,,,,,,-1.86%,5.15%,10.51%,7.65%,48.97%,36.49%,,1.10%,1.54%,5.35%,7.88%,-2.06%,13.87%,-2.06%,50.38%,59.21,,65.35,-0.45%,18737,
"FDMO","Fidelity Momentum Factor ETF","Financial","Exchange Traded Fund",,,0.57%,,,,,,,,,,,0.98%,4.79%,8.26%,17.24%,31.06%,22.37%,,0.72%,1.70%,5.21%,11.36%,-1.02%,11.36%,-1.02%,31.37%,66.37,,54.10,0.37%,3660,
"FDMT","4D Molecular Therapeutics, Inc.","Healthcare","Biotechnology",731.10,,,,,31.87,2.90%,-9.66%,59.70%,6.07%,5.61%,,,-7.39%,-25.20%,-21.79%,-13.14%,,-44.66%,,5.97%,-14.14%,-20.41%,-28.33%,-36.52%,4.51%,-58.37%,7.20%,34.11,2.00,22.94,-5.01%,177247,50.33
"FDN","First Trust Dow Jones Internet Index Fund","Financial","Exchange Traded Fund",,,,,,,,,,,,,,1.85%,-0.25%,3.65%,12.58%,25.10%,16.44%,,1.32%,0.51%,1.37%,4.91%,-1.75%,7.71%,-2.27%,25.61%,52.91,,247.13,-0.62%,189191,
"FDNI","First Trust Dow Jones International Internet ETF","Financial","Exchange Traded Fund",,,0.16%,,,,,,,,,,,-0.81%,-3.23%,8.89%,-0.38%,3.59%,-5.25%,,2.06%,-0.51%,2.08%,-4.01%,-4.32%,12.39%,-24.89%,12.39%,50.40,,43.01,-1.76%,24489,
"FDP","Fresh Del Monte Produce Inc.","Consumer Defensive","Farm Products",1316.71,14.18,2.19%,-2.50%,0.70%,47.54,21.20%,-2.06%,69.80%,-0.10%,1.80%,7.30%,2.80%,-6.32%,-19.23%,-13.17%,-21.14%,13.82%,13.92%,0.74,2.53%,-11.90%,-13.52%,-11.80%,-19.35%,-0.58%,-25.02%,19.63%,24.67,2.00,27.42,-1.19%,103763,37.50
"FDRR","Fidelity Dividend ETF for Rising Rates","Financial","Exchange Traded Fund",,,2.11%,,,,,,,,,,,-0.14%,1.27%,2.11%,4.41%,26.69%,19.53%,,0.57%,0.34%,2.57%,5.05%,-1.06%,7.23%,-1.06%,27.42%,58.45,,44.00,-0.32%,53999,
"FDS","FactSet Research Systems Inc.","Financial","Financial Data & Stock Exchanges",17381.50,44.56,0.71%,4.80%,7.10%,37.69,1.39%,-7.99%,90.10%,0.33%,1.35%,50.60%,29.80%,1.06%,9.57%,25.12%,40.69%,45.61%,38.85%,0.76,1.83%,3.94%,11.68%,30.62%,-0.62%,25.75%,-0.62%,56.92%,78.05,3.40,461.66,0.10%,137274,373.23
"FDT","First Trust Developed Markets Ex-US AlphaDEX Fund","Financial","Exchange Traded Fund",,,2.91%,,,,,,,,,,,-0.45%,-1.09%,1.53%,-2.80%,16.07%,9.36%,,0.58%,-0.73%,-0.67%,-0.68%,-4.66%,3.84%,-6.08%,16.14%,46.56,,61.82,0.00%,10705,
"FDUS","Fidus Investment Corporation","Financial","Asset Management",448.92,6.44,6.75%,-2.99%,,24.44,1.42%,0.00%,24.69%,,,,,1.55%,3.84%,5.43%,8.63%,45.68%,42.28%,,1.66%,3.21%,3.82%,9.92%,-0.26%,7.30%,-0.26%,51.16%,68.24,1.90,18.37,1.21%,43792,18.86
"FDVV","Fidelity High Dividend ETF","Financial","Exchange Traded Fund",,,2.71%,,,,,,,,,,,-0.28%,0.89%,3.59%,4.83%,30.52%,23.12%,,0.64%,0.30%,2.70%,5.90%,-0.94%,8.42%,-0.94%,31.31%,57.91,,39.52,-0.28%,156436,
"FDX","FedEx Corporation","Industrials","Integrated Freight & Logistics",64270.81,13.70,1.23%,23.10%,10.80%,266.00,0.10%,-10.93%,74.70%,-0.92%,1.60%,70.40%,6.10%,-2.50%,5.80%,-8.19%,-20.96%,-13.37%,-5.74%,1.28,1.81%,0.93%,3.04%,-9.88%,-6.94%,13.12%,-23.50%,13.12%,53.14,1.90,244.72,-1.06%,2331956,302.97
"FE","FirstEnergy Corp.","Utilities","Utilities - Diversified",21036.27,20.58,4.04%,6.30%,-6.40%,544.00,0.20%,0.00%,84.50%,0.71%,2.64%,74.30%,16.70%,-1.08%,3.43%,-1.23%,1.58%,35.24%,26.14%,0.33,1.84%,0.12%,3.19%,4.88%,-3.04%,9.00%,-3.33%,47.56%,53.10,2.40,38.61,-1.20%,2799634,42.50
"FEDU","Four Seasons Education (Cayman) Inc.","Consumer Defensive","Education & Training Services",63.92,,6.43%,1.30%,24.50%,46.26,2.73%,0.00%,2.50%,,0.34%,39.80%,-13.00%,-2.10%,33.33%,122.58%,53.85%,64.71%,29.63%,0.29,10.73%,5.42%,34.39%,30.66%,-4.76%,164.15%,-46.97%,164.15%,62.71,3.00,1.40,-3.45%,63892,
"FEI","First Trust MLP and Energy Income Fund","Financial","Closed-End Fund - Equity",343.70,,7.93%,,,45.40,14.42%,0.00%,29.98%,,,,,-1.82%,-6.31%,7.38%,-3.32%,30.62%,30.29%,,2.23%,-2.56%,0.39%,2.80%,-7.34%,10.66%,-9.67%,33.27%,43.95,,7.57,-1.30%,216413,
"FEIM","Frequency Electronics, Inc.","Technology","Communication Equipment",90.25,,,-21.50%,-0.40%,9.19,1.80%,17.25%,60.30%,-0.04%,0.24%,31.10%,-4.20%,-4.40%,-4.21%,-8.08%,-1.04%,-4.97%,-13.01%,0.46,2.10%,-4.41%,-4.90%,-8.13%,-15.62%,3.69%,-26.80%,8.39%,39.71,,9.56,-2.55%,2941,
"FELE","Franklin Electric Co., Inc.","Industrials","Specialty Industrial Machinery",4439.16,32.02,0.74%,7.30%,6.20%,46.50,0.70%,-23.54%,82.80%,1.42%,1.46%,35.00%,11.40%,1.08%,10.22%,15.19%,17.04%,41.42%,37.58%,0.96,2.21%,5.38%,11.24%,16.29%,0.02%,21.24%,0.02%,45.04%,73.46,2.20,95.22,1.16%,112179,91.33
"FEM","First Trust Emerging Markets AlphaDEX Fund","Financial","Exchange Traded Fund",,,2.75%,,,,,,,,,,,-2.83%,-6.26%,-2.58%,-7.79%,9.22%,0.71%,,0.83%,-2.71%,-5.20%,-6.54%,-12.93%,-0.51%,-12.93%,9.46%,36.38,,25.46,-1.17%,65591,
"FEMB","First Trust Emerging Markets Local Currency Bond ETF","Financial","Exchange Traded Fund",,,5.80%,,,,,,,,,,,-2.35%,-3.52%,-5.68%,-10.40%,-12.92%,-17.13%,,0.69%,-1.77%,-3.46%,-8.61%,-7.72%,-0.49%,-18.33%,-0.49%,29.67,,31.54,-0.69%,192621,
"FEMS","First Trust Emerging Markets Small Cap AlphaDEX Fund","Financial","Exchange Traded Fund",,,3.58%,,,,,,,,,,,-3.37%,-4.34%,-4.17%,-8.10%,11.53%,-0.76%,,0.92%,-2.04%,-3.97%,-7.91%,-10.58%,0.17%,-18.45%,11.66%,37.48,,40.78,-1.25%,6312,
"FEMY","Femasys Inc.","Healthcare","Medical Instruments & Supplies",62.65,,,,,2.08,15.20%,0.00%,4.80%,-5.61%,,,,-31.04%,-28.33%,-23.73%,,,-57.42%,,7.30%,-27.59%,-27.96%,-31.19%,-36.91%,-18.89%,-62.84%,-18.89%,26.26,2.00,5.11,-20.53%,208821,21.50
"FEN","First Trust Energy Income and Growth Fund","Financial","Asset Management",277.68,,8.40%,,,19.45,23.70%,0.00%,30.55%,,,,,-1.25%,-6.05%,6.41%,-0.21%,35.87%,33.46%,,1.48%,-2.44%,0.45%,2.88%,-6.05%,11.27%,-7.45%,40.00%,41.93,,14.28,-0.83%,38351,
"FENC","Fennec Pharmaceuticals Inc.","Healthcare","Biotechnology",251.37,,,-65.90%,,26.01,16.95%,0.00%,46.70%,-0.64%,2.21%,,,5.35%,8.84%,41.32%,45.28%,24.37%,32.21%,-0.03,3.62%,5.75%,7.95%,30.57%,-2.26%,25.32%,-2.26%,69.83%,64.85,1.80,9.85,1.03%,96370,14.00
"FENG","Phoenix New Media Limited","Communication Services","Internet Content & Information",85.39,1.35,,41.50%,-5.60%,72.79,24.66%,0.00%,25.50%,-2.64%,1.52%,50.00%,-11.80%,-20.39%,-6.20%,-0.82%,-27.98%,77.52%,0.83%,2.04,6.83%,-15.91%,-9.80%,-22.10%,-24.84%,2.54%,-57.24%,82.26%,35.84,2.00,1.21,-3.97%,346660,
"FENY","Fidelity MSCI Energy Index ETF","Financial","Exchange Traded Fund",,,3.46%,,,,,,,,,,,-1.82%,-3.22%,25.08%,10.24%,66.24%,53.79%,,1.85%,-2.29%,3.20%,11.20%,-4.93%,21.92%,-4.93%,69.12%,47.51,,15.61,-0.51%,727449,
"FEO","First Trust/Aberdeen Emerging Opportunity Fund","Financial","Closed-End Fund - Equity",72.38,8.09,9.66%,,,4.99,12.83%,0.00%,57.19%,,,,,1.61%,-0.21%,1.59%,-1.18%,11.09%,3.72%,,1.37%,1.38%,0.15%,-0.18%,-4.03%,4.32%,-6.47%,14.69%,57.32,,14.50,0.49%,33490,
"FEP","First Trust Europe AlphaDEX Fund","Financial","Exchange Traded Fund",,,3.28%,,,,,,,,,,,-0.34%,0.57%,0.83%,0.23%,22.25%,15.10%,,0.61%,-0.14%,1.32%,2.58%,-1.35%,6.28%,-3.56%,22.44%,52.49,,43.90,-0.11%,42578,
"FERG","Ferguson plc","Industrials","Industrial Distribution",36466.44,,1.72%,,,222.90,0.15%,0.00%,71.54%,,0.01%,,,4.99%,10.39%,17.47%,18.95%,116.60%,40.20%,,0.99%,6.37%,10.87%,20.33%,1.26%,18.97%,1.26%,55.63%,77.78,,163.60,1.48%,11885,
"FET","Forum Energy Technologies, Inc.","Energy","Oil & Gas Equipment & Services",112.98,,,8.10%,-13.70%,5.66,4.30%,25.24%,43.40%,0.24%,8.53%,6.80%,-10.40%,-5.00%,-20.41%,5.21%,-13.09%,60.49%,64.54%,3.96,3.93%,-11.69%,-9.49%,-7.67%,-21.11%,6.12%,-31.30%,69.08%,30.76,3.00,19.58,-4.58%,65853,30.00
"FEUZ","First Trust Eurozone AlphaDEX ETF","Financial","Exchange Traded Fund",,,2.41%,,,,,,,,,,,-0.76%,-0.48%,-1.13%,3.47%,32.54%,11.93%,,0.61%,-1.01%,-0.10%,2.84%,-15.40%,3.89%,-15.40%,21.09%,46.05,,47.25,-0.01%,343,
"FEX","First Trust Large Cap Core AlphaDEX Fund","Financial","Exchange Traded Fund",,,0.82%,,,,,,,,,,,0.34%,2.34%,4.97%,10.01%,33.97%,25.73%,,0.65%,0.91%,3.68%,8.45%,-1.04%,9.13%,-1.04%,34.54%,62.55,,92.32,-0.19%,17149,
"FEXDU","Fintech Ecosystem Development Corp.","Financial","Shell Companies",,,,,,,,,,,,,,0.00%,,,,,1.49%,,,0.11%,0.11%,0.11%,-0.29%,1.79%,-0.29%,1.79%,,,10.23,-0.05%,30726,
"FEZ","SPDR EURO STOXX 50 ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,,0.04%,2.72%,2.93%,0.69%,21.72%,16.06%,,0.61%,0.59%,2.64%,3.97%,-1.47%,8.35%,-1.94%,22.27%,58.20,,48.42,0.27%,833511,
"FF","FutureFuel Corp.","Basic Materials","Chemicals",378.34,39.25,2.86%,-0.10%,-7.40%,43.76,0.10%,348.61%,49.70%,-1.79%,2.04%,1.90%,-1.20%,-8.40%,5.79%,2.69%,-27.90%,-14.48%,-21.56%,0.81,4.11%,5.51%,8.86%,-15.39%,-9.19%,19.32%,-44.22%,19.32%,55.34,2.00,8.40,-1.75%,211017,14.00
"FFA","First Trust Enhanced Equity Income Fund","Financial","Closed-End Fund - Equity",424.63,8.49,5.93%,,,19.98,0.03%,0.00%,35.03%,,,,,0.05%,0.81%,1.00%,7.16%,29.02%,20.60%,,1.13%,0.13%,2.17%,6.45%,-3.85%,8.42%,-4.11%,31.33%,55.20,,21.25,-0.33%,25044,
"FFBC","First Financial Bancorp.","Financial","Banks - Regional",2370.45,11.71,3.69%,5.50%,14.20%,94.29,0.60%,-13.96%,76.80%,-1.22%,2.00%,,94.90%,-2.65%,3.40%,6.76%,-4.07%,48.57%,42.38%,1.09,2.21%,0.67%,4.79%,4.68%,-3.67%,16.36%,-6.24%,56.20%,53.95,3.00,24.96,0.44%,222204,25.60
"FFBW","FFBW, Inc.","Financial","Banks - Regional",83.52,37.97,,15.70%,4.10%,6.35,2.20%,1.52%,18.90%,1.08%,0.03%,,89.00%,0.00%,-0.41%,3.27%,7.14%,29.87%,19.76%,0.52,0.59%,-0.16%,0.92%,5.72%,-1.64%,4.35%,-1.64%,26.05%,51.20,,12.00,0.00%,6096,
"FFC","Flaherty & Crumrine Preferred Securities Income Fund Inc.","Financial","Closed-End Fund - Debt",1000.37,13.99,6.79%,,,44.70,,,13.37%,,,,,-0.97%,-0.22%,-3.58%,0.72%,-0.97%,-4.48%,,0.58%,-0.50%,-0.67%,-1.61%,-2.95%,1.59%,-6.16%,5.07%,41.86,,22.38,-0.22%,113738,
"FFEB","FT Cboe Vest US Eq Buffer ETF - February","Financial","Exchange Traded Fund",,,,,,,,,,,,,,0.36%,1.17%,2.99%,7.04%,18.27%,15.16%,,0.25%,0.46%,1.83%,5.68%,-0.20%,4.59%,-0.20%,18.38%,68.31,,38.09,0.09%,9643,
"FFHG","FormulaFolios Hedged Growth ETF","Financial","Exchange Traded Fund",,,0.24%,,,,,,,,,,,-0.08%,3.50%,6.79%,7.98%,36.03%,25.11%,,0.61%,1.05%,3.93%,7.67%,-2.70%,9.09%,-2.70%,36.03%,61.68,,37.87,-0.07%,2528,
"FFHL","Fuwei Films (Holdings) Co., Ltd.","Consumer Cyclical","Packaging & Containers",29.37,4.36,,18.00%,6.20%,3.27,65.50%,0.00%,8.20%,,0.44%,41.50%,13.10%,-3.48%,-9.19%,4.21%,21.68%,71.67%,-22.52%,0.87,3.94%,-5.05%,-6.04%,-7.46%,-17.12%,-1.01%,-46.55%,75.28%,38.33,,9.15,-1.72%,3932,
"FFIC","Flushing Financial Corporation","Financial","Banks - Regional",755.55,11.42,3.46%,-5.70%,5.30%,31.57,1.20%,-8.80%,71.30%,-1.42%,1.97%,,87.10%,0.04%,4.02%,7.14%,3.14%,77.83%,46.09%,0.82,2.15%,0.99%,4.73%,8.10%,-1.78%,15.76%,-3.61%,78.88%,57.06,2.50,24.31,0.29%,131625,27.50
"FFIE","Faraday Future Intelligent Electric Inc.","Consumer Cyclical","Auto Manufacturers",2643.68,,,,,7.41,0.20%,0.00%,4.20%,,,,,-3.89%,-14.55%,-11.50%,-24.65%,-16.56%,-18.40%,,7.25%,-5.83%,-9.76%,-31.20%,-29.04%,10.27%,-60.67%,10.27%,42.36,1.70,8.16,-3.32%,2243270,19.00
"FFIN","First Financial Bankshares, Inc.","Financial","Banks - Regional",7636.73,33.25,1.12%,20.40%,10.40%,142.33,1.60%,-2.24%,60.10%,-1.43%,3.97%,,,-1.36%,8.80%,10.55%,7.37%,58.35%,48.28%,0.88,2.08%,2.38%,10.52%,11.39%,-2.15%,24.66%,-2.15%,61.96%,64.73,3.20,53.64,-0.32%,325892,48.00
"FFIV","F5 Networks, Inc.","Technology","Software - Infrastructure",14197.91,44.44,,-0.10%,4.10%,60.19,0.40%,-22.74%,99.10%,0.11%,5.27%,81.20%,13.70%,5.69%,14.82%,19.21%,29.56%,53.29%,35.42%,1.07,2.66%,8.14%,13.81%,19.47%,0.35%,23.13%,0.35%,53.39%,78.73,2.30,238.26,0.64%,636147,238.19
"FFNW","First Financial Northwest, Inc.","Financial","Banks - Regional",159.29,13.31,2.60%,5.60%,8.60%,9.31,1.80%,0.00%,42.10%,-1.98%,0.69%,,81.60%,-0.53%,1.93%,3.17%,16.14%,50.04%,48.33%,0.56,1.05%,0.72%,2.03%,12.00%,-1.97%,5.16%,-1.97%,59.38%,54.73,1.70,16.91,-1.11%,7319,18.58
"FFR","First Trust FTSE EPRA/NAREIT Developed Markets Real Estate Index Fund","Financial","Exchange Traded Fund",,,,,,,,,,,,,,0.42%,1.53%,2.21%,7.73%,26.47%,22.72%,,0.68%,0.53%,2.81%,6.60%,-2.17%,8.15%,-2.17%,27.38%,61.05,,53.79,-0.20%,18057,
"FFSG","FormulaFolios Smart Growth ETF","Financial","Exchange Traded Fund",,,1.50%,,,,,,,,,,,0.20%,2.46%,5.66%,7.38%,27.45%,21.37%,,0.42%,0.77%,3.34%,6.53%,-0.82%,11.41%,-0.82%,28.76%,60.84,,37.94,-0.14%,554,
"FFTG","FormulaFolios Tactical Growth ETF","Financial","Exchange Traded Fund",,,1.10%,,,,,,,,,,,0.39%,1.27%,3.55%,-0.05%,11.09%,7.56%,,0.50%,0.43%,2.56%,2.81%,-0.54%,7.53%,-1.96%,12.23%,59.44,,30.80,0.03%,1800,
"FFTI","FormulaFolios Tactical Income ETF","Financial","Exchange Traded Fund",,,2.26%,,,,,,,,,,,-0.38%,-0.29%,-1.16%,-0.13%,-0.87%,-1.89%,,0.20%,-0.39%,-0.76%,-0.80%,-2.03%,0.29%,-2.05%,2.40%,41.82,,23.89,0.00%,9367,
"FFTY","Innovator IBD 50 ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,,0.41%,3.12%,12.45%,17.35%,35.73%,24.09%,,2.04%,0.75%,2.95%,9.31%,-3.06%,11.91%,-3.06%,35.91%,53.92,,50.94,0.79%,78937,
"FFWM","First Foundation Inc.","Financial","Banks - Regional",1297.49,11.86,1.26%,26.60%,30.50%,44.82,0.80%,-31.04%,70.10%,3.34%,4.97%,,92.80%,-2.10%,6.75%,17.51%,13.75%,58.11%,42.30%,1.39,2.57%,2.47%,6.81%,16.83%,-3.23%,19.08%,-3.23%,62.45%,58.96,1.80,28.46,0.96%,118537,32.60
