no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,ma_20_day,ma_50_day,ma_200_day,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
1377,CFG,"Citizens Financial Group, Inc.",Financial,Banks - Regional,USA,23733.8,10.69,10.86,,4.89,1.1,1.5,,2.83%,34.70%,5.16,-41.70%,19.55%,7.50%,-2.76%,6.80%,74.50%,-4.50%,426.09,424.13,0.10%,0.00%,97.10%,-0.58%,3.08%,2.71,1.00%,9.10%,12.90%,,,0.32,0.32,,91.80%,39.50%,-0.40%,-2.13%,10.41%,27.31%,31.84%,16.72%,1.47,1.57,2.49%,3.08%,3.69%,8.73%,15.88%,-3.25%,26.61%,-3.25%,39.43%,61.34,1.36%,1.40%,2.0,4815.98,0.72,55.15,2.78%,3479546,1/19/2022 8:30:00 AM,60.53,9/24/2014,55.25,0.18%,69.0,86,1.15,55.15,53.16,50.9,47.64,39.56,57.0,13.0,9.76,56.0,True
1424,CHK,Chesapeake Energy Corporation,Energy,Oil & Gas E&P,USA,7618.25,27.85,7.04,5.11,1.93,2.21,8.97,10.42,2.56%,9.20%,2.45,,3.08%,,5.45%,-16.20%,95.40%,-7.50%,117.11,103.99,0.04%,0.00%,,13.34%,13.53%,10.71,64.40%,533.10%,237.70%,0.7,0.7,0.41,0.41,65.10%,,,3.88%,-4.54%,9.39%,24.65%,54.25%,5.81%,,2.75,3.45%,4.19%,1.65%,3.83%,15.09%,-7.32%,17.33%,-7.32%,70.67%,53.7,2.66%,-1.87%,2.0,1313.74,0.63,68.27,0.74%,831605,2/23/2022 4:30:00 PM,98.82,2/10/2021,68.15,-0.18%,69.0,95,1.38,68.27,67.1,65.91,59.43,40.0,73.66,29.0,44.75,64.33333333333333,True
1495,CLBK,"Columbia Financial, Inc.",Financial,Banks - Regional,USA,2336.25,24.51,24.59,,8.65,2.16,6.88,20.93,,0.00%,0.88,6.60%,6.67%,15.30%,,12.60%,49.90%,-9.30%,102.98,41.06,0.30%,0.00%,16.70%,2.14%,2.04%,6.09,0.90%,8.20%,13.90%,,,0.73,0.73,,86.40%,30.90%,-0.23%,3.39%,12.71%,19.76%,32.19%,3.74%,0.35,0.45,1.78%,2.44%,2.63%,4.08%,15.42%,-1.19%,11.26%,-1.19%,36.19%,61.95,-0.87%,0.83%,1.5,137.39,0.69,21.64,-0.05%,95474,1/25/2022 4:30:00 PM,23.0,4/20/2018,21.64,0.00%,84.0,87,1.18,21.64,21.15,20.83,18.76,15.89,21.9,18.0,6.28,63.0,True
1561,CMRE,Costamare Inc.,Industrials,Marine Shipping,Monaco,1747.38,6.35,3.35,,2.78,1.09,6.17,,3.30%,18.90%,2.2,-130.60%,73.37%,-16.10%,,-1.30%,506.10%,100.40%,123.31,54.76,77.90%,0.00%,26.90%,-2.89%,1.46%,1.29,7.40%,18.60%,2.10%,1.1,1.0,1.43,1.61,73.10%,47.30%,42.90%,3.56%,4.26%,8.39%,14.63%,41.05%,10.28%,1.35,0.48,3.70%,3.78%,6.41%,10.24%,10.59%,-3.99%,24.11%,-16.57%,51.96%,63.22,-1.34%,1.07%,1.3,618.35,1.63,13.95,-0.29%,1007846,,18.5,11/4/2010,13.95,0.00%,91.0,90,1.25,13.95,13.15,12.7,12.63,9.18,16.72,17.0,32.62,66.0,True
1605,CNXC,Concentrix Corporation,Technology,Information Technology Services,USA,10794.77,26.53,18.84,1.7,1.93,4.02,59.31,29.57,0.49%,0.00%,7.69,141.20%,-10.52%,,15.60%,28.60%,88.80%,12.70%,51.56,42.23,0.60%,-14.17%,85.10%,0.77%,1.72%,2.69,7.90%,15.80%,12.30%,1.6,1.6,0.31,0.31,35.30%,10.20%,7.20%,0.28%,22.46%,10.40%,26.03%,81.94%,14.24%,,7.13,2.95%,4.07%,7.40%,13.24%,20.08%,-2.12%,32.33%,-2.12%,93.57%,65.38,0.12%,0.78%,1.0,270.57,0.59,204.06,0.90%,160733,1/18/2022 4:30:00 PM,215.67,11/24/2020,204.06,0.00%,100.0,98,1.62,204.06,191.98,180.9,170.17,105.42,208.48,14.0,5.69,70.66666666666667,True
1643,COOP,Mr. Cooper Group Inc.,Financial,Mortgage Finance,USA,3245.76,3.18,7.49,,0.89,1.25,4.44,,,0.00%,16.22,8.30%,23.06%,21.80%,-8.54%,240.20%,80.90%,-0.30%,78.94,73.64,1.60%,-8.48%,89.10%,0.04%,3.36%,2.77,6.20%,48.30%,4.00%,,,3.15,3.98,,47.80%,39.80%,27.18%,15.78%,21.45%,35.72%,69.25%,23.82%,1.6,1.78,6.03%,3.97%,23.58%,23.78%,32.51%,0.66%,37.50%,0.66%,79.89%,80.59,1.58%,0.48%,2.1,892.09,2.11,51.52,2.06%,1878001,2/11/2022 8:30:00 AM,51.86,3/28/2012,51.52,0.00%,66.0,96,1.46,51.52,42.03,41.85,38.97,28.64,51.18,19.0,0.66,60.333333333333336,True
1644,COP,ConocoPhillips,Energy,Oil & Gas E&P,USA,116246.8,14.78,11.42,8.32,2.54,2.71,11.06,54.65,1.69%,146.30%,6.07,-139.20%,-9.72%,6.80%,1.78%,-8.60%,526.20%,158.20%,1332.29,1317.82,0.10%,-20.39%,80.50%,0.09%,1.30%,2.09,2.30%,4.60%,-2.40%,1.9,1.8,0.42,0.45,48.20%,5.90%,4.00%,-1.81%,3.39%,23.66%,64.95%,82.19%,24.24%,1.45,3.2,2.85%,3.70%,0.28%,11.37%,34.32%,-5.53%,36.13%,-5.53%,89.28%,55.65,1.13%,-3.13%,1.8,8165.84,1.03,89.68,-2.04%,8378862,2/3/2022 8:30:00 AM,99.98,1/13/1978,89.59,-0.10%,75.0,97,1.61,89.68,89.53,80.97,67.1,47.51,94.93,13.0,11.49,61.666666666666664,True
1666,CPF,Central Pacific Financial Corp.,Financial,Banks - Regional,USA,824.84,10.52,11.55,1.31,3.77,1.5,2.31,34.95,3.35%,46.90%,2.83,-35.00%,13.51%,-1.20%,8.00%,6.40%,202.80%,12.00%,27.97,27.29,0.40%,-0.05%,91.90%,1.83%,2.07%,3.16,0.80%,10.20%,28.00%,,,0.19,0.19,,87.70%,25.50%,0.54%,-3.68%,5.04%,16.95%,36.81%,5.82%,1.21,0.79,2.28%,2.88%,1.90%,3.82%,10.42%,-3.75%,13.05%,-3.75%,41.68%,57.08,1.05%,1.06%,1.7,178.74,0.59,29.81,2.12%,104606,1/26/2022 8:30:00 AM,32.67,8/28/1987,29.81,0.00%,78.0,89,1.21,29.81,29.23,28.75,27.01,21.04,30.97,9.0,9.59,58.666666666666664,True
1747,CSGS,"CSG Systems International, Inc.",Technology,Software - Infrastructure,USA,1915.3,27.92,15.35,,1.86,4.29,8.53,18.65,1.68%,47.00%,2.13,-28.70%,8.39%,-0.60%,-5.00%,5.70%,20.10%,7.80%,31.76,31.56,2.10%,0.00%,99.70%,0.45%,4.44%,5.25,5.00%,15.20%,9.70%,1.1,1.1,0.32,0.85,48.00%,11.30%,6.40%,-1.47%,3.44%,14.78%,25.87%,24.40%,3.26%,0.86,1.68,2.34%,3.03%,3.31%,3.95%,18.79%,-3.37%,12.50%,-3.37%,39.74%,58.71,-1.42%,0.30%,1.0,267.15,0.67,59.5,-1.13%,178989,2/1/2022 4:30:00 PM,66.0,2/28/1996,59.5,0.00%,100.0,82,1.1,59.5,57.73,57.36,50.16,42.58,61.58,18.0,10.92,66.66666666666667,True
1785,CTRA,Coterra Energy Inc.,Energy,Oil & Gas E&P,USA,17781.11,26.22,6.73,0.35,10.57,3.94,233.04,59.61,1.96%,47.80%,0.87,-69.30%,16.56%,30.70%,74.49%,1.60%,514.80%,51.30%,813.58,797.84,1.30%,-4.51%,64.10%,16.68%,3.55%,3.45,7.60%,15.30%,7.60%,1.0,0.9,0.41,0.41,62.10%,29.00%,20.90%,2.37%,3.24%,10.09%,52.68%,27.37%,20.63%,-0.2,0.95,3.69%,4.27%,4.93%,9.25%,22.97%,-6.03%,24.63%,-6.03%,65.73%,56.65,0.70%,-2.02%,2.3,8207.18,0.78,22.92,-1.33%,6398047,2/23/2022 4:30:00 PM,27.52,2/8/1990,22.92,0.00%,59.0,82,1.1,22.92,21.9,21.03,19.0,14.28,24.39,30.0,20.07,57.0,True
1791,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,USA,48337.31,21.99,17.5,1.91,2.61,4.05,20.03,28.5,1.08%,29.10%,4.05,-21.80%,11.72%,-0.60%,11.49%,6.00%,61.40%,11.80%,525.0,524.87,0.10%,-2.99%,94.40%,1.13%,0.95%,1.68,9.90%,15.10%,11.10%,2.1,2.1,0.06,0.06,37.30%,13.10%,9.10%,-0.12%,2.13%,8.68%,15.65%,16.52%,0.38%,1.11,2.5,3.01%,2.84%,3.38%,3.74%,15.00%,-3.66%,14.50%,-3.66%,34.55%,55.85,2.19%,1.06%,2.4,2963.12,1.08,89.06,3.27%,3206687,2/2/2022 4:30:00 PM,94.78,6/19/1998,89.06,0.00%,56.0,75,1.03,89.06,86.29,86.06,77.48,66.19,92.44,23.0,6.42,51.333333333333336,True
1833,CVX,Chevron Corporation,Energy,Oil & Gas Integrated,USA,253646.67,16.51,14.56,,1.63,1.9,42.05,,3.99%,279.00%,8.13,-291.90%,-11.97%,-26.20%,-4.90%,-6.10%,,77.30%,1918.01,1897.83,0.04%,-61.50%,67.80%,0.68%,1.22%,1.87,1.50%,2.70%,-2.10%,1.3,1.0,0.27,0.27,42.70%,2.80%,2.30%,-1.60%,4.11%,14.93%,33.29%,39.97%,14.41%,1.17,3.42,2.14%,2.52%,0.64%,7.43%,21.77%,-3.71%,21.25%,-3.71%,44.97%,55.26,0.95%,-2.69%,2.2,12423.59,0.95,134.26,-1.76%,11746013,1/28/2022 8:30:00 AM,141.05,6/24/1921,134.3,0.03%,63.0,92,1.27,134.26,133.64,125.37,110.4,92.61,139.44,12.0,5.06,55.666666666666664,True
1958,DELL,Dell Technologies Inc.,Technology,Computer Hardware,USA,46624.9,6.92,8.55,1.22,0.44,5.12,2.08,4.42,,0.00%,8.65,3.00%,6.64%,36.00%,5.65%,13.10%,351.90%,20.90%,766.0,282.51,0.60%,-14.44%,90.60%,1.47%,2.95%,1.9,5.40%,137.50%,10.50%,0.8,0.7,3.54,5.36,30.30%,9.70%,6.50%,-0.22%,-1.17%,5.50%,20.72%,48.98%,6.50%,0.83,1.52,2.46%,2.85%,3.18%,3.88%,12.50%,-2.79%,12.70%,-2.79%,53.30%,57.43,1.56%,0.51%,2.1,4391.69,0.77,59.82,2.08%,3401064,2/24/2022 4:30:00 PM,66.61,8/17/2016,59.73,-0.15%,66.0,93,1.31,59.82,57.99,57.61,53.24,39.04,61.54,18.0,11.35,59.0,True
2143,DSKE,"Daseke, Inc.",Industrials,Trucking,USA,728.67,16.03,9.19,0.64,0.47,6.88,5.07,9.13,,0.00%,0.71,99.80%,8.33%,29.40%,25.00%,16.50%,76.80%,13.00%,62.58,39.58,3.50%,-11.76%,40.90%,5.80%,3.75%,3.25,3.70%,48.10%,4.70%,1.6,1.6,5.18,5.72,54.50%,5.40%,2.60%,-1.30%,19.85%,11.38%,22.70%,115.78%,13.05%,1.98,0.46,3.47%,5.27%,8.08%,12.84%,28.85%,-2.91%,36.20%,-2.91%,119.96%,64.18,-0.35%,1.42%,2.2,456.27,0.88,11.35,1.07%,400723,1/25/2022 8:30:00 AM,12.75,10/12/2015,11.7,3.08%,63.0,99,1.85,11.35,10.6,10.09,8.83,5.16,11.69,18.0,12.33,60.0,True
2183,DVN,Devon Energy Corporation,Energy,Oil & Gas E&P,USA,33595.26,29.74,9.33,1.19,3.76,3.87,14.47,12.21,0.86%,19.80%,1.73,3855.60%,64.25%,26.40%,25.00%,-18.20%,535.60%,224.80%,671.0,640.84,0.50%,-3.31%,90.10%,-2.27%,2.69%,1.46,6.70%,16.70%,-31.00%,1.2,1.2,0.76,0.76,42.90%,16.00%,13.40%,0.45%,2.04%,23.08%,100.18%,151.79%,16.73%,2.91,2.46,3.86%,5.46%,0.29%,9.36%,48.01%,-7.25%,44.64%,-7.25%,179.01%,53.75,1.18%,-2.76%,1.8,11846.16,0.95,51.42,-1.61%,11249775,2/15/2022 4:30:00 PM,55.23,3/17/1992,51.75,0.64%,75.0,99,2.17,51.42,51.33,47.32,35.88,19.61,55.44,30.0,7.41,68.0,True
2262,ECPG,"Encore Capital Group, Inc.",Financial,Mortgage Finance,USA,2055.56,7.09,8.0,0.55,1.41,1.51,12.99,,,0.00%,9.88,25.30%,-19.66%,21.00%,13.00%,5.70%,55.20%,-7.10%,30.23,28.76,0.40%,-41.92%,,1.44%,17.56%,11.69,6.60%,23.80%,9.40%,,,2.0,2.0,77.60%,40.10%,21.50%,1.36%,3.92%,18.58%,46.88%,113.27%,12.80%,1.35,1.94,2.14%,2.92%,5.50%,11.96%,33.26%,-1.06%,27.13%,-1.06%,120.18%,68.85,-0.75%,0.14%,2.2,432.08,0.85,70.06,-0.61%,367969,2/23/2022 4:30:00 PM,69.0,7/9/1999,70.06,0.00%,63.0,98,1.84,70.06,66.58,62.81,52.72,31.82,70.81,17.0,-1.51,59.333333333333336,True
2424,ENVA,"Enova International, Inc.",Financial,Credit Services,USA,1703.63,6.63,6.43,,1.41,1.46,7.44,3.82,,0.00%,6.79,214.60%,19.98%,54.40%,,0.90%,-56.00%,76.10%,36.74,36.08,1.80%,-10.89%,90.80%,0.53%,2.35%,2.41,21.10%,46.30%,18.70%,15.9,15.9,0.95,0.95,,56.00%,39.80%,-1.94%,1.97%,6.58%,42.66%,54.51%,9.89%,1.52,1.9,3.91%,4.74%,7.80%,9.88%,23.69%,-5.99%,23.79%,-5.99%,66.70%,59.23,0.76%,1.15%,2.0,352.2,0.93,45.01,1.92%,326680,2/3/2022 4:30:00 PM,50.6,10/30/2014,45.01,0.00%,69.0,94,1.35,45.01,41.83,41.1,36.44,27.0,47.88,20.0,12.42,61.0,True
2432,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,USA,62613.03,21.44,10.4,0.29,4.03,2.96,14.58,12.41,2.71%,31.00%,5.17,-122.20%,23.49%,33.90%,73.84%,4.80%,,105.70%,585.09,583.05,0.30%,1.90%,87.80%,-0.53%,1.14%,1.47,8.30%,14.40%,-1.60%,2.1,2.0,0.23,0.24,60.80%,26.20%,19.40%,-0.56%,4.99%,21.76%,72.01%,80.86%,24.85%,1.82,4.27,3.10%,4.00%,0.98%,12.68%,32.59%,-5.12%,37.47%,-5.12%,90.08%,56.62,1.23%,-3.40%,2.0,4523.63,0.88,110.9,-2.21%,4001635,2/25/2022 8:30:00 AM,116.55,10/4/1989,110.7,-0.18%,69.0,97,1.55,110.9,110.09,99.2,85.52,60.46,116.89,18.0,5.09,61.333333333333336,True
2521,ESTE,"Earthstone Energy, Inc.",Energy,Oil & Gas E&P,USA,1049.97,,4.49,,3.36,1.29,2624.93,6.06,,,-0.42,156.50%,145.03%,44.30%,21.00%,24.90%,209.30%,169.30%,49.24,36.85,4.10%,-1.47%,73.10%,0.72%,4.61%,3.13,-1.00%,-3.00%,-18.40%,0.3,0.3,0.57,0.57,80.00%,35.80%,-4.10%,1.50%,-10.95%,12.92%,65.38%,83.57%,17.46%,2.42,0.96,6.19%,7.55%,-2.54%,5.91%,23.14%,-15.84%,36.56%,-15.84%,99.53%,49.42,1.98%,-3.37%,2.2,543.55,0.83,12.85,-1.46%,449068,11/4/2021 8:30:00 AM,21.62,4/18/1994,12.85,0.00%,63.0,97,1.6,12.85,13.1,12.19,10.46,6.44,15.27,30.0,68.25,63.333333333333336,True
2586,EWBC,"East West Bancorp, Inc.",Financial,Banks - Diversified,USA,13238.8,15.08,12.4,1.88,8.18,2.29,1.58,,1.43%,22.80%,6.1,-13.90%,13.95%,8.30%,8.00%,8.60%,40.20%,13.60%,141.88,140.8,0.60%,-0.38%,91.80%,0.89%,2.17%,3.28,1.30%,13.80%,21.00%,,,0.03,0.03,,86.50%,46.50%,0.72%,1.67%,9.55%,25.80%,33.53%,16.93%,1.63,2.73,2.79%,3.35%,5.97%,10.83%,18.59%,-0.66%,27.86%,-0.66%,39.67%,64.97,2.09%,0.86%,1.7,933.53,1.34,92.0,2.97%,1252745,1/27/2022 8:30:00 AM,107.9,2/3/1999,92.0,0.00%,78.0,87,1.17,92.0,86.9,83.33,77.66,65.87,92.62,17.0,17.28,60.666666666666664,True
2621,EXC,Exelon Corporation,Utilities,Utilities - Diversified,USA,40747.84,24.44,18.6,1.53,1.17,1.21,13.78,,3.67%,89.40%,1.71,-33.30%,-20.14%,-4.60%,16.00%,2.30%,139.40%,0.60%,979.0,975.59,0.10%,-25.87%,82.60%,0.35%,1.89%,1.76,1.30%,5.10%,3.40%,0.9,0.8,1.05,1.23,58.10%,6.80%,4.80%,-2.98%,4.08%,6.88%,21.04%,38.81%,1.34%,0.48,1.0,2.30%,2.62%,0.59%,3.82%,16.23%,-5.18%,13.15%,-5.18%,52.62%,53.12,-1.39%,0.31%,2.1,10456.82,1.0,41.74,-1.09%,10408241,,50.78,7/6/1943,41.65,-0.22%,66.0,90,1.23,41.74,41.59,40.29,35.97,27.35,44.02,18.0,21.66,58.0,True
2632,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,USA,33016.57,,19.72,,4.56,15.83,7.66,10.74,,,-6.83,90.50%,39.68%,-24.40%,22.80%,-0.40%,162.10%,147.70%,153.58,144.81,0.40%,-38.32%,97.20%,-0.31%,5.03%,2.82,-1.20%,-18.00%,3.90%,0.9,0.9,3.75,4.11,80.50%,5.00%,-3.70%,9.30%,14.93%,19.32%,48.65%,37.58%,17.27%,1.58,9.01,5.88%,4.76%,15.66%,19.23%,26.91%,0.68%,40.50%,0.68%,54.95%,72.93,5.96%,1.44%,2.5,2583.48,2.07,211.93,7.49%,5347852,2/10/2022 4:30:00 PM,211.19,7/20/2005,211.1,-0.39%,53.0,91,1.26,211.93,184.96,178.88,167.18,136.77,210.5,14.0,-0.35,52.666666666666664,True
2662,FANG,"Diamondback Energy, Inc.",Energy,Oil & Gas E&P,USA,22288.2,66.36,7.21,1.09,4.02,2.02,48.77,7.75,1.56%,82.70%,1.93,269.40%,58.66%,-27.70%,61.03%,44.50%,150.50%,165.30%,181.03,180.27,0.20%,-9.97%,90.40%,1.73%,3.24%,2.02,2.10%,4.20%,-31.20%,0.7,0.7,0.6,0.6,79.40%,33.70%,8.00%,2.82%,-1.03%,15.03%,77.91%,85.76%,18.57%,2.36,6.25,4.73%,5.34%,0.24%,8.06%,31.79%,-6.35%,34.58%,-6.35%,102.82%,52.66,1.46%,-3.40%,1.9,2891.59,0.81,127.88,-1.99%,2330444,2/22/2022 4:30:00 PM,143.73,10/12/2012,127.2,-0.53%,72.0,98,1.63,127.88,127.67,118.78,97.26,63.05,136.55,22.0,12.39,64.0,True
2689,FBP,First BanCorp.,Financial,Banks - Regional,USA,3043.89,11.31,9.31,0.79,3.83,1.42,1.13,9.2,2.69%,24.90%,1.31,-39.70%,14.48%,35.50%,14.40%,2.70%,181.20%,17.50%,206.72,194.38,1.30%,-3.45%,99.60%,2.30%,2.06%,2.19,1.00%,9.50%,18.20%,,,0.09,0.09,,84.90%,26.10%,-3.38%,-9.27%,3.26%,18.58%,41.62%,7.91%,1.24,0.53,3.17%,3.69%,-0.49%,3.11%,12.23%,-10.53%,19.49%,-10.53%,46.72%,50.77,0.68%,1.65%,2.0,1827.05,0.62,14.87,2.34%,1125319,1/26/2022 8:30:00 AM,24.0,1/13/1987,14.32,-3.70%,69.0,91,1.26,14.87,14.88,14.45,13.26,10.14,16.62,12.0,61.4,57.333333333333336,True
2703,FCF,First Commonwealth Financial Corporation,Financial,Banks - Regional,USA,1600.7,11.63,11.52,1.45,5.45,1.44,4.78,20.37,2.74%,37.50%,1.44,-29.70%,12.43%,6.00%,8.00%,8.10%,81.90%,0.80%,95.62,94.17,1.00%,0.00%,72.20%,1.46%,2.24%,3.83,1.20%,10.40%,15.10%,,,0.15,0.26,,85.70%,38.90%,-0.95%,-4.44%,6.68%,25.71%,29.10%,4.23%,1.05,0.45,2.30%,3.02%,0.98%,3.26%,13.66%,-4.88%,14.08%,-4.88%,35.68%,54.03,0.78%,1.09%,2.5,550.3,0.68,16.77,1.88%,372533,1/25/2022 4:30:00 PM,18.67,6/10/1992,16.77,0.00%,53.0,85,1.14,16.77,16.58,16.27,14.76,12.36,17.63,13.0,11.33,50.333333333333336,True
2818,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,34167.5,13.24,12.76,,6.56,1.69,0.9,,2.43%,31.20%,3.73,-45.10%,13.72%,-1.80%,-2.98%,6.70%,24.20%,-2.80%,697.46,681.88,0.20%,-6.51%,83.70%,-0.27%,1.57%,1.99,1.20%,12.00%,13.80%,,,0.56,0.56,,96.40%,47.40%,-0.24%,-2.12%,10.67%,30.98%,47.27%,13.39%,1.38,1.4,2.32%,3.24%,5.42%,8.12%,17.82%,-2.49%,22.32%,-2.49%,51.43%,62.63,1.35%,1.02%,1.9,5359.39,0.7,49.38,2.38%,3765148,1/20/2022 8:30:00 AM,51.68,3/17/1980,49.38,0.00%,72.0,93,1.3,49.38,46.83,45.8,41.96,32.61,50.64,19.0,4.66,61.333333333333336,True
2959,FOXA,Fox Corporation,Communication Services,Broadcasting,USA,23654.83,17.61,11.81,2.93,1.74,2.18,5.56,21.92,1.11%,19.00%,2.45,122.80%,24.62%,15.90%,6.00%,7.70%,-139.90%,8.70%,569.0,461.75,0.10%,0.00%,99.94%,0.77%,3.18%,4.05,6.30%,12.80%,12.40%,3.0,2.6,0.64,0.71,35.50%,18.60%,10.60%,5.71%,5.19%,4.56%,16.68%,35.91%,16.94%,,1.31,3.96%,3.43%,6.73%,11.61%,12.80%,-4.00%,22.41%,-4.00%,36.98%,65.03,0.58%,0.54%,2.4,3619.07,0.75,43.15,1.12%,2705818,2/9/2022 8:30:00 AM,47.26,3/12/2019,43.15,0.00%,56.0,88,1.2,43.15,40.59,38.8,38.29,31.5,44.95,11.0,9.52,51.666666666666664,True
3161,GCO,Genesco Inc.,Consumer Cyclical,Apparel Retail,USA,1011.28,6.84,9.53,0.68,0.43,1.64,3.58,4.64,,0.00%,9.91,-200.00%,5.02%,-24.20%,10.00%,-10.00%,333.50%,25.30%,14.31,13.71,2.30%,-0.01%,98.90%,-0.38%,7.99%,6.76,8.70%,24.60%,-8.60%,1.6,0.9,0.03,0.03,47.90%,5.80%,6.10%,-1.08%,8.69%,-5.00%,16.36%,51.70%,5.63%,2.06,3.33,4.37%,5.40%,6.21%,7.58%,11.36%,-3.10%,20.60%,-8.06%,66.54%,57.7,3.23%,0.69%,2.5,162.04,0.54,67.78,3.94%,86935,12/3/2021 8:30:00 AM,72.67,1/5/1950,67.78,0.00%,53.0,94,1.32,67.78,64.15,63.05,60.94,40.7,73.72,19.0,7.21,55.333333333333336,True
3271,GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,Bermuda,1566.21,,39.92,,3.44,0.91,2.51,6.89,,0.00%,-1.44,-34.00%,144.00%,-9.00%,4.00%,33.70%,-355.60%,12.00%,106.24,91.22,46.50%,0.00%,69.50%,1.41%,2.10%,2.1,9.00%,27.00%,3.40%,0.5,0.5,0.67,1.33,70.50%,72.60%,90.90%,4.38%,4.90%,11.05%,41.48%,24.33%,19.21%,0.7,0.61,4.10%,4.66%,4.79%,12.99%,18.48%,-4.65%,36.89%,-4.65%,59.50%,59.02,3.72%,-1.45%,2.0,911.81,0.77,14.77,2.21%,698730,,17.91,12/18/2002,14.77,0.00%,69.0,81,1.09,14.77,14.15,13.14,12.48,9.26,15.49,7.0,21.26,52.333333333333336,True
3471,HAFC,Hanmi Financial Corporation,Financial,Banks - Regional,USA,811.74,11.91,11.15,1.49,3.81,1.32,0.97,5.7,2.98%,17.70%,2.26,30.00%,-11.98%,-4.00%,8.00%,6.40%,62.20%,1.10%,30.47,30.04,0.40%,0.05%,90.90%,0.63%,1.62%,2.57,1.10%,11.50%,13.80%,,,0.35,0.35,,85.60%,32.20%,-0.56%,0.56%,10.03%,43.00%,63.64%,13.47%,1.13,0.93,3.48%,3.82%,1.90%,8.68%,25.98%,-6.83%,26.21%,-6.83%,75.91%,59.07,1.59%,0.53%,2.3,188.61,0.43,26.87,2.13%,81764,1/25/2022 4:30:00 PM,28.92,5/14/1997,26.87,0.00%,59.0,96,1.48,26.87,26.39,24.81,21.36,15.28,28.84,18.0,7.63,57.666666666666664,True
3475,HAL,Halliburton Company,Energy,Oil & Gas Equipment & Services,USA,28254.03,19.94,13.9,0.32,1.85,4.34,9.28,29.71,0.55%,11.00%,1.63,148.90%,32.88%,17.50%,62.70%,-0.80%,447.50%,32.10%,895.0,891.41,0.40%,-4.12%,79.70%,2.20%,1.71%,1.39,6.90%,25.40%,12.60%,2.3,1.8,1.37,1.38,13.20%,11.80%,9.50%,2.39%,13.15%,38.97%,69.64%,58.25%,42.20%,2.49,1.23,4.16%,4.41%,5.46%,21.69%,39.08%,-3.30%,54.38%,-3.30%,82.51%,65.78,3.50%,-2.90%,2.2,10930.99,0.99,32.52,0.49%,10816808,1/24/2022 8:30:00 AM,32.14,9/15/1948,32.48,-0.12%,63.0,95,1.39,32.52,31.03,26.93,23.44,17.82,33.63,5.0,-1.17,54.333333333333336,True
3547,HES,Hess Corporation,Energy,Oil & Gas E&P,USA,27723.09,51.57,16.48,,3.71,5.12,11.46,18.71,1.07%,,1.81,-641.90%,13.76%,0.90%,,-6.40%,146.60%,51.80%,308.1,278.25,0.30%,-30.50%,85.50%,-0.71%,2.63%,2.9,-0.80%,-2.90%,-16.80%,1.4,1.3,1.46,1.55,70.50%,10.40%,-2.20%,-0.13%,1.54%,13.23%,40.35%,50.74%,25.88%,1.83,3.84,3.65%,4.53%,1.27%,10.56%,15.11%,-3.69%,36.40%,-3.69%,54.31%,56.3,2.86%,-4.36%,2.2,2526.84,1.32,93.19,-1.63%,3331142,1/26/2022 8:30:00 AM,111.5,5/24/1962,93.18,-0.01%,63.0,94,1.33,93.19,92.07,84.63,81.04,60.39,96.76,9.0,19.65,55.333333333333336,True
3576,HIG,"The Hartford Financial Services Group, Inc.",Financial,Insurance - Diversified,USA,24648.28,10.69,8.97,0.91,1.1,1.4,106.24,6.96,2.17%,22.60%,6.64,-16.20%,16.71%,11.10%,11.71%,5.00%,8.00%,10.00%,345.6,337.0,0.10%,-33.48%,94.20%,-0.02%,0.74%,1.36,2.80%,12.00%,8.80%,,,0.28,0.0,,12.60%,9.50%,-2.41%,-1.99%,-1.82%,5.20%,41.74%,2.85%,1.02,2.0,2.94%,2.96%,-0.30%,1.36%,4.40%,-5.21%,9.03%,-9.16%,46.11%,49.46,1.04%,0.89%,2.1,1823.26,0.82,71.01,1.94%,1500436,2/3/2022 4:30:00 PM,82.5,12/15/1995,71.01,0.00%,66.0,92,1.28,71.01,71.21,70.15,68.04,48.6,78.17,13.0,16.18,57.0,True
