"Ticker","Company","Sector","Industry","Market Cap","P/E","Dividend Yield","EPS growth past 5 years","Sales growth past 5 years","Shares Outstanding","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Gross Margin","Operating Margin","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Beta","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","50-Day High","50-Day Low","52-Week High","52-Week Low","Relative Strength Index (14)","Analyst Recom","Price","Change","Volume","Target Price"
"BSCS","Invesco BulletShares 2028 Corporate Bond ETF","Financial","Exchange Traded Fund",,,2.34%,,,,,,,,,,,-1.35%,-0.60%,-2.03%,-0.35%,-2.54%,-3.98%,,0.34%,-0.35%,-0.89%,-1.01%,-2.32%,0.30%,-3.77%,1.23%,42.91,,22.74,0.26%,31336,
"BSCT","Invesco BulletShares 2029 Corporate Bond ETF","Financial","Exchange Traded Fund",,,2.06%,,,,,,,,,,,-1.43%,-0.64%,-2.34%,0.10%,-2.91%,-4.22%,,0.30%,-0.43%,-1.01%,-1.01%,-2.70%,0.28%,-4.06%,1.94%,41.89,,20.92,0.19%,10132,
"BSDE","Invesco BulletShares (R) 2024 Emerging Markets Debt ETF","Financial","Exchange Traded Fund",,,3.24%,,,,,,,,,,,-0.29%,-0.42%,-1.07%,-0.86%,-0.62%,-1.31%,,0.12%,-0.06%,-0.52%,-0.97%,-1.61%,0.21%,-2.02%,0.21%,42.12,,25.97,0.02%,3030,
"BSEP","Innovator S&P 500 Buffer ETF - September","Financial","Exchange Traded Fund",,,,,,,,,,,,,,0.25%,3.15%,2.97%,6.68%,16.36%,13.53%,,0.39%,0.86%,2.82%,5.24%,-0.36%,6.47%,-0.36%,18.01%,68.57,,33.06,-0.06%,5220,
"BSET","Bassett Furniture Industries, Incorporated","Consumer Cyclical","Furnishings, Fixtures & Appliances",175.11,9.04,3.14%,-20.60%,-2.20%,9.78,0.30%,0.00%,62.10%,-0.39%,3.90%,57.10%,6.10%,-2.03%,-0.72%,-11.90%,-44.20%,17.97%,-11.11%,1.75,3.75%,2.42%,-0.40%,-23.64%,-14.27%,7.97%,-50.95%,22.60%,51.75,2.00,18.15,1.68%,83107,34.00
"BSFC","Blue Star Foods Corp.","Consumer Defensive","Packaged Foods",76.52,,,,,19.76,70.22%,0.00%,,,0.00%,17.30%,-34.80%,-14.24%,-58.38%,-46.49%,51.58%,,46.80%,,25.77%,-41.29%,-46.70%,-27.04%,-59.00%,63.18%,-59.00%,224.75%,27.81,,3.28,0.64%,32131,
"BSGM","BioSig Technologies, Inc.","Healthcare","Medical Devices",125.76,,,-1.50%,,32.17,7.80%,1.21%,14.30%,0.98%,6.41%,50.50%,,13.32%,46.25%,25.42%,2.78%,-6.33%,-5.13%,1.61,8.55%,30.95%,37.79%,8.57%,6.22%,73.89%,-35.99%,73.89%,73.21,2.00,3.93,6.22%,803238,13.00
"BSIG","BrightSphere Investment Group Inc.","Financial","Asset Management",2423.53,11.64,0.13%,22.20%,0.50%,79.61,0.10%,0.00%,,-0.65%,2.11%,,74.70%,0.63%,15.01%,16.63%,35.20%,68.04%,58.20%,1.81,2.18%,4.04%,10.20%,26.93%,-1.55%,17.74%,-1.55%,74.21%,70.48,2.20,30.40,-0.33%,2614022,31.75
"BSJL","Invesco BulletShares 2021 High Yield Corporate Bond ETF","Financial","Exchange Traded Fund",,,2.96%,,,,,,,,,,,0.00%,0.00%,-0.09%,-0.33%,-0.65%,-0.52%,,0.07%,-0.01%,-0.03%,-0.19%,-0.13%,0.13%,-0.79%,0.13%,46.72,,22.98,0.00%,395602,
"BSJM","Invesco BulletShares 2022 High Yield Corporate Bond ETF","Financial","Exchange Traded Fund",,,3.79%,,,,,,,,,,,-0.26%,0.09%,-0.09%,-0.17%,-0.04%,-0.51%,,0.13%,-0.05%,-0.15%,-0.35%,-0.64%,0.17%,-0.90%,0.47%,45.72,,23.21,-0.04%,269394,
"BSJN","Invesco BulletShares 2023 High Yield Corporate Bond ETF","Financial","Exchange Traded Fund",,,4.19%,,,,,,,,,,,-0.28%,0.12%,-0.04%,0.04%,0.64%,-0.35%,,0.14%,-0.06%,-0.23%,-0.32%,-0.90%,0.28%,-0.96%,1.00%,45.31,,25.27,-0.08%,157776,
"BSJO","Invesco BulletShares 2024 High Yield Corporate Bond ETF","Financial","Exchange Traded Fund",,,4.37%,,,,,,,,,,,-0.52%,0.04%,-0.16%,0.04%,1.18%,0.20%,,0.19%,-0.11%,-0.33%,-0.32%,-1.19%,0.28%,-1.19%,1.55%,44.87,,24.96,-0.04%,96323,
"BSJP","Invesco BulletShares 2025 High Yield Corporate Bond ETF","Financial","Exchange Traded Fund",,,4.60%,,,,,,,,,,,-0.32%,0.20%,0.00%,-0.12%,1.66%,0.12%,,0.17%,0.04%,-0.17%,-0.26%,-0.97%,0.45%,-1.05%,2.04%,48.37,,24.53,-0.04%,85576,
"BSJQ","Invesco BulletShares 2026 High Yield Corporate Bond ETF","Financial","Exchange Traded Fund",,,4.37%,,,,,,,,,,,-0.35%,0.16%,0.08%,0.16%,1.91%,0.12%,,0.21%,-0.05%,-0.24%,-0.21%,-1.12%,0.39%,-1.12%,1.95%,45.61,,25.62,-0.08%,47451,
"BSJR","Invesco BulletShares 2027 High Yield Corporate Bond ETF","Financial","Exchange Traded Fund",,,4.35%,,,,,,,,,,,-0.58%,0.28%,0.16%,0.12%,1.94%,-0.47%,,0.21%,0.03%,-0.19%,-0.07%,-1.20%,0.57%,-1.24%,1.88%,48.03,,25.49,-0.04%,10022,
"BSKYU","Big Sky Growth Partners, Inc.","Financial","Shell Companies",,,,,,,,,,,,,,-0.90%,0.10%,-1.69%,,,-0.50%,,0.20%,0.52%,0.55%,0.18%,-0.99%,1.11%,-13.64%,1.11%,55.36,,10.00,0.91%,59606,
"BSL","Blackstone / GSO Senior Floating Rate Term Fund","Financial","Closed-End Fund - Debt",228.51,,5.56%,,,13.52,0.12%,0.00%,47.53%,,,,,0.30%,-0.82%,2.99%,4.00%,22.53%,18.85%,,1.06%,0.74%,1.39%,4.57%,-4.34%,4.23%,-4.34%,21.77%,54.47,,16.77,-0.77%,27801,
"BSM","Black Stone Minerals, L.P.","Energy","Oil & Gas E&P",2542.68,43.64,5.83%,19.50%,-2.70%,208.65,1.40%,-1.90%,16.10%,1.65%,0.97%,76.40%,32.40%,-1.80%,-2.04%,21.70%,21.66%,66.52%,80.48%,1.40,2.46%,-3.74%,-1.31%,12.36%,-8.24%,15.45%,-8.24%,77.30%,43.19,2.00,11.70,-2.50%,357653,14.46
"BSML","Invesco BulletShares (R) 2021 Municipal Bond ETF","Financial","Exchange Traded Fund",,,0.56%,,,,,,,,,,,-0.14%,-0.14%,0.00%,-0.43%,-0.47%,-0.41%,,0.14%,0.00%,-0.04%,-0.20%,-0.25%,0.18%,-0.81%,0.18%,49.57,,25.24,0.10%,673,
"BSMM","Invesco BulletShares (R) 2022 Municipal Bond ETF","Financial","Exchange Traded Fund",,,0.59%,,,,,,,,,,,-0.06%,0.00%,-0.12%,-0.16%,-0.12%,-0.24%,,0.25%,-0.10%,-0.14%,-0.22%,-0.55%,0.20%,-0.63%,0.20%,42.20,,25.38,-0.08%,10482,
"BSMN","Invesco BulletShares (R) 2023 Municipal Bond ETF","Financial","Exchange Traded Fund",,,0.74%,,,,,,,,,,,-0.25%,-0.29%,-0.45%,-0.27%,0.00%,-0.21%,,0.19%,-0.04%,-0.14%,-0.23%,-0.49%,0.29%,-0.64%,0.37%,46.58,,25.59,0.14%,5375,
"BSMO","Invesco BulletShares (R) 2024 Municipal Bond ETF","Financial","Exchange Traded Fund",,,0.93%,,,,,,,,,,,-0.14%,-0.14%,-0.54%,-0.33%,0.72%,0.04%,,0.20%,-0.04%,-0.19%,-0.24%,-0.58%,0.19%,-0.77%,0.53%,41.05,,25.73,0.02%,2267,
"BSMP","Invesco BulletShares (R) 2025 Municipal Bond ETF","Financial","Exchange Traded Fund",,,1.16%,,,,,,,,,,,-0.17%,-0.12%,-0.88%,-0.17%,0.12%,-0.28%,,0.21%,-0.05%,-0.27%,-0.31%,-0.82%,0.21%,-1.05%,0.76%,41.07,,25.90,-0.02%,2372,
"BSMQ","Invesco BulletShares (R) 2026 Municipal Bond ETF","Financial","Exchange Traded Fund",,,1.39%,,,,,,,,,,,-0.23%,-0.04%,-1.09%,-0.56%,1.55%,-0.25%,,0.17%,0.06%,-0.25%,-0.48%,-0.97%,0.39%,-1.45%,0.98%,46.42,,25.81,-0.02%,680,
"BSMR","Invesco BulletShares (R) 2027 Municipal Bond ETF","Financial","Exchange Traded Fund",,,1.32%,,,,,,,,,,,-0.04%,0.14%,-1.15%,0.96%,1.14%,-0.08%,,0.15%,0.12%,-0.34%,-0.23%,-1.21%,0.72%,-1.59%,1.64%,47.60,,25.74,-0.14%,682,
"BSMS","Invesco BulletShares (R) 2028 Municipal Bond ETF","Financial","Exchange Traded Fund",,,1.65%,,,,,,,,,,,0.06%,0.37%,-1.55%,-0.27%,1.44%,-0.31%,,0.13%,0.38%,-0.09%,-0.20%,-1.08%,0.87%,-1.93%,2.11%,54.23,,26.12,0.06%,1207,
"BSMX","Banco Santander Mexico SA ADR","Financial","Banks - Regional",8577.21,9.74,1.74%,-8.55%,,1355.01,1.40%,0.00%,0.85%,,0.05%,,,-1.09%,12.63%,8.21%,8.58%,30.25%,22.91%,,1.63%,3.43%,7.86%,11.45%,-2.01%,13.80%,-4.80%,41.58%,65.73,2.00,6.35,0.32%,2251343,7.68
"BSQR","BSQUARE Corporation","Technology","Software - Application",45.70,,,-18.10%,-15.10%,19.60,3.70%,-5.10%,18.80%,-1.54%,5.02%,16.30%,,-2.99%,-2.16%,-9.92%,3.65%,58.74%,49.34%,1.50,5.21%,-3.73%,-6.22%,-29.61%,-25.13%,3.26%,-81.23%,76.89%,43.84,,2.22,-2.20%,411371,
"BSRR","Sierra Bancorp","Financial","Banks - Regional",415.84,9.77,3.26%,11.80%,11.90%,15.26,4.50%,-1.00%,55.80%,0.28%,1.24%,,97.10%,3.05%,11.61%,13.67%,-0.15%,19.50%,12.96%,1.16,2.09%,4.34%,8.84%,4.91%,-1.25%,19.87%,-8.72%,27.86%,66.53,2.20,26.85,-0.63%,29007,29.00
"BST","BlackRock Science and Technology Trust","Financial","Closed-End Fund - Equity",1403.34,,4.88%,,,25.25,0.01%,0.00%,20.76%,,,,,-0.38%,3.46%,4.55%,2.71%,19.93%,5.60%,,1.00%,0.53%,2.46%,0.01%,-1.75%,8.68%,-10.18%,20.17%,55.67,,55.12,-0.81%,150809,
"BSTZ","BlackRock Science and Technology Trust II","Financial","Asset Management",3390.67,,4.72%,,,78.09,0.17%,0.00%,19.06%,,,,,-0.25%,4.65%,9.84%,24.38%,47.19%,19.35%,,1.61%,2.36%,5.21%,10.18%,-1.74%,13.91%,-1.74%,47.11%,60.72,,43.00,-0.97%,90393,
"BSV","Vanguard Short-Term Bond Index Fund ETF Shares","Financial","Exchange Traded Fund",,,1.48%,,,,,,,,,,,-0.42%,-0.34%,-1.11%,-1.26%,-1.88%,-2.00%,,0.12%,-0.17%,-0.53%,-1.04%,-1.11%,0.12%,-1.99%,0.12%,39.30,,81.30,0.07%,2899409,
"BSVN","Bank7 Corp.","Financial","Banks - Regional",236.64,10.52,1.71%,8.50%,13.50%,9.05,4.80%,-3.63%,19.90%,2.52%,0.73%,,87.50%,0.00%,5.97%,13.69%,51.38%,117.12%,81.34%,,5.48%,-0.44%,9.40%,30.25%,-6.60%,30.60%,-6.60%,121.57%,53.23,2.30,25.48,-1.05%,8396,30.67
"BSX","Boston Scientific Corporation","Healthcare","Medical Devices",58869.00,53.93,,14.60%,5.80%,1423.80,0.20%,-32.53%,94.50%,0.84%,1.49%,67.00%,9.30%,-3.20%,-3.22%,-6.06%,-0.02%,8.91%,15.22%,0.85,2.17%,-3.57%,-4.39%,-1.50%,-9.45%,1.79%,-10.10%,26.13%,38.18,1.80,41.61,0.46%,6709574,51.20
"BSY","Bentley Systems, Incorporated","Technology","Software - Application",16541.15,178.69,0.20%,36.40%,34.80%,308.19,31.80%,-3.28%,30.00%,-7.91%,3.68%,77.30%,11.10%,-2.44%,4.02%,-6.56%,13.06%,70.41%,45.12%,,2.62%,0.92%,-2.92%,4.61%,-17.81%,5.93%,-17.81%,79.57%,50.82,2.20,59.11,0.54%,1248168,70.29
"BTA","BlackRock Long-Term Municipal Advantage Trust","Financial","Closed-End Fund - Debt",196.71,89.33,4.44%,,,13.43,0.01%,0.00%,17.50%,,,,,3.02%,4.34%,5.02%,10.48%,18.85%,15.17%,,1.45%,5.19%,4.51%,8.18%,-4.08%,9.55%,-4.08%,19.72%,66.83,,14.57,-0.55%,23467,
"BTAI","BioXcel Therapeutics, Inc.","Healthcare","Biotechnology",740.73,,,,,27.97,30.60%,-18.77%,52.00%,2.66%,9.84%,,,-18.33%,-1.39%,14.68%,-12.16%,-48.66%,-40.13%,0.95,5.73%,-15.89%,-13.61%,-23.62%,-27.38%,3.07%,-60.88%,14.87%,36.92,1.60,26.50,-4.19%,334903,92.82
"BTAL","AGFiQ U.S. Market Neutral Anti-Beta Fund","Financial","Exchange Traded Fund",,,,,,,,,,,,,,0.55%,-0.84%,-5.18%,-2.69%,-18.12%,-13.57%,,0.75%,-0.44%,-1.84%,-3.29%,-5.28%,2.17%,-19.32%,2.17%,44.14,,16.50,0.06%,61081,
"BTAQ","Burgundy Technology Acquisition Corporation","Financial","Shell Companies",441.34,286.00,,,,44.19,3.94%,0.00%,70.40%,2.58%,0.62%,,,0.40%,0.60%,1.52%,1.32%,2.56%,-3.84%,,0.28%,0.20%,0.37%,-0.28%,-0.60%,1.01%,-16.05%,3.31%,57.16,,9.99,-0.20%,108145,
"BTB","Bit Brother Limited","Consumer Cyclical","Restaurants",52.94,,,-18.00%,-66.40%,7.24,0.05%,0.00%,2.80%,,28.06%,41.30%,-38.40%,10.56%,87.41%,79.93%,-2.20%,7.23%,2.30%,1.37,19.77%,-12.14%,12.88%,-41.22%,-57.67%,58.75%,-81.02%,71.14%,47.03,,1.27,-28.65%,28747522,
"BTBT","Bit Digital, Inc.","Technology","Software - Application",605.63,14.25,,60.40%,,49.74,20.38%,0.00%,19.40%,91.70%,19.41%,60.30%,31.10%,-11.21%,-0.27%,-2.24%,21.44%,102.03%,-50.11%,7.51,10.44%,-7.33%,-0.04%,-10.89%,-26.04%,62.15%,-68.06%,165.49%,45.68,,10.54,-3.57%,2090618,14.00
"BTCM","BIT Mining Limited","Financial","Capital Markets",475.37,,,9.20%,-26.20%,59.70,5.30%,0.00%,12.10%,24.49%,18.04%,2.80%,-7.50%,-8.16%,-21.38%,18.24%,-32.30%,158.45%,-15.00%,1.86,6.28%,-14.26%,-20.66%,-39.50%,-38.16%,1.37%,-79.11%,186.87%,32.36,,7.31,-4.44%,720922,
"BTCS","BTCS Inc.","Financial","Capital Markets",74.52,,,,,230.46,42.20%,0.00%,0.80%,,0.56%,83.60%,,-15.37%,5.54%,35.58%,1.07%,376.35%,271.05%,1.24,10.18%,-1.91%,3.83%,-11.39%,-36.02%,35.44%,-78.18%,542.73%,49.57,,7.07,0.28%,148660,
"BTCY","Biotricity, Inc.","Healthcare","Medical Devices",290.70,,,-9.20%,,42.93,0.20%,-33.77%,0.10%,,0.73%,53.10%,,-1.42%,38.67%,19.54%,60.62%,316.00%,463.49%,2.24,10.21%,0.84%,19.68%,41.05%,-15.83%,61.54%,-15.83%,500.00%,56.29,2.00,4.20,0.96%,159896,7.00
"BTEC","Principal Healthcare Innovators Index ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,,-3.66%,0.71%,0.39%,1.30%,1.37%,-8.62%,,1.27%,-3.16%,-3.49%,-7.56%,-8.76%,1.20%,-27.42%,5.47%,39.42,,53.26,-0.74%,1314,
"BTEK","BlackRock Future Tech ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,,1.11%,7.01%,12.71%,25.81%,37.00%,12.70%,,0.76%,2.27%,4.74%,7.58%,-1.13%,13.79%,-11.22%,35.47%,60.30,,38.61,-1.13%,2978,
"BTG","B2Gold Corp.","Basic Materials","Gold",4681.18,7.31,3.60%,2.90%,,1051.95,1.08%,0.00%,66.65%,,1.71%,,,1.37%,13.23%,16.80%,-14.26%,-26.20%,-20.54%,,3.25%,5.00%,16.23%,4.32%,-2.66%,38.79%,-24.17%,38.79%,64.60,1.50,4.58,2.92%,6706401,3.50
"BTI","British American Tobacco p.l.c.","Consumer Defensive","Tobacco",78869.37,9.86,8.54%,3.50%,14.50%,2287.00,4.60%,0.00%,5.50%,-1.87%,0.21%,83.40%,38.10%,0.32%,-2.76%,-5.65%,-11.58%,-7.06%,-6.88%,0.86,1.02%,-0.73%,-2.22%,-7.12%,-7.28%,2.67%,-14.92%,2.67%,45.33,1.00,35.00,0.26%,3344482,50.56
"BTN","Ballantyne Strong, Inc","Consumer Cyclical","Leisure",62.26,,,14.40%,-22.70%,18.44,6.70%,0.00%,49.10%,-0.27%,0.71%,31.50%,,5.03%,0.60%,-2.91%,-32.53%,90.86%,65.88%,1.26,5.67%,-0.42%,-0.27%,-13.78%,-8.62%,13.17%,-41.86%,88.17%,48.72,,3.18,-4.79%,31651,
"BTNB","Bridgetown 2 Holdings Limited","Financial","Shell Companies",373.80,,,,,37.38,23.08%,0.00%,75.10%,9.75%,2.93%,,,0.00%,0.70%,1.42%,-0.40%,,-23.08%,,0.43%,-0.42%,0.04%,-4.10%,-1.48%,1.42%,-28.79%,1.84%,44.01,,9.97,-0.30%,37864,
"BTO","John Hancock Financial Opportunities Fund","Financial","Closed-End Fund - Equity",61389.09,83.25,4.93%,41.40%,26.40%,1054.75,0.06%,0.00%,18.99%,,0.01%,45.30%,41.50%,-1.72%,2.08%,8.47%,10.83%,65.20%,47.02%,0.98,1.87%,-2.19%,1.93%,9.68%,-4.90%,14.69%,-4.90%,67.95%,45.22,,43.87,-1.68%,38363,
"BTRS","BTRS Holdings Inc.","Technology","Software - Application",1391.19,,,,,158.09,12.10%,-32.41%,79.80%,0.39%,4.92%,55.00%,-22.80%,-3.40%,-7.27%,-16.35%,-29.49%,-26.79%,-45.44%,,5.32%,-3.29%,-11.59%,-34.02%,-24.39%,4.70%,-56.07%,4.70%,40.10,1.60,8.68,-1.36%,719930,15.00
"BTT","Blackrock Municipal 2030 Target Term Trust","Financial","Closed-End Fund - Debt",1810.58,17.59,2.92%,,,70.51,,,18.97%,,,,,-0.39%,-0.35%,-3.09%,-0.08%,2.07%,0.00%,,0.83%,0.17%,-0.12%,-0.40%,-4.91%,1.26%,-4.91%,3.75%,50.96,,25.75,0.27%,43539,
"BTTR","Better Choice Company Inc.","Consumer Defensive","Packaged Foods",114.61,,,-28.60%,,29.47,13.40%,1.89%,19.20%,60.39%,0.49%,36.10%,-33.50%,-0.25%,-3.67%,14.87%,-46.61%,-25.38%,-48.29%,-1.25,3.90%,3.26%,7.10%,-33.31%,-5.35%,37.50%,-62.31%,37.50%,58.74,2.00,4.07,3.30%,87406,8.67
"BTTX","Better Therapeutics, Inc.","Healthcare","Biotechnology",199.67,,,,,7.56,2.40%,0.00%,19.00%,-2.91%,,,,-19.51%,-18.30%,-17.72%,-17.47%,,-18.30%,,19.92%,-29.45%,-27.15%,-25.79%,-74.73%,-7.24%,-74.73%,-7.24%,37.23,,7.43,-9.06%,753354,21.00
"BTU","Peabody Energy Corporation","Energy","Thermal Coal",1340.36,,,28.10%,-12.50%,114.90,0.90%,-66.31%,63.40%,-3.06%,8.81%,11.10%,-5.90%,-10.84%,-46.44%,-16.49%,64.02%,777.50%,336.93%,1.43,9.35%,-15.70%,-28.68%,13.34%,-47.86%,1.17%,-47.86%,884.76%,35.35,3.00,10.34,-1.80%,2959926,16.20
"BTWN","Bridgetown Holdings Limited","Financial","Shell Companies",739.28,,,,,73.78,,,28.30%,0.38%,0.75%,,,0.70%,2.14%,2.77%,-0.60%,,-35.27%,,1.06%,0.24%,1.11%,-6.79%,-3.94%,2.25%,-61.34%,2.88%,56.03,,9.99,-0.30%,201034,
"BTWNU","Bridgetown Holdings Limited","Financial","Shell Companies",,,,,,,,,10.59%,,0.00%,,,1.46%,3.26%,2.65%,-2.15%,2.25%,-38.46%,,1.83%,1.28%,2.53%,-8.11%,-4.11%,4.42%,-48.78%,4.48%,57.79,,10.50,0.48%,3027,
"BTX","Brooklyn ImmunoTherapeutics, Inc.","Healthcare","Biotechnology",405.69,,,17.40%,-25.00%,42.45,11.40%,-7.35%,9.50%,10.15%,3.12%,49.30%,,-16.09%,-16.90%,-21.86%,-56.94%,102.09%,72.32%,4.57,6.19%,-14.73%,-20.77%,-40.68%,-44.53%,1.48%,-90.63%,110.58%,33.36,,7.56,-2.07%,485580,20.00
"BTZ","BlackRock Credit Allocation Income Trust","Financial","Closed-End Fund - Debt",1417.14,8.71,6.66%,,,93.48,,,34.58%,,,,,-0.59%,-0.13%,-1.62%,1.68%,5.64%,3.06%,,0.93%,-0.91%,-1.55%,-0.38%,-4.11%,0.87%,-5.58%,7.80%,40.24,,15.06,-0.66%,119122,
"BUD","Anheuser-Busch InBev SA/NV","Consumer Defensive","Beverages - Brewers",105136.54,24.21,1.95%,-15.60%,1.50%,1752.86,53.90%,0.00%,4.50%,-0.98%,0.81%,57.90%,25.60%,-0.23%,8.35%,-1.35%,-19.47%,-11.79%,-14.20%,1.55,1.39%,0.43%,2.90%,-8.74%,-7.63%,9.99%,-25.34%,9.99%,52.70,2.20,59.48,-0.83%,2852409,73.50
"BUG","Global X Cybersecurity ETF","Financial","Exchange Traded Fund",,,0.43%,,,,,,,,,,,-1.12%,5.02%,17.35%,32.90%,60.61%,22.17%,,1.71%,1.92%,5.99%,17.74%,-2.17%,16.21%,-2.17%,60.39%,59.94,,34.34,-0.46%,239082,
"BUI","BlackRock Utilities, Infrastructure & Power Opportunities Trust","Financial","Closed-End Fund - Equity",542.11,,5.37%,,,20.08,,,11.80%,,,,,1.98%,7.06%,3.49%,1.62%,12.55%,7.84%,,1.24%,1.75%,2.91%,3.24%,-3.96%,12.05%,-3.96%,14.89%,57.04,,26.69,-1.15%,63092,
"BULZ","MicroSectors FANG & Innovation","Financial","Exchange Traded Fund",,,,,,,,,,,,,,3.36%,19.90%,36.01%,,,36.01%,,4.88%,6.72%,17.84%,17.94%,-5.73%,47.50%,-5.73%,47.50%,61.47,,32.76,-1.33%,228717,
"BUR","Burford Capital Limited","Financial","Asset Management",,,,,,,,,,,,,,-1.68%,3.53%,-4.13%,-8.02%,8.37%,15.10%,,2.75%,-1.77%,-0.63%,2.23%,-6.66%,8.11%,-19.34%,36.63%,45.56,,10.93,-1.80%,76761,
"BURL","Burlington Stores, Inc.","Consumer Cyclical","Apparel Retail",18326.58,42.29,,-29.50%,2.40%,66.64,0.30%,-12.20%,,-0.49%,3.59%,43.20%,7.50%,-8.32%,-0.43%,-18.60%,-15.60%,18.78%,4.89%,0.88,2.58%,-2.20%,-2.96%,-9.48%,-12.37%,9.79%,-22.82%,26.87%,44.82,2.00,275.78,0.52%,1170274,357.89
"BUSE","First Busey Corporation","Financial","Banks - Regional",1539.75,12.55,3.34%,6.80%,22.60%,56.23,2.70%,0.00%,49.60%,-0.04%,1.23%,,92.50%,2.34%,6.25%,18.77%,8.99%,30.35%,27.75%,0.99,2.66%,3.57%,8.97%,10.98%,-1.73%,24.36%,-1.73%,38.22%,63.64,2.10,27.52,-0.04%,314669,28.50
"BUYZ","Franklin Disruptive Commerce ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,,0.85%,0.58%,3.58%,13.99%,16.25%,1.47%,,1.19%,-0.20%,0.15%,-1.10%,-4.04%,7.24%,-18.99%,18.36%,50.25,,51.37,-1.77%,2814,
"BUZZ","VanEck Vectors Social Sentiment ETF","Financial","Exchange Traded Fund",,,,,,,,,,,,,,-0.60%,3.45%,6.90%,15.61%,,13.35%,,1.73%,0.40%,2.95%,5.03%,-3.43%,10.79%,-3.43%,20.79%,53.19,,26.49,-0.64%,28042,
"BV","BrightView Holdings, Inc.","Industrials","Specialty Business Services",1778.92,133.44,,-0.20%,1.20%,105.20,0.20%,0.00%,95.90%,-1.54%,4.43%,25.50%,2.70%,-1.24%,8.81%,19.83%,-4.74%,13.32%,10.32%,1.41,2.50%,-7.16%,-3.81%,-7.76%,-14.26%,4.85%,-21.60%,13.43%,37.34,2.20,15.03,-9.89%,837723,18.94
"BVH","Bluegreen Vacations Holding Corporation","Consumer Cyclical","Resorts & Casinos",683.11,12.06,,-19.10%,-6.70%,21.71,6.70%,4.69%,45.00%,1.42%,2.00%,75.10%,6.60%,4.60%,32.27%,53.29%,57.96%,181.24%,133.85%,1.86,3.87%,15.62%,21.56%,54.30%,-2.75%,38.13%,-2.75%,188.03%,76.20,2.00,31.77,0.41%,57185,50.00
"BVN","Compania de Minas Buenaventura S.A.A.","Basic Materials","Other Precious Metals & Mining",1891.37,,1.18%,14.40%,-6.60%,253.99,37.20%,0.00%,68.30%,-1.59%,2.78%,10.20%,-1.20%,-1.47%,-9.58%,8.71%,-35.55%,-34.75%,-39.62%,0.83,5.50%,-9.08%,-5.30%,-22.07%,-22.29%,9.79%,-45.93%,17.51%,40.81,2.80,7.18,-2.45%,835706,10.87
"BVS","Bioventus Inc.","Healthcare","Diagnostics & Research",1178.19,27.20,,16.20%,4.80%,41.80,22.83%,0.01%,37.80%,6.32%,11.64%,72.30%,8.50%,-8.03%,9.96%,1.13%,-5.46%,,-20.72%,,4.40%,-4.92%,0.76%,-2.86%,-14.89%,10.36%,-25.18%,38.92%,42.18,2.00,14.92,-2.04%,364027,22.33
"BVXV","BiondVax Pharmaceuticals Ltd.","Healthcare","Biotechnology",30.59,4.86,,36.40%,,14.33,29.84%,0.00%,2.60%,17.56%,3.66%,,,-4.42%,-6.90%,-4.42%,-28.00%,-24.74%,-23.13%,2.26,6.36%,-4.57%,-5.08%,-30.12%,-15.41%,5.97%,-70.50%,5.97%,43.75,,2.13,-1.39%,64272,
"BW","Babcock & Wilcox Enterprises, Inc.","Industrials","Specialty Industrial Machinery",792.77,16.34,,-15.80%,-20.30%,86.00,2.40%,-1.73%,81.50%,0.66%,3.08%,27.60%,,29.55%,52.96%,44.41%,23.06%,240.97%,179.77%,2.71,5.10%,33.69%,47.48%,35.54%,-0.88%,73.49%,-0.88%,257.45%,82.09,2.50,10.08,2.65%,1295236,9.93
"BWA","BorgWarner Inc.","Consumer Cyclical","Auto Parts",11361.90,15.03,1.40%,-1.80%,4.80%,239.85,0.20%,-13.28%,99.80%,0.47%,4.57%,19.90%,7.90%,4.09%,5.45%,9.35%,-3.24%,24.94%,25.26%,1.47,2.61%,3.35%,6.11%,2.01%,-2.34%,19.10%,-13.65%,32.29%,60.41,2.40,47.97,-0.89%,1471317,53.56
"BWAC","Better World Acquisition Corp.","Financial","Shell Companies",162.99,,,,,16.11,19.59%,0.00%,53.80%,0.09%,0.59%,,,0.30%,0.50%,1.40%,2.22%,,-0.20%,,0.35%,0.26%,0.48%,0.53%,-3.52%,1.10%,-9.55%,2.63%,62.64,,10.13,0.00%,223967,
"BWACU","Better World Acquisition Corp.","Financial","Shell Companies",,,,,,,,,12.18%,,0.00%,,,7.73%,5.83%,3.91%,3.44%,,3.44%,,0.66%,0.40%,-0.18%,-2.40%,-6.18%,10.24%,-21.67%,10.24%,49.46,,10.77,-5.77%,1471,
