no,ticker,company,sector,industry,country,market_cap,pe,forward_pe,peg,ps,pb,pcash,pfree_cash_flow,dividend_yield,payout_ratio,eps_ttm,eps_growth_this_year,eps_growth_next_year,eps_growth_past_5_years,eps_growth_next_5_years,sales_growth_past_5_years,eps_growth_quarter_over_quarter,sales_growth_quarter_over_quarter,shares_outstanding,shares_float,insider_ownership,insider_transactions,institutional_ownership,institutional_transactions,float_short,short_ratio,return_on_assets,return_on_equity,return_on_investment,current_ratio,quick_ratio,lt_debtequity,total_debtequity,gross_margin,operating_margin,profit_margin,performance_week,performance_month,performance_quarter,performance_half_year,performance_year,performance_ytd,beta,average_true_range,volatility_week,volatility_month,20day_simple_moving_average,50day_simple_moving_average,200day_simple_moving_average,50day_high,50day_low,52week_high,52week_low,relative_strength_index_14,change_from_open,gap,ar,average_volume,relative_volume,price,change,volume,earnings_date,target_price,ipo_date,afterhours_close,afterhours_change,analyst_recom,rs_rating,returns_multiple,current_price,20_day_ma,50_day_ma,200_day_ma,low_52_week,high_52_week,sentiment_score,est_gl,my_score,in_russell_3k
3622,HMST,"HomeStreet, Inc.",Financial,Banks - Regional,USA,1152.14,10.84,12.41,1.55,4.68,1.66,,6.52,1.75%,16.90%,5.27,119.40%,-13.65%,12.10%,7.00%,8.80%,13.30%,-3.60%,20.61,19.74,3.10%,3.33%,89.20%,-0.04%,2.59%,3.49,1.60%,16.00%,19.70%,,,0.09,0.18,,95.50%,46.20%,9.59%,17.11%,34.63%,48.83%,55.76%,9.90%,1.01,1.43,2.15%,2.67%,11.21%,12.71%,30.64%,1.31%,24.49%,1.31%,74.50%,81.59,1.40%,0.12%,2.3,146.58,1.47,57.15,1.53%,216128,1/24/2022 4:30:00 PM,56.17,2/10/2012,57.15,0.00%,59.0,89,1.24,55.87,52.44,51.24,43.91,32.75,57.34,16.0,0.54,54.666666666666664,True
3998,INBK,First Internet Bancorp,Financial,Banks - Regional,USA,500.61,10.96,11.03,,3.76,1.38,1.16,8.47,0.47%,5.10%,4.69,19.10%,-1.60%,8.80%,,27.00%,40.60%,0.60%,9.94,9.21,5.60%,1.96%,71.30%,0.06%,0.79%,1.74,1.10%,13.30%,12.40%,,,0.28,0.28,,58.30%,35.00%,7.23%,16.61%,63.33%,67.97%,69.02%,9.37%,0.76,1.42,2.36%,3.01%,11.69%,16.02%,45.87%,-0.94%,51.95%,-0.94%,83.42%,79.14,-0.66%,0.94%,1.8,41.58,1.17,51.45,0.27%,48847,1/19/2022 4:30:00 PM,56.0,12/28/2004,51.45,0.00%,75.0,93,1.37,51.87,47.21,45.36,35.5,28.05,52.44,18.0,7.96,62.0,True
4236,JBL,Jabil Inc.,Technology,Electronic Components,USA,10181.23,14.08,9.65,1.17,0.34,4.51,8.28,55.27,0.46%,6.40%,4.9,18.20%,7.98%,28.30%,12.00%,9.80%,24.50%,9.40%,144.1,138.24,2.80%,-8.55%,89.50%,-0.05%,0.92%,1.43,4.60%,34.40%,15.20%,1.0,0.6,1.08,1.31,8.00%,3.60%,2.50%,-2.03%,11.84%,9.00%,20.94%,54.64%,-1.88%,1.37,1.97,2.51%,2.80%,1.48%,7.06%,16.27%,-4.27%,21.64%,-4.27%,68.90%,56.55,0.32%,-0.82%,1.5,885.02,1.05,69.03,-0.50%,933492,12/16/2021 8:30:00 AM,78.5,4/29/1993,68.01,-1.47%,84.0,90,1.26,70.25,68.88,65.04,59.65,40.87,72.11,27.0,11.74,67.0,True
4469,KOS,Kosmos Energy Ltd.,Energy,Oil & Gas E&P,USA,1934.08,,4.77,,1.87,6.2,17.38,6.09,,,-0.41,-630.90%,456.20%,-41.00%,,12.50%,24.10%,-11.50%,451.89,444.33,0.10%,0.00%,78.00%,0.88%,4.90%,2.2,-4.20%,-48.50%,-15.00%,0.9,0.6,8.26,8.36,69.50%,9.40%,-16.30%,13.61%,11.86%,36.05%,55.00%,50.69%,25.43%,3.39,0.23,5.33%,5.86%,18.81%,18.57%,41.42%,-0.46%,43.71%,-0.46%,141.11%,69.06,-0.91%,1.15%,2.0,9883.8,0.8,4.34,0.23%,7911748,11/8/2021 8:30:00 AM,6.09,5/11/2011,4.34,0.00%,69.0,90,1.27,4.62,3.77,3.71,3.09,1.8,4.71,32.0,31.82,63.666666666666664,True
4722,LPLA,LPL Financial Holdings Inc.,Financial,Capital Markets,USA,14116.0,31.6,19.22,1.51,1.96,8.91,7.89,53.78,0.56%,17.20%,5.68,-11.50%,34.43%,27.40%,20.90%,6.60%,-2.30%,38.40%,80.18,79.67,0.70%,-12.33%,97.70%,0.21%,1.34%,2.46,6.60%,31.30%,14.70%,,,1.75,1.87,98.80%,9.90%,6.40%,10.30%,11.28%,7.48%,31.37%,53.74%,12.17%,1.09,5.14,3.31%,2.68%,10.42%,9.39%,18.38%,0.84%,19.63%,0.84%,72.86%,70.09,1.31%,-0.09%,2.0,432.14,2.32,179.57,1.22%,1002342,2/3/2022 4:30:00 PM,205.18,11/18/2010,179.57,0.00%,69.0,88,1.22,179.02,165.67,164.81,152.25,103.88,181.92,32.0,14.61,63.0,True
4727,LPX,Louisiana-Pacific Corporation,Industrials,Building Products & Equipment,USA,6614.01,5.2,8.64,1.04,1.5,5.05,10.9,4.79,0.98%,4.80%,14.11,212.30%,-37.50%,56.50%,5.00%,8.10%,147.90%,53.30%,94.0,86.78,0.90%,2.47%,,0.08%,5.22%,3.58,62.60%,105.90%,32.30%,2.8,2.1,0.25,0.25,47.20%,42.30%,32.60%,-5.83%,-1.63%,14.97%,28.10%,90.46%,-6.27%,1.76,2.58,3.91%,3.37%,-3.42%,3.41%,14.90%,-7.94%,25.77%,-7.94%,97.23%,46.81,0.96%,-0.86%,2.3,1264.1,0.74,73.44,0.10%,939639,11/2/2021 8:30:00 AM,80.62,12/29/1972,73.44,0.00%,59.0,97,1.63,76.73,75.94,71.9,64.22,37.24,79.77,19.0,5.07,58.333333333333336,True
4797,LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,USA,26686.2,,136.47,,7.02,,5.77,34.77,,,-4.19,67.00%,130.60%,22.50%,,-23.80%,107.80%,1366.60%,216.89,150.41,1.70%,0.00%,75.20%,2.85%,9.02%,5.99,-7.60%,142.30%,-36.60%,1.2,1.2,,,32.90%,-15.70%,-23.60%,-4.80%,4.15%,17.63%,41.01%,59.63%,-3.65%,1.31,4.9,4.88%,4.16%,0.62%,3.12%,23.89%,-9.73%,17.08%,-9.73%,75.05%,51.53,-0.41%,-0.05%,2.2,2266.42,1.4,115.32,-0.47%,3174514,11/4/2021 4:30:00 PM,115.0,12/14/2005,116.87,1.34%,63.0,90,1.27,114.0,115.44,112.62,93.56,65.88,127.75,21.0,0.88,58.0,True
4835,MBIN,Merchants Bancorp,Financial,Banks - Regional,USA,1394.34,6.62,8.22,,4.54,1.88,0.92,,0.74%,4.70%,7.38,143.50%,-15.24%,40.60%,,38.10%,2.40%,1.30%,28.78,14.42,2.20%,-6.56%,22.70%,0.08%,1.26%,3.66,2.10%,31.60%,25.00%,,,0.31,0.31,,87.20%,69.30%,4.11%,8.91%,18.23%,23.30%,57.25%,3.30%,1.02,1.41,2.28%,2.67%,4.94%,5.10%,17.89%,-1.47%,15.88%,-1.47%,70.47%,63.7,-0.89%,0.26%,1.7,49.58,1.95,48.89,-0.63%,96789,,52.33,10/27/2017,48.89,0.00%,78.0,90,1.25,48.48,47.2,46.79,41.58,28.68,49.63,23.0,7.94,63.666666666666664,True
4856,MCB,Metropolitan Bank Holding Corp.,Financial,Banks - Regional,USA,1172.38,18.22,16.75,,7.28,1.75,0.63,61.38,,0.00%,6.05,30.90%,7.77%,53.80%,,34.40%,38.60%,25.30%,10.64,9.64,1.70%,1.28%,77.00%,1.37%,3.42%,2.96,1.00%,13.30%,23.70%,,,0.15,0.15,,88.40%,33.00%,3.57%,17.50%,28.93%,83.48%,193.09%,3.53%,1.27,3.7,3.51%,3.65%,8.91%,11.50%,43.95%,-0.82%,28.83%,-0.82%,208.07%,70.69,-0.19%,0.04%,2.0,111.29,0.78,110.29,-0.15%,86331,1/20/2022 4:30:00 PM,120.0,11/8/2017,110.29,0.00%,69.0,99,2.35,111.68,103.69,100.03,77.5,37.41,111.91,17.0,7.45,61.666666666666664,True
5084,MP,MP Materials Corp.,Basic Materials,Other Industrial Metals & Mining,USA,8089.24,128.79,45.31,1.95,22.03,8.44,6.86,,,0.00%,0.35,,32.07%,,65.93%,,411.20%,143.20%,176.05,145.58,0.40%,-92.99%,69.50%,2.56%,7.31%,4.15,4.10%,7.50%,-1.80%,17.7,17.3,0.71,0.74,66.20%,21.00%,18.40%,-4.05%,0.66%,47.96%,27.92%,54.98%,0.66%,,3.14,8.64%,6.40%,2.42%,7.34%,29.16%,-13.78%,42.34%,-13.78%,97.24%,53.6,2.65%,-2.15%,2.1,2563.44,1.04,45.72,0.44%,2654429,11/4/2021 4:30:00 PM,46.78,6/22/2020,45.72,0.00%,66.0,88,1.21,49.44,45.16,43.39,35.6,23.18,53.03,18.0,-5.38,57.333333333333336,True
5114,MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,13652.17,,9.06,,3.04,1.3,,9.98,1.35%,,-0.05,-409.20%,49.43%,6.10%,-2.40%,-8.60%,158.10%,92.00%,789.0,766.09,0.25%,-7.60%,75.50%,0.57%,3.05%,1.4,-0.20%,-0.40%,-7.70%,1.0,0.9,0.37,0.37,88.50%,3.80%,-0.90%,5.16%,10.60%,11.22%,35.21%,132.20%,8.04%,2.98,0.68,3.99%,3.76%,9.02%,8.97%,31.74%,-3.21%,24.11%,-3.21%,147.42%,62.1,-1.61%,-1.15%,2.2,16731.07,1.24,17.74,-2.74%,20670242,11/3/2021 4:30:00 PM,20.53,11/26/1965,17.74,0.00%,63.0,97,1.76,18.71,16.69,16.39,13.58,7.2,18.98,19.0,9.73,59.666666666666664,True
5120,MRVL,"Marvell Technology, Inc.",Technology,Semiconductors,USA,69679.55,,37.61,,17.79,4.34,133.1,231.11,0.29%,,-0.52,-117.70%,40.58%,22.10%,42.82%,2.70%,-120.80%,61.50%,828.63,802.57,0.30%,-25.06%,87.70%,0.05%,2.27%,2.16,-2.20%,-3.10%,-2.20%,1.8,1.3,0.29,0.29,45.90%,-9.80%,-10.50%,-8.07%,-8.69%,29.59%,44.81%,63.63%,-6.03%,1.12,4.12,5.71%,4.07%,-5.30%,3.27%,33.50%,-12.40%,21.54%,-12.40%,116.80%,45.65,1.36%,-2.41%,1.9,8439.64,1.97,82.21,-1.08%,16600604,12/2/2021 4:30:00 PM,100.46,6/27/2000,82.7,0.60%,72.0,93,1.35,84.94,86.43,80.56,62.15,37.92,93.85,16.0,18.27,60.333333333333336,True
5249,NAVI,Navient Corporation,Financial,Credit Services,USA,3417.12,4.26,6.94,0.57,1.8,1.31,3.25,5.76,2.96%,12.50%,5.07,-17.50%,-30.01%,-3.90%,7.42%,-8.00%,-2.90%,1.70%,165.0,149.77,0.10%,-11.48%,88.50%,0.01%,4.38%,3.78,1.10%,34.50%,0.50%,,,27.77,28.8,,62.00%,48.10%,0.56%,4.45%,8.71%,7.95%,96.90%,1.79%,1.73,0.64,2.69%,2.94%,0.95%,4.82%,10.35%,-3.57%,13.56%,-9.24%,101.87%,54.32,-2.61%,-0.36%,2.2,1736.0,0.91,21.6,-2.96%,1587168,1/25/2022 4:30:00 PM,21.5,4/17/2014,21.6,0.00%,63.0,95,1.47,21.9,21.5,20.73,19.69,10.83,23.8,15.0,-1.83,57.666666666666664,True
5386,NMRK,"Newmark Group, Inc.",Real Estate,Real Estate Services,USA,3660.9,5.69,9.84,0.57,1.45,2.65,5.18,,0.24%,1.20%,2.93,-33.10%,12.04%,87.40%,10.00%,9.70%,61.20%,80.80%,199.41,182.56,5.70%,0.00%,59.50%,0.20%,1.39%,2.2,14.00%,65.50%,6.00%,1.1,1.1,0.43,1.49,99.10%,43.20%,24.80%,-9.16%,4.65%,16.49%,47.26%,134.79%,-10.86%,1.8,0.65,3.42%,3.88%,-3.00%,0.59%,22.15%,-12.72%,12.86%,-12.72%,154.12%,45.42,0.36%,-1.19%,2.2,1156.73,0.86,16.67,-0.83%,1000080,11/5/2021 8:30:00 AM,19.2,12/15/2017,16.67,0.00%,63.0,98,1.96,16.99,17.26,16.68,13.74,6.56,19.1,19.0,13.01,60.0,True
5448,NSA,National Storage Affiliates Trust,Real Estate,REIT - Industrial,USA,5974.8,70.73,39.71,6.43,11.35,4.03,86.34,33.91,2.77%,135.30%,0.92,467.20%,11.36%,14.20%,11.00%,26.40%,78.80%,37.70%,86.26,81.94,8.00%,0.00%,86.90%,-0.09%,1.92%,3.1,2.20%,8.60%,5.40%,,,1.53,1.53,,37.30%,16.10%,-3.47%,3.19%,18.66%,23.29%,75.39%,-6.07%,0.51,1.72,2.80%,2.50%,-2.08%,1.57%,19.76%,-7.20%,8.40%,-7.20%,82.28%,47.2,1.29%,-0.22%,2.2,507.2,1.38,65.0,1.07%,700705,11/2/2021 4:30:00 PM,69.05,4/23/2015,65.0,0.00%,63.0,95,1.48,66.35,66.63,64.18,54.66,35.81,70.04,40.0,4.07,66.0,True
5558,NXRT,"NexPoint Residential Trust, Inc.",Real Estate,REIT - Residential,USA,2054.2,,,,9.72,4.95,111.64,,1.91%,,-0.79,-56.70%,10.30%,40.30%,5.00%,11.70%,-118.10%,10.60%,25.18,22.64,0.40%,-5.15%,81.10%,-0.10%,1.98%,4.21,-1.00%,-4.80%,1.00%,,,3.81,0.0,93.50%,10.40%,-9.40%,-3.17%,2.22%,25.94%,36.92%,95.29%,-5.02%,1.05,2.04,2.22%,2.53%,-0.44%,2.74%,27.85%,-5.82%,14.15%,-5.82%,103.48%,50.53,0.78%,-0.24%,2.0,106.51,1.07,79.62,0.54%,114036,11/2/2021 8:30:00 AM,76.71,3/19/2015,79.62,0.00%,69.0,96,1.57,80.1,80.26,78.02,62.77,39.13,84.54,41.0,-4.23,68.66666666666667,True
5575,OAS,Oasis Petroleum Inc.,Energy,Oil & Gas E&P,USA,2617.37,3.0,5.79,1.0,1.86,2.84,5.83,5.31,1.54%,2.60%,43.29,885.80%,40.65%,,3.00%,6.50%,,48.30%,19.81,18.75,0.10%,5.91%,93.60%,-1.27%,5.46%,3.91,33.50%,98.90%,-229.30%,1.1,1.1,1.15,0.0,63.80%,,61.80%,-1.62%,5.58%,24.68%,29.67%,218.90%,3.05%,,5.86,4.80%,4.45%,3.47%,4.13%,34.15%,-6.46%,16.88%,-6.46%,290.83%,54.52,-2.18%,-0.19%,2.1,261.98,0.74,129.83,-2.37%,194094,11/3/2021 4:30:00 PM,157.25,11/20/2020,129.9,0.05%,66.0,99,2.47,137.79,127.56,125.49,99.04,34.58,139.75,13.0,14.12,59.333333333333336,True
5592,OCN,Ocwen Financial Corporation,Financial,Mortgage Finance,USA,354.37,,7.79,,0.36,0.77,1.5,,,0.00%,-5.72,24.90%,75.57%,16.60%,3.00%,-11.20%,171.50%,13.70%,9.19,8.93,1.40%,3.29%,52.60%,-3.46%,2.45%,4.03,0.10%,2.80%,1.40%,,,22.64,22.64,79.90%,31.90%,1.30%,-1.79%,2.33%,36.57%,44.03%,44.77%,-1.05%,1.93,1.54,3.99%,3.75%,1.28%,10.62%,28.46%,-5.65%,29.67%,-5.65%,77.06%,56.47,-2.01%,-2.28%,2.0,54.38,1.13,39.55,-4.24%,61273,11/8/2021 8:30:00 AM,43.33,9/25/1996,39.55,0.00%,69.0,88,1.21,40.23,39.46,36.28,30.98,22.34,41.92,18.0,7.71,58.333333333333336,True
5651,OMI,"Owens & Minor, Inc.",Healthcare,Medical Distribution,USA,3333.68,14.42,13.63,0.74,0.34,3.74,83.76,29.32,0.02%,0.30%,3.15,471.90%,-16.90%,-3.40%,19.60%,-2.80%,-23.20%,14.40%,73.22,72.77,2.40%,-18.35%,95.90%,-0.03%,8.23%,9.42,6.60%,28.50%,10.70%,1.7,0.6,1.08,0.0,16.20%,3.70%,2.40%,2.07%,9.59%,41.67%,4.25%,48.88%,4.25%,0.34,2.03,7.38%,4.42%,5.56%,7.89%,15.50%,-2.41%,28.54%,-7.75%,92.32%,62.1,7.77%,-6.65%,2.2,635.56,4.87,45.35,0.60%,3093610,11/3/2021 8:30:00 AM,51.67,11/1/1982,45.35,0.00%,63.0,94,1.42,47.33,43.93,42.67,39.4,23.58,49.16,18.0,9.17,58.333333333333336,True
5655,ON,ON Semiconductor Corporation,Technology,Semiconductors,USA,29225.21,42.67,19.96,0.77,4.61,6.8,21.04,25.1,,0.00%,1.53,9.90%,16.58%,3.00%,55.45%,8.50%,83.00%,32.20%,430.6,425.74,0.20%,-3.60%,99.00%,-0.01%,4.71%,3.26,7.70%,17.80%,5.80%,2.5,1.6,0.71,0.76,37.00%,15.10%,10.60%,-7.20%,2.88%,50.22%,71.73%,80.64%,-4.12%,1.74,3.0,5.55%,4.21%,-1.32%,4.40%,39.51%,-8.61%,43.56%,-8.61%,92.78%,49.87,3.41%,-2.46%,2.1,6154.99,0.98,65.12,0.87%,6051331,11/1/2021 8:30:00 AM,64.56,4/28/2000,65.12,0.00%,66.0,94,1.43,66.49,66.33,63.32,47.07,33.78,71.26,21.0,-2.9,60.333333333333336,True
5667,ONEW,OneWater Marine Inc.,Consumer Cyclical,Recreational Vehicles,USA,867.59,7.93,6.93,,0.71,2.85,13.86,5.8,,0.00%,6.94,151.10%,3.87%,,,,372.50%,3.40%,11.7,8.52,11.00%,-14.75%,66.20%,0.11%,5.48%,5.74,12.50%,45.00%,27.10%,1.2,0.6,0.46,1.01,29.10%,12.10%,6.40%,-8.86%,5.30%,31.10%,30.33%,71.96%,-9.71%,,2.81,5.86%,5.15%,0.81%,5.60%,21.55%,-12.33%,28.38%,-12.33%,87.50%,51.72,0.22%,-0.76%,1.5,81.39,0.77,55.05,-0.54%,62346,11/18/2021 8:30:00 AM,60.83,2/7/2020,55.05,0.00%,84.0,92,1.32,54.95,55.02,52.74,46.15,31.32,62.79,23.0,10.7,66.33333333333333,True
5673,ONTO,Onto Innovation Inc.,Technology,Semiconductors,USA,4739.07,39.76,20.47,3.31,6.6,3.33,10.27,32.06,,0.00%,2.33,885.20%,21.10%,39.40%,12.00%,24.30%,344.80%,58.60%,49.36,48.65,0.80%,-23.27%,99.60%,-0.05%,1.92%,3.36,7.50%,8.80%,2.40%,6.0,4.5,0.0,0.0,53.00%,16.90%,16.10%,-10.66%,-2.90%,27.99%,31.61%,74.41%,-8.56%,1.18,4.56,6.01%,4.37%,-4.49%,-0.17%,21.66%,-11.35%,23.86%,-11.35%,83.21%,43.9,-1.21%,-1.61%,1.8,278.37,1.8,92.56,-2.79%,499761,11/4/2021 4:30:00 PM,107.0,11/28/1984,92.56,0.00%,75.0,94,1.39,97.21,97.34,93.66,76.57,52.17,104.41,42.0,10.07,70.33333333333333,True
5790,PANW,"Palo Alto Networks, Inc.",Technology,Software - Infrastructure,USA,52292.36,,58.28,,11.47,98.23,15.11,36.42,,,-5.27,-87.80%,23.94%,-18.50%,26.34%,25.30%,-9.90%,31.90%,97.6,96.7,1.90%,-5.85%,89.20%,0.25%,7.31%,5.27,-5.10%,-64.00%,-8.80%,0.7,0.7,0.0,7.08,69.80%,-7.50%,-11.20%,-3.97%,-0.93%,4.56%,34.69%,43.26%,-6.13%,1.37,21.88,5.96%,3.85%,-3.25%,-1.00%,20.83%,-8.74%,7.70%,-8.74%,67.74%,45.66,1.63%,-2.15%,1.8,1342.02,1.85,522.61,-0.55%,2477688,11/18/2021 4:30:00 PM,612.83,7/20/2012,522.61,0.00%,75.0,87,1.19,532.02,540.24,529.19,435.63,311.56,572.67,14.0,15.19,58.666666666666664,True
5887,PECO,"Phillips Edison & Company, Inc.",Real Estate,REIT - Retail,USA,3969.86,421.5,83.67,86.02,7.69,1.69,162.03,38.47,3.20%,642.30%,0.08,119.20%,106.67%,-27.50%,4.90%,15.50%,27.50%,4.40%,109.0,19.3,0.80%,0.00%,,-0.09%,9.06%,8.72,0.20%,0.50%,2.10%,,,0.78,0.78,69.60%,10.60%,1.80%,0.18%,5.28%,6.68%,,,2.06%,,1.12,3.17%,3.64%,4.22%,3.65%,8.98%,-3.57%,16.99%,-3.57%,27.20%,58.26,-2.26%,0.76%,2.4,200.62,0.69,33.72,-1.52%,138205,11/4/2021 4:30:00 PM,36.0,7/15/2021,33.72,0.00%,56.0,100,4.95,34.96,32.78,32.76,22.38,5.75,35.32,20.0,2.97,58.666666666666664,True
6019,PLAB,"Photronics, Inc.",Technology,Semiconductor Equipment & Materials,USA,1167.86,20.55,12.31,2.05,1.76,1.35,4.22,28.01,,0.00%,0.9,73.10%,15.38%,6.80%,10.00%,6.50%,226.10%,21.40%,60.22,59.15,1.80%,-18.21%,92.80%,0.03%,2.05%,2.31,4.40%,6.80%,7.60%,3.1,2.8,0.11,0.14,25.20%,14.30%,8.40%,-4.20%,4.88%,37.73%,42.41%,58.95%,-2.02%,0.96,0.78,4.43%,4.19%,1.41%,17.39%,33.12%,-7.30%,48.00%,-7.30%,68.68%,58.67,0.98%,-1.40%,2.3,523.57,0.86,18.47,-0.43%,449186,12/8/2021 8:30:00 AM,20.67,3/10/1987,18.47,0.00%,59.0,90,1.25,18.98,18.52,16.07,13.97,10.95,19.93,14.0,8.9,54.333333333333336,True
6262,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,USA,48431.96,39.13,9.93,,3.38,2.09,66.8,13.99,1.16%,59.00%,5.09,-126.30%,49.62%,7.50%,,19.50%,889.30%,167.20%,244.0,242.62,0.30%,0.21%,86.80%,0.34%,2.74%,3.34,4.30%,7.00%,1.50%,0.6,0.6,0.29,0.3,49.30%,28.50%,9.30%,6.54%,8.76%,4.88%,28.82%,54.07%,9.48%,1.8,5.63,2.30%,2.83%,8.74%,9.36%,22.48%,-0.74%,19.25%,-0.74%,75.85%,69.82,0.77%,-0.74%,1.9,1989.72,1.86,199.12,0.03%,3707512,11/3/2021 4:30:00 PM,229.15,12/22/1987,199.5,0.19%,72.0,90,1.26,204.91,186.48,184.19,165.48,115.15,205.66,26.0,11.83,62.666666666666664,True
6525,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,USA,21682.31,16.21,13.59,1.9,2.19,2.68,3.01,3.42,1.26%,15.00%,6.64,71.00%,13.93%,22.20%,8.54%,12.40%,102.70%,28.70%,205.4,183.19,0.40%,-3.59%,77.20%,-0.04%,1.57%,2.82,2.50%,18.10%,3.20%,,,0.35,4.33,96.00%,18.10%,14.20%,4.70%,9.96%,11.57%,21.01%,56.36%,7.26%,1.16,2.8,3.17%,2.30%,7.08%,7.95%,17.04%,-1.37%,15.77%,-1.37%,71.10%,63.69,-0.38%,-0.89%,1.9,1020.3,1.17,107.69,-1.27%,1193840,1/26/2022 4:30:00 PM,125.25,7/1/1983,106.89,-0.74%,72.0,91,1.3,109.57,102.36,100.33,92.41,62.94,110.36,17.0,14.31,60.0,True
6645,RVI,Retail Value Inc.,Real Estate,REIT - Retail,USA,132.43,,,,1.46,0.23,0.29,2.17,18.41%,,-0.71,-304.10%,,-16.80%,,-10.70%,44.70%,-24.70%,21.12,17.3,17.70%,-50.16%,68.10%,-0.08%,2.94%,0.66,-4.10%,-7.20%,-10.90%,,,0.0,0.0,67.00%,12.00%,-46.60%,-1.87%,2.27%,19.74%,51.77%,113.00%,-1.87%,1.88,0.21,2.57%,3.49%,-0.15%,2.23%,32.95%,-7.89%,23.39%,-7.89%,119.67%,51.84,-0.79%,0.79%,2.0,767.47,0.93,6.3,0.00%,713875,11/3/2021 4:30:00 PM,28.0,6/26/2018,6.3,0.00%,69.0,98,1.77,6.44,6.35,6.2,4.78,2.89,6.84,26.0,334.78,64.33333333333333,True
6740,SBNY,Signature Bank,Financial,Banks - Regional,USA,21226.19,25.35,20.34,4.01,10.24,2.73,0.73,61.53,0.63%,15.90%,13.94,-8.00%,18.95%,6.50%,6.32%,11.80%,48.50%,15.40%,59.28,58.67,0.20%,0.00%,96.70%,-0.13%,2.68%,1.66,0.90%,11.70%,19.80%,,,0.07,0.07,,81.80%,38.10%,7.91%,12.02%,19.60%,39.43%,143.14%,9.20%,1.85,12.98,4.49%,3.72%,10.16%,10.52%,31.00%,-4.76%,22.59%,-4.76%,148.19%,65.12,-3.34%,-0.07%,1.7,947.11,1.18,353.24,-3.41%,1120634,10/19/2021 8:30:00 AM,378.28,3/23/2004,355.02,0.50%,78.0,98,1.87,366.0,329.65,323.02,271.76,146.1,371.42,13.0,3.36,63.0,True
6774,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,USA,171384.59,34.86,24.59,1.54,9.3,3.64,4.99,22.54,0.79%,27.30%,2.63,-20.60%,14.50%,15.60%,22.70%,13.20%,55.90%,85.00%,1888.0,1600.54,7.19%,-1.90%,87.60%,0.07%,0.89%,2.58,0.90%,10.50%,0.80%,,,0.41,8.8,97.60%,38.90%,26.90%,6.87%,13.63%,19.63%,27.61%,52.12%,8.98%,1.02,2.32,2.90%,2.35%,8.13%,11.07%,22.91%,-0.73%,19.87%,-0.73%,80.54%,70.91,0.22%,-0.32%,2.0,5516.57,1.22,91.65,-0.10%,6755622,1/18/2022 8:30:00 AM,97.06,9/22/1987,91.75,0.11%,69.0,91,1.3,94.82,86.73,83.21,75.0,50.77,95.05,22.0,2.36,60.666666666666664,True
6821,SEAS,"SeaWorld Entertainment, Inc.",Consumer Cyclical,Leisure,USA,5095.47,38.78,19.23,1.23,3.96,443.93,9.2,17.2,,0.00%,1.72,-461.80%,32.13%,-55.10%,31.46%,-20.60%,226.00%,391.20%,78.96,49.03,1.20%,-5.60%,,-0.03%,11.30%,6.32,5.20%,-213.30%,-10.10%,1.7,1.6,183.17,184.21,48.30%,20.60%,10.80%,0.23%,3.72%,15.93%,40.99%,105.40%,2.67%,2.27,2.72,3.98%,3.81%,2.88%,3.67%,19.72%,-5.52%,17.65%,-5.52%,146.08%,54.94,-2.59%,0.04%,2.2,877.04,0.84,66.59,-2.55%,739724,11/9/2021 8:30:00 AM,71.64,4/19/2013,66.59,0.00%,63.0,97,1.75,65.87,65.24,64.41,55.88,27.06,70.48,26.0,8.76,62.0,True
6870,SGH,"SMART Global Holdings, Inc.",Technology,Semiconductors,USA,1625.99,44.95,9.65,,0.97,5.03,6.98,18.65,,0.00%,1.48,25.10%,3.79%,23.40%,-11.99%,22.90%,807.90%,61.10%,24.51,23.77,3.70%,-78.50%,,0.89%,8.06%,3.19,3.40%,13.50%,5.90%,1.8,1.2,1.06,1.17,22.50%,4.90%,2.30%,-9.12%,7.89%,52.61%,23.56%,81.90%,-6.55%,1.08,4.12,9.37%,5.83%,1.80%,8.80%,29.50%,-10.95%,29.85%,-10.95%,85.72%,53.51,5.59%,-2.74%,1.7,601.16,1.5,66.34,2.69%,901345,1/4/2022 4:30:00 PM,86.17,5/24/2017,66.25,-0.14%,78.0,92,1.33,63.98,66.01,61.64,51.54,36.88,74.5,46.0,34.68,72.0,True
7270,STC,Stewart Information Services Corporation,Financial,Insurance - Property & Casualty,USA,2115.15,7.09,10.2,1.42,0.69,1.73,3.48,6.47,1.93%,11.60%,10.98,87.90%,-25.35%,91.30%,5.00%,2.40%,47.30%,40.50%,26.87,26.53,0.30%,-18.70%,93.00%,-0.01%,1.47%,2.52,13.90%,27.10%,15.60%,,,0.23,0.23,,13.20%,9.70%,-0.71%,3.86%,16.55%,40.12%,50.99%,-2.40%,1.11,1.79,1.88%,2.29%,0.52%,2.48%,21.70%,-3.93%,10.98%,-3.93%,70.73%,53.0,-0.21%,0.24%,1.3,155.18,0.85,77.82,0.04%,132515,10/27/2021 4:30:00 PM,92.5,11/1/1982,77.82,0.00%,91.0,90,1.28,78.54,77.98,76.39,64.33,45.58,81.0,26.0,17.77,69.0,True
